team_id,league_id,understat_team,footballdata_team,oddsmagnet_team,oddsmagnet_league
Arminia Bielefeld,Bundesliga,Arminia Bielefeld,Bielefeld,arminia-bielefeld,germany-bundesliga
Augsburg,Bundesliga,Augsburg,Augsburg,fc-augsburg,germany-bundesliga
Bayer Leverkusen,Bundesliga,Bayer Leverkusen,Leverkusen,leverkusen,germany-bundesliga
Bayern Munich,Bundesliga,Bayern Munich,Bayern Munich,bayern-munchen,germany-bundesliga
Bochum,Bundesliga,Bochum,Bochum,bochum,germany-bundesliga
Borussia Dortmund,Bundesliga,Borussia Dortmund,Dortmund,borussia-dortmund,germany-bundesliga
Borussia M.Gladbach,Bundesliga,Borussia M.Gladbach,M'gladbach,borussia-monchengladbach,germany-bundesliga
Darmstadt,Bundesliga,Darmstadt,Darmstadt,,germany-bundesliga
Eintracht Frankfurt,Bundesliga,Eintracht Frankfurt,Ein Frankfurt,frankfurt,germany-bundesliga
FC Cologne,Bundesliga,FC Cologne,FC Koln,koln,germany-bundesliga
Fortuna Duesseldorf,Bundesliga,Fortuna Duesseldorf,Fortuna Dusseldorf,,germany-bundesliga
Freiburg,Bundesliga,Freiburg,Freiburg,freiburg,germany-bundesliga
Greuther Fuerth,Bundesliga,Greuther Fuerth,Greuther Furth,greuther-furth,germany-bundesliga
Hamburger SV,Bundesliga,Hamburger SV,Hamburg,,germany-bundesliga
Hannover 96,Bundesliga,Hannover 96,Hannover,,germany-bundesliga
Hertha Berlin,Bundesliga,Hertha Berlin,Hertha,hertha-berlin,germany-bundesliga
Hoffenheim,Bundesliga,Hoffenheim,Hoffenheim,hoffenheim,germany-bundesliga
Ingolstadt,Bundesliga,Ingolstadt,Ingolstadt,,germany-bundesliga
Mainz 05,Bundesliga,Mainz 05,Mainz,mainz,germany-bundesliga
Nuernberg,Bundesliga,Nuernberg,Nurnberg,,germany-bundesliga
Paderborn,Bundesliga,Paderborn,Paderborn,,germany-bundesliga
RasenBallsport Leipzig,Bundesliga,RasenBallsport Leipzig,RB Leipzig,rb-leipzig,germany-bundesliga
Schalke 04,Bundesliga,Schalke 04,Schalke 04,,germany-bundesliga
Union Berlin,Bundesliga,Union Berlin,Union Berlin,union-berlin,germany-bundesliga
VfB Stuttgart,Bundesliga,VfB Stuttgart,Stuttgart,stuttgart,germany-bundesliga
Werder Bremen,Bundesliga,Werder Bremen,Werder Bremen,,germany-bundesliga
Wolfsburg,Bundesliga,Wolfsburg,Wolfsburg,vfl-wolfsburg,germany-bundesliga
Arsenal,EPL,Arsenal,Arsenal,arsenal,england-premier-league
Aston Villa,EPL,Aston Villa,Aston Villa,aston-villa,england-premier-league
Bournemouth,EPL,Bournemouth,Bournemouth,bournemouth,england-premier-league
Brentford,EPL,Brentford,Brentford,brentford,england-premier-league
Brighton,EPL,Brighton,Brighton,brighton,england-premier-league
Burnley,EPL,Burnley,Burnley,burnley,england-premier-league
Cardiff,EPL,Cardiff,Cardiff,cardiff-city,england-premier-league
Chelsea,EPL,Chelsea,Chelsea,chelsea,england-premier-league
Crystal Palace,EPL,Crystal Palace,Crystal Palace,crystal-palace,england-premier-league
Everton,EPL,Everton,Everton,everton,england-premier-league
Fulham,EPL,Fulham,Fulham,fulham,england-premier-league
