,id,back_decimal,start_date,updated,bet_with_bookie_name,bet_slug,market_slug,bookie_code,best_back_decimal
0,wa/soccer/arsenal-burnley/arsenal-v-burnley/win-draw-win/arsenal,1.5,2022-01-22T14:50:00Z,2022-01-02T21:35:22Z,Arsenal (Betway),arsenal,win-market,wa,1.5
1,wh/uk-football/english-premier-league/arsenal-v-burnley/90-minutes/arsenal,1.5,2022-01-22T15:00:00Z,2022-01-02T21:35:22Z,Arsenal (William Hill),arsenal,win-market,wh,1.5
2,wa/soccer/arsenal-burnley/arsenal-v-burnley/win-draw-win/draw,4.33,2022-01-22T14:50:00Z,2022-01-03T00:10:45Z,Draw (Betway),draw,win-market,wa,4.333
3,wa/soccer/arsenal-burnley/arsenal-v-burnley/win-draw-win/burnley,6.5,2022-01-22T14:50:00Z,2022-01-03T00:10:45Z,Burnley (Betway),burnley,win-market,wa,7.5
4,wh/uk-football/english-premier-league/arsenal-v-burnley/90-minutes/draw,4.0,2022-01-22T15:00:00Z,2022-01-03T00:10:45Z,Draw (William Hill),draw,win-market,wh,4.333
5,wh/uk-football/english-premier-league/arsenal-v-burnley/90-minutes/burnley,7.5,2022-01-22T15:00:00Z,2022-01-03T00:10:45Z,Burnley (William Hill),burnley,win-market,wh,7.5
6,eb/soccer/england-premier-league/arsenal-v-burnley/ft-moneyline/arsenal,1.45,2022-01-22T15:00:00Z,2022-01-03T00:10:45Z,Arsenal (10bet),arsenal,win-market,eb,1.5
7,mb/soccer/england-premier-league/arsenal-v-burnley/ft-moneyline/arsenal,1.43,2022-01-22T15:00:00Z,2022-01-03T00:10:45Z,Arsenal (Mansion Bet),arsenal,win-market,mb,1.5
8,eb/soccer/england-premier-league/arsenal-v-burnley/ft-moneyline/draw,3.9,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Draw (10bet),draw,win-market,eb,4.333
9,eb/soccer/england-premier-league/arsenal-v-burnley/ft-moneyline/arsenal,1.48,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Arsenal (10bet),arsenal,win-market,eb,1.5
10,eb/soccer/england-premier-league/arsenal-v-burnley/ft-moneyline/burnley,6.5,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Burnley (10bet),burnley,win-market,eb,7.5
11,fb/soccer/england-premier-league/arsenal-v-burnley/1x2/draw,3.9,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Draw (Fansbet),draw,win-market,fb,4.333
12,fb/soccer/england-premier-league/arsenal-v-burnley/1x2/arsenal,1.47,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Arsenal (Fansbet),arsenal,win-market,fb,1.5
13,fb/soccer/england-premier-league/arsenal-v-burnley/1x2/burnley,6.5,2022-01-22T15:00:00Z,2022-01-03T02:39:27Z,Burnley (Fansbet),burnley,win-market,fb,7.5
