,id,back_decimal,start_date,updated,bet_with_bookie_name,bet_slug,market_slug,bookie_code,best_back_decimal,home_team,away_team
0,nt/soccer/france-ligue-1/angers-v-saint-etienne/moneyline/draw,2.95,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Draw (Netbet),draw,win-market,nt,3.5,angers,saint-etienne
1,nt/soccer/france-ligue-1/angers-v-saint-etienne/moneyline/angers,1.95,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Angers (Netbet),angers,win-market,nt,2.15,angers,saint-etienne
2,nt/soccer/france-ligue-1/angers-v-saint-etienne/moneyline/saint-etienne,3.25,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Saint Etienne (Netbet),saint-etienne,win-market,nt,4.0,angers,saint-etienne
3,mb/soccer/france-ligue-1/angers-v-st-etienne/ft-moneyline/draw,3.15,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Draw (Mansion Bet),draw,win-market,mb,3.5,angers,saint-etienne
4,mb/soccer/france-ligue-1/angers-v-st-etienne/ft-moneyline/angers,2.05,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Angers (Mansion Bet),angers,win-market,mb,2.15,angers,saint-etienne
5,mb/soccer/france-ligue-1/angers-v-st-etienne/ft-moneyline/st-etienne,3.5,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Saint Etienne (Mansion Bet),saint-etienne,win-market,mb,4.0,angers,saint-etienne
6,vb/football/france-ligue-1/angers-sco-v-as-saint-etienne/match-result/draw,3.33,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Draw (Vbet),draw,win-market,vb,3.5,angers,saint-etienne
7,vb/football/france-ligue-1/angers-sco-v-as-saint-etienne/match-result/angers-sco,2.13,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Angers (Vbet),angers,win-market,vb,2.15,angers,saint-etienne
8,vb/football/france-ligue-1/angers-sco-v-as-saint-etienne/match-result/as-saint-etienne,3.78,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Saint Etienne (Vbet),saint-etienne,win-market,vb,4.0,angers,saint-etienne
9,lv/football/france-ligue-1/angers-sco-v-as-saint-etienne/3w/draw,3.3,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Draw (LVbet),draw,win-market,lv,3.5,angers,saint-etienne
10,lv/football/france-ligue-1/angers-sco-v-as-saint-etienne/3w/angers-sco,2.13,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Angers (LVbet),angers,win-market,lv,2.15,angers,saint-etienne
11,lv/football/france-ligue-1/angers-sco-v-as-saint-etienne/3w/as-saint-etienne,3.75,2022-01-09T14:00:00Z,2022-01-01T03:39:14Z,Saint Etienne (LVbet),saint-etienne,win-market,lv,4.0,angers,saint-etienne
