,id,back_decimal,start_date,updated,bet_with_bookie_name,bet_slug,market_slug,bookie_code,best_back_decimal,home_team,away_team
0,eb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/draw,2.8,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Draw (10bet),draw,win-market,eb,3.2,alaves,athletic-bilbao
1,eb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/alaves,2.95,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Alaves (10bet),alaves,win-market,eb,3.6,alaves,athletic-bilbao
2,eb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/athletic-bilbao,2.2,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Athletic Bilbao (10bet),athletic-bilbao,win-market,eb,2.4,alaves,athletic-bilbao
3,vb/football/spain-la-liga/deportivo-alaves-v-athletic-bilbao/match-result/draw,3.13,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Draw (Vbet),draw,win-market,vb,3.2,alaves,athletic-bilbao
4,vb/football/spain-la-liga/deportivo-alaves-v-athletic-bilbao/match-result/deportivo-alaves,3.45,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Alaves (Vbet),alaves,win-market,vb,3.6,alaves,athletic-bilbao
5,vb/football/spain-la-liga/deportivo-alaves-v-athletic-bilbao/match-result/athletic-bilbao,2.35,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Athletic Bilbao (Vbet),athletic-bilbao,win-market,vb,2.4,alaves,athletic-bilbao
6,lv/football/spain-primera-division/deportivo-alaves-v-athletic-bilbao/3w/draw,3.1,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Draw (LVbet),draw,win-market,lv,3.2,alaves,athletic-bilbao
7,lv/football/spain-primera-division/deportivo-alaves-v-athletic-bilbao/3w/deportivo-alaves,3.45,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Alaves (LVbet),alaves,win-market,lv,3.6,alaves,athletic-bilbao
8,lv/football/spain-primera-division/deportivo-alaves-v-athletic-bilbao/3w/athletic-bilbao,2.35,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Athletic Bilbao (LVbet),athletic-bilbao,win-market,lv,2.4,alaves,athletic-bilbao
9,mb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/draw,2.95,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Draw (Mansion Bet),draw,win-market,mb,3.2,alaves,athletic-bilbao
10,mb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/alaves,3.15,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Alaves (Mansion Bet),alaves,win-market,mb,3.6,alaves,athletic-bilbao
11,mb/soccer/spain-la-liga/alaves-v-athletic-bilbao/ft-moneyline/athletic-bilbao,2.25,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Athletic Bilbao (Mansion Bet),athletic-bilbao,win-market,mb,2.4,alaves,athletic-bilbao
12,fb/soccer/spain-la-liga/alaves-v-athletic-bilbao/1x2/draw,2.85,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Draw (Fansbet),draw,win-market,fb,3.2,alaves,athletic-bilbao
13,fb/soccer/spain-la-liga/alaves-v-athletic-bilbao/1x2/alaves,3.0,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Alaves (Fansbet),alaves,win-market,fb,3.6,alaves,athletic-bilbao
14,fb/soccer/spain-la-liga/alaves-v-athletic-bilbao/1x2/athletic-bilbao,2.2,2022-01-09T17:30:00Z,2022-01-01T04:15:43Z,Athletic Bilbao (Fansbet),athletic-bilbao,win-market,fb,2.4,alaves,athletic-bilbao
