,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.482324,1.14915,0.482324,1.14915,2,5,0,2,0.7379,l,2014-08-23 17:30:00,0,0,1,0,-0.6668259999999999,3.3333333333333335,5.8
1,a,2.30342,1.00422,2.30342,1.00422,8,2,3,2,2.2575,w,2014-08-29 19:30:00,1,0,0,3,1.2992000000000001,13.814814814814815,9.041666666666666
2,h,1.71642,0.261915,1.71642,0.261915,9,1,3,1,2.4818000000000002,w,2014-09-13 14:30:00,1,0,0,3,1.4545050000000002,13.117647058823529,18.695652173913043
3,a,2.10376,0.974914,1.34598,0.974914,8,4,0,2,2.2814,l,2014-09-20 17:30:00,0,0,1,0,0.371066,5.0,9.333333333333334
4,h,2.13683,1.48044,2.13683,1.48044,14,5,2,2,1.8178999999999998,d,2014-09-24 19:00:00,0,1,0,1,0.6563899999999998,8.863636363636363,22.235294117647058
5,a,0.662005,1.07746,0.662005,1.07746,7,2,1,2,0.9206999999999999,l,2014-09-27 14:30:00,0,0,1,0,-0.41545500000000013,4.777777777777778,8.925925925925926
6,h,1.20017,1.42953,1.20017,1.42953,7,4,0,1,1.1702,l,2014-10-04 14:30:00,0,0,1,0,-0.22936,4.142857142857143,7.333333333333333
7,a,0.825853,0.904346,0.825853,0.904346,11,1,1,2,1.2116,l,2014-10-18 14:30:00,0,0,1,0,-0.07849300000000003,6.72,13.321428571428571
8,h,1.61946,0.695852,1.61946,0.695852,10,2,0,1,2.1015,l,2014-10-25 14:30:00,0,0,1,0,0.9236079999999999,8.608695652173912,8.04
9,a,0.942884,2.64367,0.942884,1.88605,3,11,1,2,0.3584,l,2014-11-01 17:30:00,0,0,1,0,-0.943166,13.4,6.193548387096774
10,h,2.28053,0.0335359,2.28053,0.0335359,10,0,1,0,2.8694,w,2014-11-09 16:30:00,1,0,0,3,2.2469941,9.93939393939394,14.95
11,a,1.92358,0.638364,1.92358,0.638364,12,1,2,2,2.3906,d,2014-11-22 14:30:00,0,1,0,1,1.2852160000000001,7.366666666666666,15.5
12,a,0.769829,2.21905,0.769829,2.21905,9,4,0,2,0.4123,l,2014-11-30 16:30:00,0,0,1,0,-1.449221,7.428571428571429,8.310344827586206
13,h,1.58062,0.202706,1.58062,0.202706,9,0,1,0,2.5265,w,2014-12-05 19:30:00,1,0,0,3,1.3779139999999999,5.878048780487805,8.214285714285714
14,a,0.842366,0.764752,0.842366,0.764752,8,2,0,1,1.3858,l,2014-12-13 14:30:00,0,0,1,0,0.07761399999999996,4.678571428571429,27.733333333333334
15,h,1.30339,1.38959,1.30339,1.38959,7,8,2,2,1.3008,d,2014-12-17 19:00:00,0,1,0,1,-0.08620000000000005,11.914285714285715,6.8076923076923075
16,a,0.602289,2.36795,0.602289,2.36795,7,6,1,2,0.2909,l,2014-12-20 14:30:00,0,0,1,0,-1.7656610000000001,4.896551724137931,13.208333333333334
17,a,0.451401,0.341818,0.451401,0.341818,0,6,0,0,1.3738000000000001,d,2015-01-31 17:30:00,0,1,0,1,0.10958299999999999,5.487804878048781,2.41025641025641
18,h,0.943193,1.04603,0.943193,1.04603,16,2,0,1,1.2442,l,2015-02-04 19:00:00,0,0,1,0,-0.10283700000000007,8.787878787878787,10.608695652173912
19,a,2.1517,0.159475,2.1517,0.159475,11,6,3,0,2.7463,w,2015-02-07 14:30:00,1,0,0,3,1.992225,5.255813953488372,6.0
20,h,2.74589,0.691415,2.74589,0.691415,8,2,4,2,2.705,w,2015-02-13 19:30:00,1,0,0,3,2.054475,7.303030303030303,22.071428571428573
21,a,1.56399,1.55893,1.56399,0.801157,6,1,3,2,1.3329,w,2015-02-20 19:30:00,1,0,0,3,0.762833,6.975,14.695652173913043
