,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.35254,1.84123,0.35254,1.08346,5,7,2,2,0.2356,d,2014-08-24 14:30:00,0,1,0,1,-0.73092,7.275,8.15
1,a,2.37004,1.14049,2.37004,1.14049,2,5,3,0,2.3443,w,2014-08-30 14:30:00,1,0,0,3,1.22955,9.82857142857143,3.8285714285714287
2,h,0.327136,0.386458,0.327136,0.386458,7,5,0,0,1.1159,d,2014-09-13 14:30:00,0,1,0,1,-0.05932200000000004,13.4,6.96969696969697
3,h,2.05175,0.550873,2.05175,0.550873,4,7,2,0,2.5,w,2014-09-20 14:30:00,1,0,0,3,1.5008770000000002,12.55,7.947368421052632
4,a,0.402844,3.48286,0.402844,3.48286,2,23,0,4,0.043300000000000005,l,2014-09-23 19:00:00,0,0,1,0,-3.080016,44.8,4.25
5,h,1.5747,1.43504,1.5747,1.43504,8,5,1,2,1.4358,l,2014-09-27 14:30:00,0,0,1,0,0.1396599999999999,11.0,10.95
6,a,1.12552,1.60118,1.12552,1.60118,1,11,2,2,0.9683,d,2014-10-04 14:30:00,0,1,0,1,-0.47565999999999997,7.352941176470588,2.7551020408163267
7,h,2.37575,0.558647,2.37575,0.558647,7,6,3,1,2.653,w,2014-10-19 16:30:00,1,0,0,3,1.817103,9.785714285714286,8.678571428571429
8,a,0.673226,1.5035,0.673226,0.745723,4,6,0,1,0.6135999999999999,l,2014-10-25 14:30:00,0,0,1,0,-0.07249700000000003,12.368421052631579,5.1
9,h,1.96835,0.925677,1.96835,0.925677,3,0,3,1,2.1759,w,2014-11-02 16:30:00,1,0,0,3,1.0426730000000002,8.952380952380953,4.315789473684211
10,a,0.968616,1.66135,0.968616,1.66135,5,2,0,3,0.8107,l,2014-11-08 14:30:00,0,0,1,0,-0.6927340000000001,18.8,9.083333333333334
11,h,0.638364,1.92358,0.638364,1.92358,1,12,2,2,0.42379999999999995,d,2014-11-22 14:30:00,0,1,0,1,-1.2852160000000001,15.5,7.366666666666666
12,a,0.839366,4.47976,0.839366,4.47976,3,7,0,4,0.0524,l,2014-11-29 14:30:00,0,0,1,0,-3.6403939999999997,9.25,5.333333333333333
13,h,1.38276,0.883469,1.38276,0.125692,10,4,1,1,1.715,d,2014-12-06 14:30:00,0,1,0,1,1.257068,5.038461538461538,10.6
14,a,0.996117,3.22294,0.23834,2.46517,2,7,1,1,0.1411,d,2014-12-14 16:30:00,0,1,0,1,-2.22683,10.371428571428572,3.9444444444444446
15,h,1.41446,1.14959,1.41446,1.14959,11,3,1,2,1.5733,l,2014-12-17 19:00:00,0,0,1,0,0.26487000000000016,7.071428571428571,8.043478260869565
16,a,0.933283,0.772123,0.933283,0.772123,4,2,0,0,1.4464000000000001,d,2014-12-20 14:30:00,0,1,0,1,0.16115999999999997,4.0285714285714285,9.814814814814815
17,a,0.717538,2.8788,0.717538,2.12103,4,7,0,5,0.21250000000000002,l,2015-01-31 14:30:00,0,0,1,0,-1.4034920000000002,8.482758620689655,8.0
18,h,0.81246,2.21275,0.81246,1.45497,8,5,0,3,0.3718,l,2015-02-04 19:00:00,0,0,1,0,-0.6425100000000001,4.5,9.84375
19,a,0.58064,1.03792,0.58064,1.03792,1,5,0,0,0.9023000000000001,d,2015-02-07 14:30:00,0,1,0,1,-0.4572799999999999,12.0,6.931034482758621
20,a,0.98493,0.858803,0.98493,0.858803,1,6,2,1,1.4052,w,2015-02-15 16:30:00,1,0,0,3,0.126127,16.958333333333332,5.925925925925926
21,h,0.380499,3.12815,0.380499,2.37038,1,15,0,6,0.0577,l,2015-02-21 14:30:00,0,0,1,0,-1.989881,33.53333333333333,4.181818181818182
22,a,0.746314,1.43897,0.746314,1.43897,2,9,0,2,0.7849,l,2015-03-01 14:30:00,0,0,1,0,-0.692656,13.347826086956522,12.142857142857142
23,h,0.755297,1.17926,0.755297,1.17926,6,10,0,3,0.9411,l,2015-03-08 16:30:00,0,0,1,0,-0.423963,9.48,2.851063829787234
24,a,0.634028,1.726,0.634028,1.726,1,3,0,4,0.5342,l,2015-03-14 14:30:00,0,0,1,0,-1.091972,12.5,5.0
25,h,1.07174,0.267507,1.07174,0.267507,7,3,0,0,2.0717,d,2015-03-21 14:30:00,0,1,0,1,0.804233,7.138888888888889,6.78125
26,a,0.563136,1.84498,0.563136,1.84498,3,4,0,2,0.4206,l,2015-04-05 16:30:00,0,0,1,0,-1.281844,11.75,8.454545454545455
27,h,2.35597,0.637449,2.35597,0.637449,11,6,2,1,2.6225,w,2015-04-11 14:30:00,1,0,0,3,1.718521,8.46875,3.25
28,a,0.123904,3.20767,0.123904,3.20767,2,14,0,3,0.034,l,2015-04-18 14:30:00,0,0,1,0,-3.083766,10.185185185185185,6.625
29,h,1.96537,0.959164,1.96537,0.959164,3,6,2,2,2.1077,d,2015-04-26 14:30:00,0,1,0,1,1.0062060000000002,8.1,3.7586206896551726
30,a,1.3154,1.70774,1.3154,1.70774,4,10,2,1,1.0667,w,2015-05-02 14:30:00,1,0,0,3,-0.39234000000000013,12.625,7.578947368421052
31,h,1.26876,1.68486,1.26876,1.68486,2,5,1,3,0.9992,l,2015-05-10 14:30:00,0,0,1,0,-0.4160999999999999,7.96969696969697,6.833333333333333
32,a,0.87016,1.05307,0.87016,1.05307,9,4,0,1,1.1601,l,2015-05-16 14:30:00,0,0,1,0,-0.1829099999999999,6.28125,5.653846153846154
33,h,0.538797,2.42856,0.538797,2.42856,3,9,1,2,0.22190000000000001,l,2015-05-23 14:30:00,0,0,1,0,-1.889763,7.7727272727272725,4.9523809523809526
