,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.35254,1.84123,0.35254,1.08346,5,7,2,2,0.2356,0,1,0,1,-0.73092,7.275,8.15
1,2.72258,2.98172,2.72258,2.2239500000000003,7,12,5,2,2.5799,1,1,0,4,0.4986299999999999,8.551785714285714,5.989285714285715
2,3.0497159999999996,3.3681780000000003,3.0497159999999996,2.6104080000000005,14,17,5,2,3.6957999999999998,1,2,0,5,0.43930799999999987,10.167857142857143,6.316089466089466
3,5.101466,3.9190510000000005,5.101466,3.1612810000000007,18,24,7,2,6.1958,2,2,0,8,1.940185,10.763392857142858,6.7239092048302584
4,5.50431,7.401911,5.50431,6.644141000000001,20,47,7,6,6.2391000000000005,2,2,1,8,-1.139831,17.570714285714285,6.229127363864206
5,7.07901,8.836951000000001,7.07901,8.079181000000002,28,52,8,8,7.674900000000001,2,2,2,8,-1.0001710000000001,16.475595238095238,7.015939469886838
6,8.20453,10.438131,8.20453,9.680361000000001,29,63,10,10,8.6432,2,3,2,9,-1.4758310000000001,15.172358943577432,6.407248408591051
7,10.58028,10.996778,10.58028,10.239008000000002,36,69,13,11,11.2962,3,3,2,12,0.3412719999999998,14.49902836134454,6.691163786088598
8,11.253506,12.500278000000002,11.253506,10.984731000000002,40,75,13,12,11.9098,3,3,3,12,0.26877499999999976,14.26229421593199,6.514367809856532
9,13.221855999999999,13.425955000000002,13.221855999999999,11.910408000000002,43,75,16,13,14.085700000000001,4,3,3,15,1.311448,13.731302889576886,6.2945099762393
10,14.190472,15.087305000000002,14.190472,13.571758000000003,48,77,16,16,14.896400000000002,4,3,4,15,0.6187139999999999,14.192093535978989,6.548039372338757
11,14.828835999999999,17.010885000000002,14.828835999999999,15.495338000000002,49,89,18,18,15.320200000000002,4,4,4,16,-0.6665020000000003,14.301085741314074,6.616258313532749
12,15.668201999999999,21.490645,15.668201999999999,19.975098000000003,52,96,18,22,15.372600000000002,4,4,5,16,-4.306896,13.912540684289914,6.517571776594332
13,17.050962,22.374114000000002,17.050962,20.100790000000003,62,100,19,23,17.087600000000002,4,5,5,17,-3.0498279999999998,13.278677888159317,6.80917379255188
14,18.047079,25.597054000000004,17.289302,22.565960000000004,64,107,20,24,17.228700000000003,4,6,5,18,-5.276657999999999,13.084861267043932,6.618191836011383
15,19.461539000000002,26.746644000000003,18.703761999999998,23.715550000000004,75,110,21,26,18.802000000000003,4,6,6,18,-5.011787999999999,12.709021723567973,6.70727223756502
16,20.394822,27.518767000000004,19.637044999999997,24.487673000000004,79,112,21,26,20.248400000000004,4,7,6,19,-4.8506279999999995,12.198407000332883,6.890068859756184
17,21.112360000000002,30.397567000000002,20.354582999999998,26.608703000000006,83,119,21,31,20.460900000000002,4,7,7,19,-6.2541199999999995,11.991982090352703,6.95173170088084
18,21.924820000000004,32.610317,21.167043,28.063673000000005,91,124,21,34,20.832700000000003,4,7,8,19,-6.89663,11.597667243492035,7.103943190308165
19,22.505460000000003,33.648237,21.747683,29.101593000000005,92,129,21,34,21.735000000000003,4,8,8,20,-7.35391,11.617783881317433,7.095297754930688
20,23.49039,34.50704,22.732612999999997,29.960396000000003,93,135,23,35,23.140200000000004,5,8,8,23,-7.227783,11.872095759984857,7.039613382120938
21,23.870889000000002,37.63519,23.113111999999997,32.330776,94,150,23,41,23.197900000000004,5,8,9,23,-9.217664,12.856697467864334,6.9097136002889945
22,24.617203000000003,39.07416,23.859426,33.769746,96,159,23,43,23.982800000000005,5,8,10,23,-9.910319999999999,12.878050886085733,7.137241580400652
23,25.372500000000002,40.25342,24.614722999999998,34.949006,102,169,23,46,24.923900000000003,5,8,11,23,-10.334283,12.736465432498827,6.958650840791759
24,26.006528000000003,41.97942,25.248751,36.675005999999996,103,172,23,50,25.4581,5,8,12,23,-11.426255,12.727006815198875,6.88030480716009
25,27.078268,42.246927,26.320490999999997,36.942513,110,175,23,50,27.5298,5,9,12,24,-10.622022,12.512079202648492,6.876495006884701
26,27.641404,44.091907,26.883626999999997,38.787493,113,179,23,52,27.950400000000002,5,9,13,24,-11.903865999999999,12.483854046994843,6.934941319761026
27,29.997374,44.729355999999996,29.239596999999996,39.424941999999994,124,185,25,53,30.5729,6,9,13,27,-10.185344999999998,12.340457473887884,6.803336272626703
28,30.121278,47.937025999999996,29.363500999999996,42.632611999999995,126,199,25,56,30.6069,6,9,14,27,-13.269110999999999,12.266137739794688,6.797186745984403
29,32.086648,48.89619,31.328870999999996,43.591775999999996,129,205,27,58,32.7146,6,10,14,28,-12.262904999999998,12.127266481801533,6.695901210773429
30,33.40204799999999,50.60393,32.644270999999996,45.299516,133,215,29,59,33.781299999999995,7,10,14,31,-12.655244999999999,12.143322401743418,6.724386570697545
31,34.670807999999994,52.28879,33.913031,46.984376,135,220,30,62,34.780499999999996,7,10,15,31,-13.071344999999999,12.012896606991967,6.727791157029914
32,35.54096799999999,53.34186,34.783190999999995,48.037445999999996,144,224,30,63,35.940599999999996,7,10,16,31,-13.254254999999999,11.83921034617403,6.695247369054649
33,36.079764999999995,55.770419999999994,35.321988,50.46600599999999,147,233,31,65,36.162499999999994,7,10,17,31,-15.144017999999999,11.719607902837359,6.6439865920936585
