,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.80912,1.85731,1.80912,1.09953,9,3,2,2,1.3192,d,2015-08-15 17:30:00,0,1,0,1,0.7095900000000002,6.814814814814815,4.882352941176471
1,a,0.790379,1.05775,0.790379,1.05775,0,7,1,1,1.1219999999999999,d,2015-08-22 17:30:00,0,1,0,1,-0.2673709999999999,18.4,2.473684210526316
2,h,0.287238,1.3935,0.287238,1.3935,5,10,0,0,0.3091,d,2015-08-29 17:30:00,0,1,0,1,-1.106262,11.0,3.05
3,a,0.284787,1.3554,0.284787,1.3554,0,9,1,0,0.44430000000000003,w,2015-09-12 17:30:00,1,0,0,3,-1.0706129999999998,9.5625,2.2580645161290325
4,h,0.204756,1.71752,0.204756,1.71752,4,12,0,3,0.2011,l,2015-09-19 17:30:00,0,0,1,0,-1.512764,50.111111111111114,4.388888888888889
5,h,1.91868,1.19628,1.16098,1.19628,5,6,2,1,1.9864,w,2015-09-22 22:00:00,1,0,0,3,-0.03530000000000011,5.333333333333333,3.4285714285714284
6,a,0.508638,1.97055,0.508638,1.97055,1,17,2,2,0.32020000000000004,d,2015-09-27 19:30:00,0,1,0,1,-1.4619119999999999,12.689655172413794,3.6923076923076925
7,h,1.86109,1.45155,1.10331,1.45155,4,8,2,3,1.6799,l,2015-10-02 22:30:00,0,0,1,0,-0.3482399999999999,8.387096774193548,4.217391304347826
8,a,2.54284,1.42706,2.54284,1.42706,1,7,2,0,2.2633,w,2015-10-17 17:30:00,1,0,0,3,1.11578,20.38888888888889,6.083333333333333
9,h,0.594469,0.976111,0.594469,0.976111,5,10,0,1,0.9633,l,2015-10-24 17:30:00,0,0,1,0,-0.3816419999999999,14.565217391304348,4.555555555555555
10,a,1.08627,2.13203,1.08627,2.13203,5,4,0,2,0.5955,l,2015-11-01 18:30:00,0,0,1,0,-1.0457599999999998,8.041666666666666,3.0689655172413794
11,h,1.6995,1.15876,1.6995,0.401067,4,6,1,1,1.8064999999999998,d,2015-11-07 21:30:00,0,1,0,1,1.298433,8.294117647058824,8.4
12,a,0.58372,2.73623,0.58372,1.97845,6,2,1,3,0.15539999999999998,l,2015-11-22 20:40:00,0,0,1,0,-1.39473,7.7727272727272725,4.181818181818182
13,h,0.508721,0.933778,0.508721,0.933778,7,6,0,0,0.9158999999999999,d,2015-11-27 23:30:00,0,1,0,1,-0.425057,16.428571428571427,6.777777777777778
14,a,1.55006,1.0568,1.55006,1.0568,6,7,1,0,1.7554999999999998,w,2015-12-06 20:30:00,1,0,0,3,0.49326000000000003,12.434782608695652,3.619047619047619
15,h,0.26179,1.99133,0.26179,1.99133,2,4,0,4,0.1649,l,2015-12-12 18:30:00,0,0,1,0,-1.72954,11.64516129032258,7.928571428571429
16,a,2.23006,1.0366,2.23006,1.0366,4,6,2,3,2.2173,l,2015-12-20 20:30:00,0,0,1,0,1.19346,10.74074074074074,6.826086956521739
17,a,2.76698,1.28887,2.76698,1.28887,5,10,2,1,2.4475,w,2016-01-23 18:30:00,1,0,0,3,1.4781100000000003,10.538461538461538,3.869565217391304
18,h,0.0939969,1.56117,0.0939969,1.56117,1,5,0,2,0.2066,l,2016-01-30 18:30:00,0,0,1,0,-1.4671731,8.076923076923077,3.3636363636363638
19,a,2.06675,0.584715,2.06675,0.584715,8,10,2,0,2.4924999999999997,w,2016-02-07 20:30:00,1,0,0,3,1.4820349999999998,13.84,2.9310344827586206
20,h,1.07695,1.5656,1.07695,1.5656,6,6,1,2,0.8673,l,2016-02-13 18:30:00,0,0,1,0,-0.48865000000000003,8.15,2.392857142857143
21,a,0.61234,3.08206,0.61234,3.08206,1,23,1,3,0.16110000000000002,l,2016-02-20 18:30:00,0,0,1,0,-2.4697199999999997,23.470588235294116,7.083333333333333
22,a,1.16123,2.2106,0.403451,2.2106,3,16,2,2,0.5627,d,2016-02-27 18:30:00,0,1,0,1,-1.807149,8.185185185185185,2.7142857142857144
23,h,0.422078,3.36158,0.422078,3.36158,4,13,0,2,0.0565,l,2016-03-02 23:00:00,0,0,1,0,-2.939502,12.419354838709678,3.8461538461538463
