,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.577316,0.547769,0.577316,0.547769,5,4,1,0,1.294,w,2015-08-15 17:30:00,1,0,0,3,0.0295470000000001,12.9,4.321428571428571
1,h,0.0514071,3.63386,0.0514071,2.87608,1,15,0,4,0.012199999999999999,l,2015-08-23 17:30:00,0,0,1,0,-2.8246729,9.28125,4.357142857142857
2,a,1.24787,0.832315,1.24787,0.832315,3,2,1,0,1.6797,w,2015-08-29 17:30:00,1,0,0,3,0.415555,15.65,4.761904761904762
3,h,0.178191,0.732037,0.178191,0.732037,7,4,0,0,0.7018,d,2015-09-12 17:30:00,0,1,0,1,-0.5538460000000001,10.964285714285714,4.695652173913044
4,a,1.47429,1.22829,0.716516,1.22829,3,8,1,0,1.5915000000000001,w,2015-09-19 17:30:00,1,0,0,3,-0.5117740000000001,4.571428571428571,4.2727272727272725
5,h,0.718034,1.16174,0.718034,1.16174,7,1,0,1,0.8999999999999999,l,2015-09-22 22:00:00,0,0,1,0,-0.44370600000000004,7.481481481481482,7.611111111111111
6,a,0.638071,1.3352,0.638071,1.3352,3,7,1,1,0.7076,d,2015-09-25 22:30:00,0,1,0,1,-0.6971289999999999,11.541666666666666,8.05
7,h,1.185,0.740308,1.185,0.740308,9,3,2,0,1.7325000000000002,w,2015-10-03 17:30:00,1,0,0,3,0.4446920000000001,10.333333333333334,8.588235294117647
8,a,1.63336,1.33256,0.854614,1.33256,8,4,0,1,1.6057,l,2015-10-18 19:30:00,0,0,1,0,-0.477946,5.76,5.535714285714286
9,h,0.66126,0.702791,0.66126,0.702791,4,3,0,1,1.1768999999999998,l,2015-10-24 20:30:00,0,0,1,0,-0.041531000000000096,7.617647058823529,14.6875
10,a,0.26092,1.07951,0.26092,1.07951,3,7,1,1,0.5754,d,2015-10-31 18:30:00,0,1,0,1,-0.8185899999999999,6.868421052631579,7.166666666666667
11,a,0.939938,1.28313,0.939938,1.28313,8,3,0,0,1.0520999999999998,d,2015-11-07 18:30:00,0,1,0,1,-0.34319200000000005,5.130434782608695,3.7857142857142856
12,h,2.73623,0.58372,1.97845,0.58372,2,6,3,1,2.7603,w,2015-11-22 20:40:00,1,0,0,3,1.39473,4.181818181818182,7.7727272727272725
13,a,0.366248,1.50396,0.366248,1.50396,4,8,0,4,0.4215,l,2015-11-28 18:30:00,0,0,1,0,-1.137712,7.913043478260869,9.074074074074074
14,h,0.489495,1.12887,0.489495,1.12887,4,6,1,1,0.7123,d,2015-12-05 18:30:00,0,1,0,1,-0.639375,4.911111111111111,6.314285714285714
