,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.558815,3.13195,0.558815,3.13195,3,5,0,2,0.1114,0,0,1,0,-2.5731349999999997,17.68421052631579,12.785714285714286
1,0.8361989999999999,4.77447,0.8361989999999999,4.77447,3,12,1,2,0.4102,1,0,1,3,-3.9382709999999994,22.026315789473685,8.080357142857142
2,1.015928,8.82832,1.015928,8.82832,3,28,1,8,0.42260000000000003,1,0,2,3,-7.812391999999999,25.73976608187134,8.520238095238094
3,2.644038,10.2707,2.644038,10.2707,5,35,2,9,1.9285,1,1,2,4,-7.626662,25.002192982456137,7.547585978835978
4,2.773906,12.22543,2.773906,12.22543,8,43,2,10,2.1118,1,1,3,4,-9.451524,23.51084529505582,7.038068783068783
5,4.051636,13.77069,3.293858,13.77069,11,49,4,12,3.2346000000000004,1,2,3,5,-10.476832,20.742371079213182,6.676651522122537
6,5.982906,16.63595,3.7095730000000002,15.87817,15,56,5,14,3.9537000000000004,1,2,4,5,-12.168597,18.467486899065847,6.865701304676461
7,7.3632159999999995,17.213827000000002,5.089883,16.456047,20,59,8,15,6.0198,2,2,4,8,-11.366164,18.33315817953976,7.03526641936968
8,7.562818999999999,18.857467000000003,5.289486,18.099687000000003,22,68,8,17,6.2463,2,2,5,8,-12.810201,17.5553998632946,6.6940463410270175
9,8.426067,19.531495000000003,6.152734000000001,18.773715000000003,22,79,10,20,7.824,2,2,6,8,-12.620980999999999,17.139145591250855,6.512641706924316
10,10.351537,20.715585000000004,8.078204000000001,19.957805000000004,29,84,10,21,9.798399999999999,2,2,7,8,-11.879601,16.077794693344934,6.471088420436247
11,11.616927,23.447385000000004,9.343594000000001,21.931825000000003,31,91,11,24,10.175899999999999,2,2,8,8,-12.588230999999999,16.52038587630693,6.492437112672621
12,12.184491000000001,25.567425000000004,9.911158,24.051865000000003,38,99,11,26,10.538299999999998,2,2,9,8,-14.140706999999999,15.634202347360242,6.528275283492675
13,12.789067000000001,27.182235000000002,10.515734,24.908896000000002,41,108,11,27,11.036199999999997,2,2,10,8,-14.393161999999998,16.325165915955388,6.984588953719389
14,13.658733000000002,28.399955000000002,11.3854,26.126616000000002,47,116,11,28,12.058699999999998,2,2,11,8,-14.741215999999998,16.645912430649272,6.97228302347143
15,14.734983000000001,30.449545,12.46165,28.176206,49,122,11,30,12.751599999999998,2,2,12,8,-15.714555999999998,17.516257189447977,6.976991524980656
16,15.537218000000001,31.716695,13.263885,29.443356,51,125,11,30,13.684399999999998,2,3,12,9,-16.179471,17.264712648892214,6.793471015107845
17,17.097148,34.989715000000004,14.066040000000001,32.716376000000004,54,131,12,36,14.057699999999999,2,3,13,9,-18.650336,16.70371009432413,6.70177024442725
18,17.347652,37.39082500000001,14.316544,34.359716000000006,57,141,12,38,14.1481,2,3,14,9,-20.043172,16.99484609555165,6.607190858129074
19,19.282402,38.137578000000005,16.251294,35.106469000000004,65,152,14,39,16.4,3,3,14,12,-18.855175,16.666315911986192,6.544831315222621
20,19.59925,39.86996800000001,16.568142,36.081082,67,163,14,41,16.65,3,3,15,12,-19.51294,16.504075118999193,6.639635266198414
21,20.279857,41.687858000000006,17.248749,37.141192000000004,75,170,15,43,17.0768,3,3,16,12,-19.892443,16.03101598602416,6.676350409600878
22,21.959887,43.686778000000004,18.928779,38.382342,83,178,15,45,18.2042,3,3,17,12,-19.453563,15.526561874830563,6.866405567775581
23,23.622017,44.985348,19.833136999999997,39.680912,89,184,17,46,19.8565,4,3,17,15,-19.847775,15.240732907823734,6.781198192927789
24,24.367725,47.263188,20.578844999999998,41.958752,92,192,17,47,20.2545,4,3,18,15,-21.379907,15.029853591510784,6.837950265210677
25,25.419615,51.265438,21.630734999999998,45.96100199999999,95,205,17,51,20.4039,4,3,19,15,-24.330267,14.993906841654141,6.779759870394882
26,25.96835,53.318678000000006,22.17947,48.014241999999996,95,214,17,53,20.7581,4,3,20,15,-25.834772,14.785378305431262,6.8805095048247
27,26.948489000000002,56.977298000000005,22.401833,51.672861999999995,96,229,19,56,20.880399999999998,4,3,21,15,-29.271029000000002,14.828757651665859,6.824432194923326
28,28.432609000000003,59.772318000000006,23.885953,53.70726199999999,104,237,21,57,21.4482,5,3,21,18,-29.821309000000003,14.709502917828084,6.743371919599292
29,29.749539000000002,60.92228800000001,25.202883,54.857231999999996,110,250,23,58,22.964199999999998,6,3,21,21,-29.654349000000003,14.44739128210561,6.690387727407521
30,31.363779,62.039018000000006,26.817123,55.97396199999999,118,255,26,58,24.731299999999997,7,3,21,24,-29.156839000000005,14.482959305263494,6.761495763365512
31,32.554479,64.473218,27.250048,58.40816199999999,120,272,26,59,25.300499999999996,7,3,22,24,-31.158114000000005,14.601547382529565,6.882788306474626
32,33.308928,66.061678,28.004497,59.99662199999999,122,277,26,61,26.043999999999997,7,3,23,24,-31.992125000000005,14.41160150225089,7.020178559813778
33,33.906823,68.041058,28.602392000000002,61.97600199999999,129,292,28,63,26.471899999999998,7,4,23,25,-33.373610000000006,14.510748772645046,7.027988434104969
