,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.930915,1.86688,0.930915,1.1091,3,5,0,1,0.6309,0,0,1,0,-0.17818499999999993,8.956521739130435,12.208333333333334
1,1.896124,4.09348,1.896124,3.3357,6,24,0,3,1.1329,0,0,2,0,-1.4395759999999997,10.509510869565219,9.008012820512821
2,2.320581,4.818321999999999,2.320581,4.060542,8,28,0,5,2.1018,0,0,3,0,-1.7399609999999996,10.464673913043478,9.051318891836134
3,3.6967209999999997,6.007071999999999,3.6967209999999997,5.249292,19,31,1,8,3.5759,0,0,4,0,-1.5525709999999997,9.44633152173913,10.652125532513464
4,4.7438009999999995,7.8719719999999995,4.7438009999999995,7.114191999999999,27,34,2,10,4.2849,0,0,5,0,-2.3703909999999997,9.086476982097187,12.132226741800245
5,7.796870999999999,8.674187,7.039090999999999,7.9164069999999995,32,40,6,10,7.0741000000000005,1,0,5,3,-0.8773159999999995,10.602367182050687,11.758337099648353
6,8.530441,9.088488,7.772660999999999,8.330708,35,42,7,11,8.6851,1,1,5,4,-0.5580469999999995,10.362875574032865,11.18247076073755
7,9.742401,10.075902,8.984620999999999,9.318121999999999,44,46,10,11,10.2322,2,1,5,7,-0.3335009999999996,9.938609877278756,10.948123454106895
8,10.208891,10.891903999999998,9.451111,10.134123999999998,49,53,10,11,11.1708,2,2,5,8,-0.6830129999999996,11.067653224247785,10.550595333691724
9,13.057310999999999,11.906203999999999,12.299530999999998,10.390641999999998,53,64,13,12,13.7698,3,2,5,11,1.9088890000000005,10.846602187537291,10.578869133655886
10,14.181451,12.179590999999999,13.423670999999999,10.664028999999998,55,66,14,12,15.8879,4,2,5,14,2.7596420000000004,10.251456534124811,10.298971939687169
11,16.913251,13.444980999999999,15.397690999999998,11.929418999999998,62,68,17,13,18.3327,5,2,5,17,3.4682720000000007,9.95777455022047,11.223131685453978
12,18.041581,15.328580999999998,16.526021,13.055238999999997,66,75,18,15,19.0843,5,2,6,17,3.4707820000000007,9.592244381198986,10.891488071640776
13,18.740678,16.560530999999997,17.225118,14.287188999999996,68,84,18,16,19.97,5,2,7,17,2.9379290000000005,10.14621450303881,10.461738923666434
14,19.698943,17.815580999999998,18.183383,15.542238999999997,71,85,19,17,21.0127,5,3,7,18,2.6411440000000006,9.869800202836222,11.630956328755339
15,20.138757,20.292951,18.623196999999998,17.174628999999996,71,92,20,19,21.1403,5,3,8,18,1.4485680000000005,9.66043769015896,11.34152155820813
16,22.160307,20.815686,20.644747,17.697363999999997,81,103,21,19,23.6168,6,3,8,21,2.9473830000000003,9.517013250868564,11.025843819490005
17,22.781444,21.231752,21.265884,18.113429999999997,86,105,21,20,25.1003,6,3,9,21,3.1524540000000005,9.27082997502666,10.74315805174056
18,23.714673,22.439782,22.199113,19.32146,93,113,22,21,26.2101,6,4,9,22,2.8776530000000005,9.403581210460828,10.559307627964742
19,24.920153000000003,23.017066,23.404593000000002,19.898743999999997,99,114,24,21,28.107300000000002,7,4,9,25,3.5058490000000004,9.439171380707018,10.581342246566503
20,26.695933000000004,23.319263,25.180373000000003,20.200940999999997,101,114,25,22,30.685900000000004,7,5,9,26,4.979432,9.51859859387063,10.4788293504715
21,26.978407000000004,24.227054,25.462847000000004,21.108731999999996,108,118,26,23,31.361300000000004,7,6,9,27,4.354115,9.604874415361358,10.436688204446934
22,28.276767000000003,27.248694,26.003433000000005,24.130371999999998,112,127,28,27,31.736100000000004,7,6,10,27,1.8730609999999999,9.47445653460194,10.861542340485473
23,32.041947,28.302044000000002,29.768613000000006,24.425946999999997,125,132,31,27,34.5619,8,6,10,30,5.3426659999999995,9.326215290104637,11.000644742965244
24,33.087977,28.947306,30.814643000000004,25.071208999999996,127,141,32,27,36.2866,9,6,10,33,5.743434,9.150439405773177,10.93516440779209
25,33.666601,29.863623,31.393267000000005,25.987525999999995,131,148,33,28,37.1972,9,7,10,34,5.405741,9.307240687369314,10.778683725441113
26,34.397693,31.886373,32.124359000000005,27.252495999999994,134,157,33,31,37.616,9,7,11,34,4.871863,9.228401085191614,11.012630183581742
27,36.040673,33.476563,33.76733900000001,28.084906999999994,143,162,37,32,39.0004,10,7,11,37,5.682432,9.32228471990416,11.131744322987982
28,38.835693,34.960682999999996,35.801739000000005,29.569026999999995,151,170,38,34,41.247,10,7,12,37,6.232712,9.15509159889113,11.13997280738048
29,39.604625,35.694112999999994,36.570671000000004,30.302456999999993,155,170,39,35,42.5912,10,8,12,38,6.268214,9.18780066680688,11.007350057887152
30,42.065885,36.95852299999999,39.03193100000001,31.566866999999995,165,179,43,36,44.8707,11,8,12,41,7.465064,9.18174258078085,10.98990865817036
31,42.488444,39.44159299999999,39.45449000000001,33.292156999999996,170,185,43,38,45.022999999999996,11,8,13,41,6.162333,9.078090152158476,11.202180534341668
32,43.726424,41.26970299999999,40.69247000000001,35.120267,176,196,44,39,45.959799999999994,11,9,13,42,5.572203,9.024340384701762,11.053336353926623
33,44.857644,43.870802999999995,41.823690000000006,36.205816999999996,182,211,45,40,46.36529999999999,11,10,13,43,5.6178729999999995,9.253571015098235,10.940175942132933
