,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.54296,0.231368,1.54296,0.231368,5,3,0,0,2.5265999999999997,d,2017-08-20 14:30:00,0,1,0,1,1.311592,10.566666666666666,10.823529411764707
1,h,0.926888,1.07528,0.926888,1.07528,7,3,0,1,1.1555,l,2017-08-26 14:30:00,0,0,1,0,-0.14839199999999997,8.166666666666666,9.25
2,a,0.614198,0.632041,0.614198,0.632041,7,9,1,0,1.2603,w,2017-09-09 14:30:00,1,0,0,3,-0.017842999999999942,11.875,4.190476190476191
3,h,1.32498,0.72838,1.32498,0.72838,14,5,1,2,1.8418,l,2017-09-16 14:30:00,0,0,1,0,0.5966,4.88,14.380952380952381
4,a,1.33101,1.84333,0.573238,1.84333,4,6,1,0,0.8875,w,2017-09-20 17:30:00,1,0,0,3,-1.270092,10.074074074074074,6.580645161290323
5,a,0.539765,1.54654,0.539765,1.54654,3,6,1,2,0.542,l,2017-09-23 14:30:00,0,0,1,0,-1.006775,10.107142857142858,5.538461538461538
6,h,1.12984,0.884399,1.12984,0.884399,2,3,2,1,1.549,w,2017-09-30 14:30:00,1,0,0,3,0.2454409999999999,12.423076923076923,8.208333333333334
7,a,0.876712,0.6536,0.876712,0.6536,7,4,2,1,1.572,w,2017-10-14 14:30:00,1,0,0,3,0.2231120000000001,6.827586206896552,8.333333333333334
8,h,2.74141,2.08809,1.98363,2.08809,7,8,2,2,1.8373,d,2017-10-21 14:30:00,0,1,0,1,-0.10445999999999978,8.76923076923077,4.12
9,a,0.451566,0.284202,0.451566,0.284202,6,4,1,1,1.4268,d,2017-10-27 19:30:00,0,1,0,1,0.167364,4.684210526315789,6.1923076923076925
10,h,1.92121,1.08479,1.92121,1.08479,10,9,2,1,2.0404999999999998,w,2017-11-03 19:30:00,1,0,0,3,0.8364200000000002,6.586206896551724,11.166666666666666
11,a,0.436613,1.30552,0.436613,1.30552,5,6,1,1,0.5606,d,2017-11-18 14:30:00,0,1,0,1,-0.8689070000000001,9.536585365853659,3.6486486486486487
12,h,0.743407,0.943561,0.743407,0.943561,5,9,0,1,1.1732999999999998,l,2017-11-25 14:30:00,0,0,1,0,-0.20015399999999994,9.03125,9.961538461538462
13,a,0.419465,1.14526,0.419465,1.14526,3,0,2,1,0.6662,w,2017-12-03 14:30:00,1,0,0,3,-0.725795,9.285714285714286,10.73913043478261
14,h,0.486786,0.364594,0.486786,0.364594,8,4,0,1,1.4026,l,2017-12-09 14:30:00,0,0,1,0,0.12219200000000002,7.323529411764706,19.0
15,a,1.02455,1.79316,1.02455,1.79316,5,8,2,1,0.7927,w,2017-12-12 19:30:00,1,0,0,3,-0.76861,8.555555555555555,5.55
16,h,1.53257,1.82598,1.53257,1.82598,3,8,2,2,1.1551,d,2017-12-16 14:30:00,0,1,0,1,-0.29340999999999995,7.205882352941177,3.774193548387097
17,h,1.81323,0.309107,1.81323,0.309107,7,4,1,1,2.5322999999999998,d,2018-01-13 14:30:00,0,1,0,1,1.5041229999999999,5.4324324324324325,10.735294117647058
18,a,1.78303,0.7221,1.78303,0.7221,8,5,3,1,2.2156,w,2018-01-20 14:30:00,1,0,0,3,1.06093,8.821428571428571,15.733333333333333
19,h,1.33681,1.41602,1.33681,0.658247,6,4,2,0,1.2887,w,2018-01-26 19:30:00,1,0,0,3,0.678563,11.541666666666666,6.6571428571428575
20,a,0.35277,3.37224,0.35277,3.37224,3,4,0,3,0.052,l,2018-02-04 14:30:00,0,0,1,0,-3.01947,6.36,12.607142857142858
21,h,2.44799,1.30881,2.44799,0.55103,7,2,4,2,2.2409999999999997,w,2018-02-10 14:30:00,1,0,0,3,1.89696,8.74074074074074,12.833333333333334
22,h,1.64582,0.650812,1.64582,0.650812,7,4,2,1,2.1946,w,2018-02-19 19:30:00,1,0,0,3,0.9950080000000001,6.277777777777778,9.941176470588236
23,a,0.263378,1.94602,0.263378,1.94602,4,4,0,1,0.12390000000000001,l,2018-02-24 14:30:00,0,0,1,0,-1.682642,5.5,10.774193548387096
24,h,2.17331,0.775015,2.17331,0.775015,6,2,1,0,2.3977,w,2018-03-03 14:30:00,1,0,0,3,1.3982949999999998,12.777777777777779,10.4
