,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.231368,1.54296,0.231368,1.54296,3,5,0,0,0.28800000000000003,d,2017-08-20 14:30:00,0,1,0,1,-1.311592,10.823529411764707,10.566666666666666
1,a,0.456207,2.85363,0.456207,2.85363,5,14,1,4,0.17959999999999998,l,2017-08-27 14:30:00,0,0,1,0,-2.397423,11.344827586206897,5.72
2,h,0.490076,1.56801,0.490076,1.56801,1,9,0,0,0.5545,d,2017-09-09 14:30:00,0,1,0,1,-1.077934,33.18181818181818,2.7142857142857144
3,a,0.429073,2.25411,0.429073,2.25411,2,10,0,4,0.1976,l,2017-09-17 14:30:00,0,0,1,0,-1.8250369999999998,17.304347826086957,7.615384615384615
4,h,2.89359,1.03212,2.13581,1.03212,4,1,1,1,2.6149,d,2017-09-20 19:30:00,0,1,0,1,1.1036900000000003,7.59375,9.5
5,a,0.859674,1.41802,0.859674,1.41802,2,6,0,0,0.9002,d,2017-09-23 14:30:00,0,1,0,1,-0.558346,10.96,6.857142857142857
6,h,1.24882,0.627194,1.24882,0.627194,6,10,3,2,1.9307999999999998,w,2017-10-01 12:30:00,1,0,0,3,0.621626,14.714285714285714,10.777777777777779
7,a,0.345885,1.586,0.345885,1.586,2,16,0,5,0.4397,l,2017-10-14 14:30:00,0,0,1,0,-1.240115,30.857142857142858,10.578947368421053
8,h,2.83818,1.83067,2.0804,0.315112,11,8,1,1,2.1050999999999997,d,2017-10-22 14:30:00,0,1,0,1,1.765288,9.227272727272727,14.363636363636363
9,a,0.210495,1.36244,0.210495,1.36244,0,6,0,3,0.3661,l,2017-10-29 17:00:00,0,0,1,0,-1.151945,24.785714285714285,7.541666666666667
10,h,0.902185,0.749202,0.902185,0.749202,3,3,0,1,1.4526,l,2017-11-04 14:30:00,0,0,1,0,0.15298299999999998,11.666666666666666,8.54054054054054
