,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.55238,0.573987,0.55238,0.573987,4,11,1,0,1.2538,w,2017-08-19 14:30:00,1,0,0,3,-0.021607000000000043,10.68,4.583333333333333
1,a,1.64554,1.88741,1.64554,1.88741,4,10,3,1,1.2,w,2017-08-25 19:30:00,1,0,0,3,-0.24187000000000003,20.125,8.636363636363637
2,h,1.17417,1.37657,1.17417,1.37657,2,11,0,2,1.214,l,2017-09-08 19:30:00,0,0,1,0,-0.20240000000000014,15.5,3.739130434782609
3,a,0.453334,2.2982,0.453334,2.2982,3,8,0,2,0.1503,l,2017-09-15 19:30:00,0,0,1,0,-1.8448660000000001,8.454545454545455,5.739130434782608
4,h,0.186271,3.18132,0.186271,3.18132,4,10,0,3,0.0182,l,2017-09-20 19:30:00,0,0,1,0,-2.995049,5.967741935483871,5.03030303030303
5,a,0.443359,2.39337,0.443359,2.39337,3,10,0,3,0.1855,l,2017-09-24 17:00:00,0,0,1,0,-1.950011,5.636363636363637,6.0
6,h,0.957096,0.426954,0.957096,0.426954,5,4,0,0,1.8103,d,2017-09-30 17:30:00,0,1,0,1,0.5301419999999999,7.0,6.689655172413793
7,a,1.99466,1.24944,1.23689,1.24944,3,6,2,3,1.9922,l,2017-10-14 14:30:00,0,0,1,0,-0.012550000000000061,4.551724137931035,6.766666666666667
8,h,0.162992,2.29592,0.162992,2.29592,2,15,0,1,0.1163,l,2017-10-21 17:30:00,0,0,1,0,-2.132928,20.647058823529413,4.095238095238095
9,a,0.972895,0.827213,0.972895,0.827213,6,4,1,2,1.4751,l,2017-10-28 14:30:00,0,0,1,0,0.14568199999999998,7.6923076923076925,5.935483870967742
10,h,2.0244,1.21993,2.0244,0.462156,12,1,3,1,1.9553,w,2017-11-04 14:30:00,1,0,0,3,1.562244,4.545454545454546,21.1875
11,a,0.776725,2.0828,0.776725,1.32502,5,4,0,2,0.4243,l,2017-11-19 14:30:00,0,0,1,0,-0.5482950000000001,6.309523809523809,7.583333333333333
12,h,1.8111,0.606966,1.8111,0.606966,4,5,3,0,2.294,w,2017-11-26 14:30:00,1,0,0,3,1.2041339999999998,7.085714285714285,3.3846153846153846
13,a,0.460208,0.981146,0.460208,0.981146,4,8,0,0,0.851,d,2017-12-01 19:30:00,0,1,0,1,-0.5209379999999999,5.916666666666667,7.0
14,h,0.929827,0.0876003,0.929827,0.0876003,9,1,0,0,2.2053,d,2017-12-09 14:30:00,0,1,0,1,0.8422267,6.724137931034483,8.096774193548388
15,h,1.79316,1.02455,1.79316,1.02455,8,5,1,2,1.9633,l,2017-12-12 19:30:00,0,0,1,0,0.76861,5.55,8.555555555555555
16,a,0.569992,2.64643,0.569992,2.64643,9,6,1,3,0.149,l,2017-12-15 19:30:00,0,0,1,0,-2.076438,10.0,7.413793103448276
17,a,0.362892,1.32144,0.362892,1.32144,9,6,0,1,0.5501,l,2018-01-13 14:30:00,0,0,1,0,-0.958548,6.566666666666666,7.8
18,h,0.899507,1.38156,0.899507,1.38156,6,4,0,2,0.9395,l,2018-01-20 17:30:00,0,0,1,0,-0.48205299999999995,5.241379310344827,7.85
19,a,0.987601,1.09746,0.987601,1.09746,4,5,1,1,1.2652,d,2018-01-27 14:30:00,0,1,0,1,-0.10985900000000015,9.962962962962964,4.3
20,h,1.47817,1.12675,1.47817,1.12675,4,2,1,1,1.6577000000000002,d,2018-02-04 17:00:00,0,1,0,1,0.35142000000000007,6.90625,8.757575757575758
21,a,0.4947,2.58479,0.4947,2.58479,7,5,0,2,0.1333,l,2018-02-10 14:30:00,0,0,1,0,-2.09009,12.73076923076923,5.909090909090909
22,h,0.771028,2.12545,0.771028,2.12545,4,9,1,2,0.3798,l,2018-02-17 14:30:00,0,0,1,0,-1.3544219999999998,8.121212121212121,10.789473684210526
23,a,0.225135,0.888389,0.225135,0.888389,3,8,0,1,0.6441,l,2018-02-24 17:30:00,0,0,1,0,-0.663254,13.409090909090908,5.6521739130434785
24,h,1.74881,0.405966,0.991036,0.405966,10,1,0,0,2.5071,d,2018-03-03 14:30:00,0,1,0,1,0.58507,2.5813953488372094,10.608695652173912
25,a,0.00671621,4.9158,0.00671621,3.40025,2,11,0,6,0.0004,l,2018-03-10 14:30:00,0,0,1,0,-3.39353379,38.81818181818182,7.0
26,h,0.775841,2.42384,0.775841,2.42384,10,4,1,2,0.3443,l,2018-03-17 14:30:00,0,0,1,0,-1.6479990000000002,12.105263157894736,10.96551724137931
27,a,0.900691,1.08797,0.900691,1.08797,4,4,1,1,1.15,d,2018-03-31 14:30:00,0,1,0,1,-0.18727900000000008,15.5625,12.714285714285714
28,h,2.29435,1.35788,2.29435,1.35788,11,6,3,2,2.0589,w,2018-04-07 16:30:00,1,0,0,3,0.9364700000000001,4.405405405405405,8.064516129032258
29,a,0.338639,3.47924,0.338639,3.47924,7,9,0,2,0.0479,l,2018-04-14 13:30:00,0,0,1,0,-3.1406009999999998,7.5,14.722222222222221
30,h,1.72754,0.896138,1.72754,0.896138,5,7,1,0,2.0462,w,2018-04-21 13:30:00,1,0,0,3,0.8314020000000001,6.9,9.375
31,a,2.91172,0.910012,1.24807,0.910012,6,6,3,1,2.6915,w,2018-04-28 13:30:00,1,0,0,3,0.33805799999999997,9.7,10.2
32,a,0.848806,1.64906,0.848806,1.64906,2,4,0,3,0.7476,l,2018-05-05 14:30:00,0,0,1,0,-0.800254,5.681818181818182,10.925925925925926
33,h,2.35888,1.2463,1.6011,1.2463,9,6,2,1,2.1648,w,2018-05-12 14:30:00,1,0,0,3,0.3548,12.7,11.363636363636363
