,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.97427,0.806833,0.97427,0.806833,8,2,1,0,1.4686,1,0,0,3,0.16743699999999995,7.541666666666667,15.227272727272727
1,1.65428,3.242693,1.65428,2.484913,12,16,3,2,1.7251999999999998,1,1,0,4,-0.8306330000000001,10.725378787878787,10.648119122257054
2,2.266388,4.754613,2.266388,3.996833,14,25,5,2,2.3922,2,1,0,7,-1.730445,13.588849016480594,8.953818545272819
3,2.842441,5.209696,2.842441,4.451916,18,29,6,3,3.8026,2,2,0,8,-1.609475,13.366636762360447,9.660676408954615
4,3.802746,6.332196,3.802746,5.574415999999999,23,37,9,5,5.0166,3,2,0,11,-1.77167,12.682783094098884,9.831989403025762
5,5.120026,7.371896,5.120026,6.614115999999999,26,46,11,5,6.582000000000001,4,2,0,14,-1.4940900000000001,12.975652578415735,9.622617431814398
6,5.74722,8.620716,5.74722,7.8629359999999995,36,52,13,8,7.3665,4,2,1,14,-2.115716,12.661670464038886,10.349998615024585
7,7.66795,9.539707,7.66795,8.781927,46,56,15,10,9.459,4,3,1,15,-1.1139769999999998,13.052175941748311,10.654074875103033
8,9.58332,10.836347,8.82554,9.320788,52,59,16,11,11.352599999999999,4,4,1,16,-0.4952479999999999,12.563739725998499,11.157788777869364
9,10.66919,12.644527,9.91141,11.128968,62,66,17,14,12.2016,4,4,2,16,-1.217558,12.1592176052505,10.913884900082426
10,13.68861,13.501921,12.17305,11.986362,69,71,20,14,14.9056,5,4,2,19,0.18668799999999997,11.894743277500455,11.342168090984025
11,14.99413,13.938533999999999,13.47857,12.422975,75,76,21,15,17.0793,5,5,2,20,1.055595,11.207568725096138,11.191702863889828
12,15.601096,15.749633999999999,14.085536,14.234074999999999,80,80,21,18,17.5757,5,5,3,20,-0.14853899999999975,10.605803083520696,10.875857588645555
13,17.296746,16.033842999999997,15.781186,14.518284,86,82,25,18,20.087,6,5,3,23,1.2629020000000004,10.850992973159327,10.538742760885158
14,18.047002,17.519422999999996,16.531442,16.003864,98,86,25,20,20.8363,6,5,4,23,0.5275780000000005,10.689498203520134,10.477601351600923
15,20.148442,18.136089999999996,18.632882,16.620531,101,89,26,20,23.3499,7,5,4,26,2.0123510000000007,10.372793454689015,10.562985642125865
16,21.467252,21.516609999999996,19.951691999999998,19.243271,108,93,27,22,23.5927,7,5,5,26,0.7084210000000009,10.487335016177896,11.000457074941991
17,22.775461999999997,23.991379999999996,21.259901999999997,21.718041,117,103,28,23,24.1837,7,6,5,27,-0.45813899999999896,10.546371959723569,10.994684555452876
18,23.414165999999998,26.193189999999994,21.898605999999997,23.919851,124,116,29,27,24.506600000000002,7,6,6,27,-2.0212449999999986,10.428972881510973,10.913092970662959
19,24.430076,29.031509999999994,22.012908999999997,26.758171,129,128,31,32,24.712000000000003,7,6,7,27,-4.7452619999999985,10.451463631374818,10.888271655463145
20,26.486036,30.279459999999993,23.311088999999996,28.006121,146,130,32,33,26.690400000000004,7,7,7,28,-4.6950319999999985,10.622947819354462,11.023462182692171
21,29.463245999999998,31.731429999999992,26.288298999999995,29.458091,153,132,36,35,29.195600000000002,8,7,7,31,-3.1697919999999984,10.431952583546485,10.931486628933436
22,29.954745999999997,32.76176999999999,26.779798999999993,30.488431,157,137,37,37,29.995200000000004,8,7,8,31,-3.7086319999999984,10.135851237375839,10.74968286245807
23,30.519676999999998,33.77072999999999,27.344729999999995,30.739617,166,143,38,38,30.793500000000005,8,8,8,32,-3.3948869999999984,10.030728403560447,10.829557187633428
24,32.361207,34.29941999999999,29.186259999999994,31.268307,175,147,40,38,33.20270000000001,9,8,8,35,-2.0820469999999984,10.06469926741803,10.769708233461424
25,33.775867,34.525575999999994,30.600919999999995,31.494463,186,150,43,38,35.57860000000001,10,8,8,38,-0.8935429999999984,10.402291805715718,10.885853058490236
26,36.009937,36.82376599999999,32.077209999999994,33.792653,194,161,46,41,36.94510000000001,10,9,8,39,-1.7154429999999983,10.818764658227336,10.764921080589577
27,39.034547,37.610727999999995,35.10182,34.579615000000004,201,164,52,41,39.68460000000001,11,9,8,42,0.5222050000000018,10.950951634719216,10.736049675537464
28,39.65569000000001,39.438838,35.72296299999999,36.407725000000006,202,169,53,42,40.09020000000001,11,10,8,43,-0.6847619999999981,11.247470543866829,10.689978997070655
29,43.134930000000004,39.777477,39.20220299999999,36.74636400000001,211,176,55,42,43.00970000000001,12,10,8,46,2.455839000000002,11.363295599812009,10.583646363834966
30,46.57175,41.369766999999996,42.63902299999999,38.338654000000005,214,184,60,44,45.59790000000001,13,10,8,49,4.300369000000002,11.341898967560008,10.754335190808032
31,48.461600000000004,42.636537,44.52887299999999,39.605424000000006,229,189,63,45,47.48040000000001,14,10,8,52,4.9234490000000015,11.307777124823758,10.879909943368007
32,49.64213,43.617368,45.70940299999999,40.58625500000001,244,195,63,47,48.94280000000001,14,10,9,52,5.123148000000001,11.19599744283054,11.34415509659928
33,50.71606,45.195158,46.783332999999985,42.16404500000001,251,202,66,48,49.85540000000001,15,10,9,55,4.619288000000001,11.712857246548195,11.589915240816948
