,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.526663,0.610149,0.526663,0.610149,6,1,0,1,1.1633,l,2017-08-19 14:30:00,0,0,1,0,-0.08348600000000006,4.914285714285715,14.91304347826087
1,a,0.385982,2.08775,0.385982,1.32997,2,8,0,1,0.2277,l,2017-08-26 14:30:00,0,0,1,0,-0.943988,11.047619047619047,6.705882352941177
2,h,1.33781,0.964768,1.33781,0.964768,2,1,3,1,1.722,w,2017-09-09 14:30:00,1,0,0,3,0.373042,10.709677419354838,4.966666666666667
3,a,0.711282,4.4171,0.711282,4.4171,1,25,0,4,0.0511,l,2017-09-16 14:30:00,0,0,1,0,-3.705818,24.210526315789473,5.0
4,h,1.1225,0.960305,1.1225,0.960305,8,5,2,3,1.4942,l,2017-09-20 19:30:00,0,0,1,0,0.1621950000000001,10.517241379310345,9.947368421052632
5,h,1.17811,0.53695,0.42033,0.53695,1,2,1,0,1.9964,w,2017-09-23 14:30:00,1,0,0,3,-0.11662000000000006,12.545454545454545,5.896551724137931
6,a,0.90227,0.743969,0.90227,0.743969,9,5,1,1,1.4432,d,2017-09-30 14:30:00,0,1,0,1,0.15830100000000003,9.344827586206897,12.55
7,h,1.24944,1.99466,1.24944,1.23689,6,3,3,2,0.7544,w,2017-10-14 14:30:00,1,0,0,3,0.012550000000000061,6.766666666666667,4.551724137931035
8,a,0.596599,1.78667,0.596599,1.78667,1,4,0,2,0.394,l,2017-10-20 19:30:00,0,0,1,0,-1.190071,11.290322580645162,4.340909090909091
9,h,0.284202,0.451566,0.284202,0.451566,4,6,1,1,1.0356,d,2017-10-27 19:30:00,0,1,0,1,-0.167364,6.1923076923076925,4.684210526315789
10,a,0.834092,0.786005,0.834092,0.786005,6,10,1,1,1.3803,d,2017-11-04 14:30:00,0,1,0,1,0.04808699999999999,12.214285714285714,10.578947368421053
11,h,1.45054,0.577082,0.692762,0.577082,4,8,1,0,2.1721999999999997,w,2017-11-18 14:30:00,1,0,0,3,0.11568,11.9,10.24
12,a,0.713622,1.83095,0.713622,1.83095,6,4,1,2,0.5782,l,2017-11-25 14:30:00,0,0,1,0,-1.117328,8.107142857142858,5.73469387755102
13,h,0.578034,2.18855,0.578034,1.43078,5,4,1,3,0.2429,l,2017-12-02 14:30:00,0,0,1,0,-0.8527459999999999,3.675,5.425
14,a,1.28316,1.25461,1.28316,0.496832,1,5,2,2,1.3708,d,2017-12-09 14:30:00,0,1,0,1,0.7863280000000001,10.387096774193548,6.423076923076923
15,h,0.503881,2.02169,0.503881,2.02169,5,11,0,2,0.3305,l,2017-12-12 19:30:00,0,0,1,0,-1.517809,19.285714285714285,15.777777777777779
16,a,1.04877,1.20149,1.04877,1.20149,4,1,2,2,1.2130999999999998,d,2017-12-16 14:30:00,0,1,0,1,-0.15271999999999997,4.296296296296297,7.9375
17,a,0.431335,1.80008,0.431335,1.0423,2,7,2,3,0.34099999999999997,l,2018-01-13 14:30:00,0,0,1,0,-0.610965,11.0,12.473684210526315
18,h,2.3724,0.718389,2.3724,0.718389,5,5,3,2,2.5685,w,2018-01-20 14:30:00,1,0,0,3,1.6540109999999997,20.1875,8.23076923076923
19,a,0.142135,1.5045,0.142135,0.746721,3,6,0,2,0.20270000000000002,l,2018-01-28 14:30:00,0,0,1,0,-0.604586,11.742857142857142,7.9
20,h,1.12443,1.61624,1.12443,1.61624,5,14,0,2,0.9698,l,2018-02-03 14:30:00,0,0,1,0,-0.49180999999999986,13.428571428571429,6.869565217391305
21,a,1.45197,2.97721,1.45197,2.97721,2,7,2,4,0.3257,l,2018-02-10 14:30:00,0,0,1,0,-1.52524,9.0,6.421052631578948
22,a,1.22486,0.405793,1.22486,0.405793,4,1,2,0,2.1189,w,2018-02-16 19:30:00,1,0,0,3,0.819067,13.12,6.722222222222222
23,h,0.773004,1.00505,0.773004,1.00505,2,4,1,1,1.122,d,2018-02-23 19:30:00,0,1,0,1,-0.23204599999999997,11.310344827586206,9.2
24,a,0.405966,1.74881,0.405966,0.991036,1,10,0,0,0.31889999999999996,d,2018-03-03 14:30:00,0,1,0,1,-0.58507,10.608695652173912,2.5813953488372094
25,h,0.492366,0.213037,0.492366,0.213037,7,1,0,1,1.555,l,2018-03-09 19:30:00,0,0,1,0,0.27932900000000005,7.653846153846154,5.805555555555555
26,a,0.527164,2.11519,0.527164,2.11519,5,9,0,3,0.3077,l,2018-03-17 14:30:00,0,0,1,0,-1.5880260000000002,18.05263157894737,10.321428571428571
27,h,0.633771,0.658951,0.633771,0.658951,3,4,0,0,1.2902,d,2018-04-01 17:00:00,0,1,0,1,-0.02517999999999998,8.96774193548387,11.9
28,a,1.09441,1.31169,1.09441,1.31169,8,16,1,1,1.1768999999999998,d,2018-04-07 13:30:00,0,1,0,1,-0.21727999999999992,6.275862068965517,7.04
29,h,2.06006,0.3674,1.30228,0.3674,6,5,2,0,2.6729999999999996,w,2018-04-16 18:30:00,1,0,0,3,0.9348800000000002,8.478260869565217,10.7
30,a,0.293261,1.66389,0.293261,1.66389,5,2,0,2,0.34730000000000005,l,2018-04-22 13:30:00,0,0,1,0,-1.370629,6.035714285714286,8.535714285714286
31,h,2.16729,1.04843,1.40951,1.04843,8,8,3,0,2.2118,w,2018-04-29 13:30:00,1,0,0,3,0.36108000000000007,9.035714285714286,4.103448275862069
32,a,1.2057,0.552018,1.2057,0.552018,5,18,2,1,1.9832999999999998,w,2018-05-05 14:30:00,1,0,0,3,0.653682,14.68421052631579,4.5588235294117645
33,h,0.539651,1.0587,0.539651,1.0587,5,3,1,2,0.836,l,2018-05-12 14:30:00,0,0,1,0,-0.519049,9.583333333333334,9.347826086956522
