,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.879388,0.436556,0.879388,0.436556,6,1,0,2,1.7623000000000002,l,2017-08-19 14:30:00,0,0,1,0,0.44283199999999995,12.62962962962963,8.545454545454545
1,h,2.08775,0.385982,1.32997,0.385982,8,2,1,0,2.6414999999999997,w,2017-08-26 14:30:00,1,0,0,3,0.943988,6.705882352941177,11.047619047619047
2,a,1.30096,1.98675,1.30096,1.22897,2,2,1,3,0.8576,l,2017-09-10 17:00:00,0,0,1,0,0.07199,8.516129032258064,19.708333333333332
3,h,1.13249,0.453375,1.13249,0.453375,6,4,1,0,2.0063999999999997,w,2017-09-16 14:30:00,1,0,0,3,0.679115,12.074074074074074,9.785714285714286
4,a,0.49742,1.14939,0.49742,0.391613,3,3,0,2,0.6503,l,2017-09-19 17:30:00,0,0,1,0,0.10580699999999998,18.31578947368421,12.291666666666666
5,h,0.437172,0.373592,0.437172,0.373592,8,2,0,0,1.2991,d,2017-09-23 14:30:00,0,1,0,1,0.06358000000000003,7.55,18.3
6,a,0.884399,1.12984,0.884399,1.12984,3,2,1,2,1.1365,l,2017-09-30 14:30:00,0,0,1,0,-0.2454409999999999,8.208333333333334,12.423076923076923
7,h,2.18945,1.58359,2.18945,1.58359,9,7,2,1,1.8317999999999999,w,2017-10-13 19:30:00,1,0,0,3,0.6058599999999998,9.333333333333334,9.0
8,a,0.605992,0.865444,0.605992,0.865444,3,4,0,1,1.0739999999999998,l,2017-10-21 14:30:00,0,0,1,0,-0.259452,11.172413793103448,5.527777777777778
9,h,1.36244,0.210495,1.36244,0.210495,6,0,3,0,2.4022,w,2017-10-29 17:00:00,1,0,0,3,1.151945,7.541666666666667,24.785714285714285
10,a,1.21993,2.0244,0.462156,2.0244,1,12,1,3,0.7892000000000001,l,2017-11-04 14:30:00,0,0,1,0,-1.562244,21.1875,4.545454545454546
11,h,1.14326,1.79368,1.14326,1.0359,5,8,2,1,0.8384,w,2017-11-17 19:30:00,1,0,0,3,0.1073599999999999,9.310344827586206,5.095238095238095
12,a,1.59485,1.87707,1.59485,1.1193,9,7,1,1,1.1139999999999999,d,2017-11-24 19:30:00,0,1,0,1,0.47555000000000014,6.896551724137931,12.0
13,a,1.1158,0.71301,1.1158,0.71301,6,4,0,1,1.7285,l,2017-12-02 14:30:00,0,0,1,0,0.40278999999999987,4.575,11.892857142857142
14,h,0.405005,1.90593,0.405005,1.90593,6,7,0,2,0.3225,l,2017-12-08 19:30:00,0,0,1,0,-1.5009249999999998,8.407407407407407,15.761904761904763
15,a,0.616667,2.10144,0.616667,2.10144,3,3,0,1,0.3323,l,2017-12-13 17:30:00,0,0,1,0,-1.4847730000000001,11.84375,5.622222222222222
16,h,1.0958,1.44251,0.338027,1.44251,4,7,0,1,1.0073,l,2017-12-16 14:30:00,0,0,1,0,-1.1044829999999999,7.714285714285714,12.0
17,h,0.282511,1.01714,0.282511,1.01714,6,5,1,0,0.5611999999999999,w,2018-01-13 14:30:00,1,0,0,3,-0.734629,11.875,12.631578947368421
18,a,0.718389,2.3724,0.718389,2.3724,5,5,2,3,0.2945,l,2018-01-20 14:30:00,0,0,1,0,-1.6540109999999997,8.23076923076923,20.1875
19,h,0.503564,2.63904,0.503564,1.88126,3,4,0,2,0.15849999999999997,l,2018-01-27 14:30:00,0,0,1,0,-1.3776959999999998,5.341463414634147,14.107142857142858
20,a,1.85583,0.810006,1.85583,0.810006,4,2,1,1,2.2304,d,2018-02-03 14:30:00,0,1,0,1,1.045824,12.62962962962963,16.866666666666667
21,h,0.648719,0.467987,0.648719,0.467987,1,6,1,0,1.5226,w,2018-02-11 14:30:00,1,0,0,3,0.18073200000000006,13.96,7.105263157894737
