,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.05775,3.34179,1.05775,1.82624,6,10,0,2,0.2097,0,0,1,0,-0.7684900000000001,17.625,13.166666666666666
1,1.9354049999999998,5.47687,1.9354049999999998,3.9613199999999997,10,12,1,5,0.7108,0,0,2,0,-2.0259150000000004,16.3125,10.244623655913978
2,2.7201299999999997,6.88032,1.9624333999999999,5.36477,11,25,2,8,1.4832,0,0,3,0,-3.4023366000000004,24.299242424242426,9.731709888256377
3,4.0137,7.64323,3.2560034,6.12768,27,32,3,8,3.288,1,0,3,3,-2.8716766000000002,20.61332070707071,10.57656019397006
4,5.49441,9.395669999999999,4.7367134,7.122339,32,40,5,9,4.4,2,0,3,6,-2.3856256,18.368917435221785,11.052914821842716
5,6.83485,12.37712,6.0771534,10.103789,36,48,7,13,4.788600000000001,2,0,4,6,-4.0266356000000005,17.401181196018154,10.526238542011788
6,7.386756,12.878689,6.6290594,10.605358,39,53,7,13,6.095600000000001,2,1,4,7,-3.9762986000000007,16.019693772411166,10.718918750295817
7,9.776636,13.953089,8.2611594,11.679758000000001,47,56,9,15,8.426900000000002,2,2,4,8,-3.4185986000000006,14.70175586038358,10.45905390650884
8,13.848746,15.452359000000001,12.3332694,13.179028000000002,55,63,15,17,11.112700000000002,3,2,4,11,-0.8457586000000004,15.637671875896514,10.10153450693506
9,16.063216,17.387929,14.547739400000001,14.356818000000002,63,67,16,21,12.667600000000002,3,2,5,11,0.19092139999999969,15.030426427437297,10.112809627670126
10,16.506431,19.939199,14.990954400000001,16.908088000000003,64,78,16,24,12.835300000000002,3,2,6,11,-1.9171336000000005,14.490470305934734,10.442621547040181
11,19.135590999999998,20.332960999999997,17.620114400000002,17.30185,77,81,18,24,15.5896,4,2,6,14,0.31826439999999945,14.241264447106838,10.7390697514535
12,20.528610999999998,21.008408999999997,19.013134400000002,17.977298,83,86,19,25,17.5526,4,3,6,15,1.0358363999999993,13.360068280845873,10.882887128431992
13,22.063630999999997,21.776781999999997,20.5481544,18.745671,96,88,20,25,19.5348,5,3,6,18,1.8024833999999994,12.852982658300983,10.803950746242405
14,22.808375999999996,25.372662,21.292899400000003,22.341551000000003,100,98,21,27,19.636,5,3,7,18,-1.0486516000000008,12.62338987502031,10.487196135089402
15,23.491939999999996,27.217191999999997,21.976463400000004,24.186081,102,106,23,28,20.1314,6,3,7,21,-2.209617600000001,12.321560360772716,10.17619082109076
16,25.316759999999995,28.484531999999998,23.801283400000003,25.453421000000002,111,111,26,29,21.9219,7,3,7,24,-1.6521376000000008,12.614063730554252,10.5432776355364
17,26.526009999999996,29.231575999999997,25.010533400000003,26.200465,117,115,26,30,23.6402,7,3,8,24,-1.1899316000000009,12.277081695344249,10.8944086759864
18,29.529879999999995,30.422655999999996,27.256623400000002,27.391545,131,118,29,30,26.1176,8,3,8,27,-0.13492160000000064,12.236182658747182,10.945420659546924
19,30.806779999999996,32.290656,28.533523400000004,29.259545,135,125,32,31,27.0461,9,3,8,30,-0.7260216000000008,12.070925249947756,10.820730271730868
20,34.11026,34.175225999999995,31.837003400000004,31.144115,146,130,37,32,29.340799999999998,10,3,8,33,0.6928883999999991,11.779669069214313,11.116517309482546
21,36.013799999999996,34.384412999999995,33.74054340000001,31.353302,152,130,39,32,32.0267,11,3,8,36,2.387241399999999,11.621851943690586,12.238926695848058
22,37.27674999999999,35.43524299999999,35.00349340000001,32.404132,156,134,41,35,33.529199999999996,11,3,9,36,2.599361399999999,11.462707879249189,12.54422855973368
23,40.53661999999999,35.69797299999999,38.26336340000001,32.666861999999995,167,136,43,35,36.507799999999996,12,3,9,39,5.596501399999999,11.383904574756663,13.324183948692145
24,42.97867999999999,36.37080899999999,40.70542340000001,33.33969799999999,182,139,46,37,39.15239999999999,13,3,9,42,7.3657254,11.107215058433063,13.149926268163814
25,43.89598199999999,37.683058999999986,41.62272540000001,34.65194799999999,197,141,47,40,40.15469999999999,13,3,10,42,6.970777399999999,10.92583387725587,13.411366350967228
26,45.61034199999999,40.130358999999984,43.33708540000001,37.09924799999999,210,144,48,44,40.97829999999999,13,3,11,42,6.2378374,10.893395585505653,13.552330238129471
27,47.73574199999999,41.57482899999999,44.70494540000001,37.78594599999999,219,145,50,48,42.92829999999999,13,3,12,42,6.918999400000001,10.791845743166165,13.468751344343461
28,50.27095199999999,42.019111999999986,46.482385400000005,38.23022899999999,229,150,51,48,45.65639999999999,14,3,12,45,8.2521564,10.784245151037283,13.543720509809452
29,51.78251199999999,42.264850999999986,47.99394540000001,38.47596799999999,249,157,53,48,48.04459999999999,15,3,12,48,9.517977400000001,10.699770312669374,13.850596492815804
30,54.71181199999999,42.54305799999999,50.923245400000006,38.75417499999999,260,158,57,49,50.93339999999999,16,3,12,51,12.1690704,10.550969867800655,14.139286928531423
31,57.499481999999986,42.71372799999999,53.710915400000005,38.92484499999999,276,159,63,50,53.83979999999999,17,3,12,54,14.7860704,10.391390948320774,14.467595502337396
32,59.11484199999999,44.50565799999999,55.32627540000001,39.95899499999999,282,163,64,51,55.02589999999999,17,4,12,55,15.3672804,10.320707087141713,14.85533981725859
33,61.48967199999999,45.71042799999999,57.70110540000001,41.163764999999984,288,165,69,52,57.401999999999994,18,4,12,58,16.5373404,10.264005618192169,15.042458978643568
