,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,3.08883,0.697274,2.33114,0.697274,11,3,3,1,2.7901000000000002,w,2018-08-24 21:30:00,1,0,0,3,1.633866,9.411764705882353,13.333333333333334
1,a,1.71434,0.0990837,1.71434,0.0990837,18,6,3,0,2.5713000000000004,w,2018-09-01 16:30:00,1,0,0,3,1.6152563,7.88,31.666666666666668
2,h,1.40345,0.784725,1.40345,0.0270284,13,1,3,1,1.8758,w,2018-09-15 13:30:00,1,0,0,3,1.3764216,8.705882352941176,40.27272727272727
3,a,2.58882,0.358342,1.83112,0.358342,7,1,2,0,2.8166,w,2018-09-22 16:30:00,1,0,0,3,1.4727780000000001,7.190476190476191,17.20689655172414
4,h,1.43314,1.32512,1.43314,1.32512,3,3,1,1,1.3957,d,2018-09-25 18:30:00,0,1,0,1,0.10802,8.473684210526315,11.117647058823529
5,a,2.40599,1.48921,2.40599,0.731438,20,4,0,2,2.0448,l,2018-09-28 18:30:00,0,0,1,0,1.674552,4.161290322580645,17.0
6,h,0.595523,0.559058,0.595523,0.559058,8,1,0,3,1.3054999999999999,l,2018-10-06 16:30:00,0,0,1,0,0.03646499999999997,7.428571428571429,40.18181818181818
7,a,2.75811,0.815476,2.75811,0.815476,7,2,3,1,2.6766,w,2018-10-20 13:30:00,1,0,0,3,1.942634,13.529411764705882,15.8
8,a,2.15695,0.592384,2.15695,0.592384,12,3,2,1,2.498,w,2018-10-27 13:30:00,1,0,0,3,1.5645660000000001,8.55,27.357142857142858
9,h,1.8539,0.592458,1.8539,0.592458,17,1,1,1,2.3461,d,2018-11-03 14:30:00,0,1,0,1,1.2614420000000002,6.0,21.875
10,a,1.84247,2.56191,1.84247,1.80413,16,5,2,3,0.8308000000000001,l,2018-11-10 17:30:00,0,0,1,0,0.03834000000000004,9.741935483870968,24.642857142857142
11,h,2.81107,1.36755,2.81107,1.36755,13,0,3,3,2.3245999999999998,d,2018-11-24 14:30:00,0,1,0,1,1.44352,6.777777777777778,62.44444444444444
12,a,3.29433,0.637321,3.29433,0.637321,14,7,2,1,2.8282000000000003,w,2018-12-01 14:30:00,1,0,0,3,2.657009,16.733333333333334,17.571428571428573
13,h,2.8246,0.191129,2.8246,0.191129,21,2,3,0,2.898,w,2018-12-08 14:30:00,1,0,0,3,2.633471,4.766666666666667,66.71428571428571
14,a,4.18084,0.628893,4.18084,0.628893,23,1,4,0,2.9368,w,2018-12-15 14:30:00,1,0,0,3,3.5519469999999997,8.181818181818182,26.294117647058822
