,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.96153,1.46268,1.96153,1.46268,4,4,4,1,1.7433,1,0,0,3,0.49885,10.95,7.6
1,2.804041,1.9247130000000001,2.804041,1.9247130000000001,6,9,4,1,3.4477,1,1,0,4,0.879328,13.634090909090908,8.425
2,4.759071,2.124027,4.759071,2.124027,7,10,7,2,6.3003,2,1,0,7,2.635044,12.160822510822511,10.937654320987654
3,6.204670999999999,4.052167,6.204670999999999,4.052167,11,18,8,3,7.3039000000000005,2,2,0,8,2.1525040000000004,12.634505772005772,12.69133597883598
4,8.392131,4.206383,8.392131,4.206383,19,21,15,3,10.066500000000001,3,2,0,11,4.185748,12.757604617604617,16.59751322751323
5,11.373581,5.546823,11.373581,5.546823,27,25,19,5,12.5347,4,2,0,14,5.826758,11.946813371813372,15.925011022927691
6,13.473351,8.736193,13.473351,8.736193,35,32,23,8,13.2901,5,2,0,17,4.737158,13.644887652030508,14.996329794544081
7,14.426119,9.773123,14.426119,9.773123,43,38,27,8,14.5286,6,2,0,20,4.652996,14.243964195526695,15.196788570226072
8,17.998889,11.815913,17.998889,11.058133,58,43,29,10,16.880300000000002,6,3,0,21,6.9407559999999995,13.798867644700978,14.467515766126878
9,19.193239,12.259233,19.193239,11.501453,63,47,30,10,18.9756,7,3,0,24,7.691786,13.364814213564213,14.296954665704666
10,21.755149,14.101703,20.997369,13.343923,68,63,33,12,20.902,8,3,0,27,7.653446,14.390090843499934,13.882862012810694
11,22.837319,15.159753,22.079539,14.401973,73,68,35,13,22.2716,9,3,0,30,7.677566,13.891896998698469,15.10095684507647
12,25.528409,15.303534,24.012849,14.545754,80,68,37,13,25.1925,10,3,0,33,9.467095,13.621366460337047,15.488795329521137
13,26.427077,16.751144,24.911517,15.235587,83,73,39,14,25.9728,11,3,0,36,9.675930000000001,13.308510235337604,15.170630145885392
14,29.319957000000002,17.212352,27.804397,15.696795,96,78,41,15,28.7604,12,3,0,39,12.107602,13.768895267267478,14.892588136159699
15,30.615437000000004,18.585452,29.099877000000003,17.069895,108,79,42,17,30.043,12,3,1,39,12.029982,13.395839313063261,15.434023599871939
16,32.410707,19.102655,30.895147,17.587097999999997,121,80,44,18,32.4982,13,3,1,42,13.308049,13.599134168286119,15.872545087461173
17,33.432867,19.881601,31.917307,18.366044,124,87,45,18,34.060599999999994,14,3,1,45,13.551263,13.751034121899854,15.42840640374043
18,36.328847,20.701104,34.813287,19.185547,138,92,50,19,36.67099999999999,15,3,1,48,15.627740000000001,13.631173600248614,15.334430126851837
19,38.213047,22.144484000000002,36.697487,20.628927,149,95,51,20,38.37749999999999,15,4,1,49,16.06856,13.849614920236183,15.00981388366714
20,40.209577,24.619864000000003,38.694017,23.104307000000002,162,103,54,23,39.45869999999999,15,5,1,50,15.589710000000002,13.925228495463031,14.909182352260988
21,41.140108000000005,25.117872000000002,39.624548000000004,23.602315,165,104,54,23,41.163399999999996,15,6,1,51,16.022233000000003,13.718100884425239,15.40724982109761
22,42.190938,26.380822000000002,40.675378,24.865265,169,108,57,25,42.3548,16,6,1,54,15.810113000000003,13.959090827068374,15.083523240247212
23,45.045388,27.341851000000002,43.529828,25.826294,181,108,58,27,44.9478,16,6,2,54,17.703534000000005,13.702858868004016,15.33004310523691
24,47.604288000000004,28.239765000000002,45.330958,26.724208,192,110,61,28,47.478500000000004,17,6,2,57,18.606750000000005,13.479188957728299,15.511127095313148
25,49.841598000000005,30.448305,47.568268,28.174968,203,118,64,30,48.826100000000004,18,6,2,60,19.393300000000004,13.515703668145344,15.28153246344213
26,51.292528000000004,30.620093,49.019198,28.346756,206,120,66,30,51.339800000000004,19,6,2,63,20.672442000000004,13.511418347102923,15.118126269143952
27,51.770732,34.928853000000004,49.497402,32.655516,209,130,66,35,51.357200000000006,19,6,3,63,16.841886000000002,14.213932626914183,14.997836045245952
28,53.908752,37.865613,51.635422,35.592276,217,136,68,36,52.133700000000005,20,6,3,66,16.043146000000004,14.229544145526337,15.07748626119238
29,56.825372,38.401884,53.794261999999996,36.128547,225,139,72,36,54.996100000000006,21,6,3,69,17.665715000000002,14.679468431584551,15.110705854955103
30,57.927812,39.525554,54.896702,36.494518,229,141,74,40,56.271100000000004,21,6,4,69,18.402184000000002,14.53747841049401,14.986166956408164
31,60.598612,40.167818,57.567502,37.136782,237,150,76,42,58.897200000000005,21,7,4,70,20.43072,14.647765543499405,14.760227287800896
32,62.634922,42.245498,59.603812,38.456681999999994,246,154,79,44,60.207100000000004,22,7,4,73,21.14713,14.526737683206882,14.947796157867536
33,64.99440200000001,42.875457,61.963291999999996,39.08664099999999,268,159,81,44,62.854000000000006,23,7,4,76,22.876651000000003,14.560877751347856,15.574331564989079
