,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,3.34179,1.05775,1.82624,1.05775,10,6,2,0,2.7036,1,0,0,3,0.7684900000000001,13.166666666666666,17.625
1,4.65368,2.80985,3.1381300000000003,2.80985,19,11,3,1,3.7327,1,1,0,4,0.3282800000000001,13.044871794871796,14.738425925925926
2,6.0538799999999995,3.539201,4.53833,3.539201,23,19,5,2,5.667,2,1,0,7,0.999129,12.95973909131804,14.510802469135802
3,8.70094,7.496401,6.4276100000000005,7.496401,28,26,7,6,6.3426,2,1,1,7,-1.068791,14.278627847900294,15.320601851851851
4,10.25504,8.613491,7.9817100000000005,8.613491,35,29,10,7,8.0143,3,1,1,10,-0.6317809999999999,14.407517662935621,15.234259259259257
5,11.104388,9.416243,8.831058,9.416243,37,38,12,9,9.398800000000001,3,2,1,11,-0.585185,15.172931385779684,15.492835097001764
6,11.663446,10.011766,9.390116,10.011766,38,46,15,9,10.6629,4,2,1,14,-0.6216499999999999,18.74562949949947,14.340797430083144
7,14.670366000000001,10.484729999999999,12.397036,10.484729999999999,46,48,19,9,13.533000000000001,5,2,1,17,1.912306,18.918050812062035,15.514864417989418
8,15.816796000000002,11.898249999999999,12.785689,11.140474,50,51,20,12,14.618400000000001,5,2,2,17,1.645215,18.326146176378373,16.360435038212817
9,18.978776000000003,12.617766,15.189888999999999,11.85999,59,52,23,12,17.3835,6,2,2,20,3.329899,17.404245844454824,17.385929995929995
10,21.715866000000002,14.127316,17.926979,13.36954,65,64,26,13,19.572400000000002,7,2,2,23,4.5574390000000005,17.93243128716672,17.96123506123506
11,23.425296000000003,14.586482,19.636409,13.828706,79,64,30,14,21.8941,8,2,2,26,5.807703,17.3244256495998,20.339465472798807
12,24.053648000000003,16.982242,20.264761,16.224466,82,72,30,16,22.1825,8,2,3,26,4.040295,17.072546753476736,20.716067676248674
13,26.665008000000004,17.660778999999998,22.876121,16.903003,91,78,33,16,24.8058,9,2,3,29,5.973118,16.61498389013316,22.010158080326146
14,27.249213000000005,21.593778999999998,23.460326000000002,20.836002999999998,94,95,33,16,24.8517,9,3,3,30,2.6243230000000004,16.862873853013173,21.061332726822922
15,30.866863000000006,22.730148999999997,26.320196000000003,21.972372999999997,101,99,35,16,27.6704,10,3,3,33,4.347823,17.01727757053318,20.81047562187268
16,31.384066000000004,24.525418999999996,26.837399,23.767642999999996,102,112,36,18,28.0058,10,3,4,33,3.069756,17.36266647161293,20.577615400106748
17,32.13111000000001,25.734668999999997,27.584443,24.976892999999997,106,118,37,18,28.9795,11,3,4,36,2.60755,17.334942576725343,19.798213827699385
18,34.211580000000005,26.511754999999997,28.804863,25.753978999999998,115,122,39,18,31.4125,12,3,4,39,3.050884,17.26844183960446,19.45414307704244
19,36.085460000000005,27.175333999999996,30.678743,26.417557999999996,120,124,41,18,33.6946,13,3,4,42,4.261184999999999,16.916383383987874,19.31621853188597
20,37.388310000000004,29.668223999999995,31.981593,28.910447999999995,133,131,41,21,34.2745,13,3,5,42,3.0711449999999996,16.85110105834343,19.810318015715573
21,38.55847000000001,30.828913999999994,33.151753,30.071137999999994,142,134,42,22,35.6073,13,4,5,43,3.080615,16.549256751863705,19.521591439243654
22,39.73910000000001,31.623546999999995,34.332383,30.865770999999995,151,137,42,25,37.2811,13,4,6,43,3.466612,16.304506458304417,20.1027782848804
23,40.32191000000001,37.563776999999995,34.915193,36.048221,154,152,43,30,37.2854,13,4,7,43,-1.133028,17.50362424476395,19.922025268108424
24,41.52288000000001,38.141805999999995,36.116163,36.62625,158,162,44,30,39.252,14,4,7,46,-0.5100869999999998,17.523479274973393,19.87968971192954
25,42.696760000000005,38.65664399999999,37.290043,37.141087999999996,170,165,45,31,41.25,14,5,7,47,0.14895500000000017,17.39683658096554,19.835365981750435
26,44.038990000000005,40.32652399999999,38.632273,38.810967999999995,179,169,46,34,42.3318,14,5,8,47,-0.17869499999999983,17.006937641573902,19.940228970080664
27,46.03651000000001,41.37691399999999,40.629793,39.861357999999996,189,172,47,35,44.435,14,6,8,48,0.7684350000000002,16.897667312269572,19.744311701668693
28,47.79912000000001,42.74654399999999,42.392403,41.230987999999996,199,175,48,35,46.0792,15,6,8,51,1.1614150000000003,16.66364813291928,19.48389777031142
29,49.99743000000001,44.87720399999999,44.590713,42.603868,206,179,49,37,47.5088,15,6,9,51,1.9868450000000004,16.30496738870369,19.33176784463437
30,51.29964000000001,46.47487399999999,45.892923,44.201538,213,183,49,38,48.6304,15,6,10,51,1.6913850000000006,15.96448456971325,19.102703373219367
31,52.53912000000001,49.711273999999996,47.132403000000004,47.437938,222,194,51,40,48.9876,15,7,10,52,-0.30553499999999967,16.115147998338283,18.681880256442625
32,54.29623000000001,50.50886499999999,48.889513,48.235529,232,205,55,40,51.1496,16,7,10,55,0.6539840000000002,16.018114528032907,18.972511984208825
33,54.92618900000001,52.86834499999999,49.519472,50.595009,237,227,55,42,51.3782,16,7,11,55,-1.0755369999999997,16.613169983090764,18.875893984673272
