,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.32783,0.755029,1.32783,0.755029,5,4,1,2,1.8745,l,2018-08-25 16:30:00,0,0,1,0,0.5728010000000001,9.444444444444445,11.04
1,a,1.43691,2.25033,1.43691,2.25033,5,10,1,1,0.8436999999999999,d,2018-09-02 13:30:00,0,1,0,1,-0.81342,8.6,5.571428571428571
2,h,1.78366,2.19977,1.02589,2.19977,0,15,2,1,1.0763,w,2018-09-15 13:30:00,1,0,0,3,-1.17388,17.9375,4.956521739130435
3,a,1.23964,1.39372,1.23964,1.39372,6,10,0,0,1.212,d,2018-09-21 18:30:00,0,1,0,1,-0.15408,9.357142857142858,8.481481481481481
4,h,1.75244,1.48071,0.994659,1.48071,8,5,1,2,1.559,l,2018-09-26 16:30:00,0,0,1,0,-0.486051,12.958333333333334,9.391304347826088
5,a,1.17182,2.42225,1.17182,1.66448,11,3,0,3,0.4855,l,2018-09-29 13:30:00,0,0,1,0,-0.4926599999999999,13.0,26.23076923076923
6,h,0.557607,1.75802,0.557607,1.75802,5,4,0,2,0.4123,l,2018-10-06 13:30:00,0,0,1,0,-1.200413,10.428571428571429,7.423076923076923
7,a,0.666096,3.51257,0.666096,2.75479,3,8,1,7,0.1046,l,2018-10-19 18:30:00,0,0,1,0,-2.088694,14.608695652173912,14.777777777777779
8,h,0.245269,1.74956,0.245269,0.991785,3,6,0,3,0.23410000000000003,l,2018-10-27 13:30:00,0,0,1,0,-0.7465160000000001,15.210526315789474,6.916666666666667
9,a,0.719516,3.16198,0.719516,2.4042,1,9,0,3,0.1581,l,2018-11-04 14:30:00,0,0,1,0,-1.6846839999999998,26.615384615384617,9.107142857142858
10,h,2.89841,0.960102,2.89841,0.960102,8,3,4,1,2.5932999999999997,w,2018-11-10 14:30:00,1,0,0,3,1.9383080000000001,13.208333333333334,13.15
11,a,1.36755,2.81107,1.36755,2.81107,0,13,3,3,0.5069,d,2018-11-24 14:30:00,0,1,0,1,-1.44352,62.44444444444444,6.777777777777778
12,h,1.10941,1.02576,1.10941,1.02576,6,8,0,1,1.4137,l,2018-11-30 19:30:00,0,0,1,0,0.08365,16.41176470588235,22.692307692307693
13,a,1.37827,2.83748,0.620492,2.83748,4,5,1,3,0.3962,l,2018-12-07 19:30:00,0,0,1,0,-2.2169879999999997,19.571428571428573,5.2592592592592595
14,h,2.59785,0.798948,2.59785,0.798948,14,6,2,0,2.5471,w,2018-12-15 14:30:00,1,0,0,3,1.7989020000000002,16.72,8.428571428571429
15,h,1.3731,1.29548,1.3731,1.29548,1,12,2,1,1.4008,w,2018-12-18 19:30:00,1,0,0,3,0.07762000000000002,23.555555555555557,7.8
16,a,1.13166,0.6702,1.13166,0.6702,5,5,1,0,1.7559,w,2018-12-22 14:30:00,1,0,0,3,0.4614600000000001,10.222222222222221,6.3076923076923075
17,a,1.0413,0.869957,1.0413,0.869957,3,3,2,1,1.459,w,2019-01-19 14:30:00,1,0,0,3,0.1713429999999999,16.823529411764707,12.782608695652174
18,h,0.290714,2.02739,0.290714,2.02739,2,3,0,4,0.2052,l,2019-01-27 17:00:00,0,0,1,0,-1.736676,11.727272727272727,10.733333333333333
19,a,1.17944,1.63645,1.17944,0.878678,1,3,1,1,0.9818,d,2019-02-02 14:30:00,0,1,0,1,0.3007620000000001,16.136363636363637,4.966666666666667
20,h,1.64721,1.1803,1.64721,1.1803,7,5,3,0,1.7191,w,2019-02-10 17:00:00,1,0,0,3,0.46691000000000016,11.96,8.52
21,a,0.209187,1.90354,0.209187,1.90354,0,6,0,2,0.1887,l,2019-02-17 17:00:00,0,0,1,0,-1.694353,35.80952380952381,8.307692307692308
22,h,1.55152,0.112551,1.55152,0.112551,11,0,2,1,2.5821,w,2019-02-23 17:30:00,1,0,0,3,1.438969,5.363636363636363,27.272727272727273
23,a,2.89494,0.708083,2.13717,0.708083,4,6,4,0,2.7406,w,2019-03-02 14:30:00,1,0,0,3,1.4290869999999998,8.807692307692308,5.818181818181818
24,h,0.837274,2.76254,0.837274,2.76254,3,2,0,3,0.1784,l,2019-03-11 19:30:00,0,0,1,0,-1.9252660000000001,16.5625,8.931034482758621
25,a,1.93907,3.87623,1.93907,3.87623,2,4,2,5,0.3569,l,2019-03-16 14:30:00,0,0,1,0,-1.93716,14.75,6.588235294117647
26,h,1.66988,1.34223,1.66988,1.34223,4,9,3,1,1.6506,w,2019-03-30 14:30:00,1,0,0,3,0.32765,22.666666666666668,6.869565217391305
27,a,2.72781,1.90031,2.72781,1.90031,4,7,2,1,1.9602,w,2019-04-06 14:30:00,1,0,0,3,0.8274999999999999,16.40909090909091,6.741935483870968
28,h,0.972295,3.34878,0.214518,3.34878,1,12,1,4,0.1256,l,2019-04-14 14:30:00,0,0,1,0,-3.134262,33.357142857142854,8.807692307692308
29,a,2.5269,3.24326,1.76937,3.24326,4,7,1,3,0.9038,l,2019-04-20 14:30:00,0,0,1,0,-1.4738899999999997,14.333333333333334,8.08695652173913
30,h,2.06935,2.73602,2.06935,1.97824,6,16,4,1,0.9095,w,2019-04-27 14:30:00,1,0,0,3,0.09111000000000002,20.923076923076923,12.954545454545455
31,a,0.911705,1.2563,0.911705,0.498522,8,0,1,1,0.9742,d,2019-05-05 14:30:00,0,1,0,1,0.41318299999999997,12.941176470588236,16.90909090909091
32,a,2.07768,2.03631,1.3199,2.03631,4,9,2,3,1.4176,l,2019-05-11 14:30:00,0,0,1,0,-0.7164099999999998,20.95,10.653846153846153
33,h,2.17162,1.04029,2.17162,1.04029,14,5,2,1,2.2785,w,2019-05-18 13:30:00,1,0,0,3,1.13133,7.846153846153846,12.458333333333334
