,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.840127,1.91197,0.840127,1.91197,4,7,1,1,0.5885,d,2018-08-25 16:30:00,0,1,0,1,-1.0718429999999999,11.96,11.28
1,h,0.462033,0.842511,0.462033,0.842511,5,2,0,0,0.9115000000000001,d,2018-08-31 21:30:00,0,1,0,1,-0.380478,9.25,16.318181818181817
2,a,0.950644,2.35222,0.950644,2.35222,6,5,2,3,0.4726,l,2018-09-15 13:30:00,0,0,1,0,-1.401576,7.0,21.263157894736842
3,a,0.557368,1.64985,0.557368,1.64985,6,11,0,2,0.4538,l,2018-09-22 13:30:00,0,0,1,0,-1.092482,72.25,15.75
4,h,2.06878,1.98958,1.311,1.98958,8,7,1,3,1.4494,l,2018-09-25 18:30:00,0,0,1,0,-0.67858,6.814814814814815,14.04
5,a,0.613099,2.76495,0.613099,2.76495,2,8,1,4,0.1254,l,2018-09-30 13:30:00,0,0,1,0,-2.1518509999999997,6.3,9.296296296296296
6,h,2.0396,0.69495,2.0396,0.69495,2,3,3,1,2.3632999999999997,w,2018-10-06 13:30:00,1,0,0,3,1.3446500000000001,8.615384615384615,9.4
7,a,1.0744,2.38988,1.0744,1.6321,3,8,2,2,0.48059999999999997,d,2018-10-20 13:30:00,0,1,0,1,-0.5577000000000001,8.64,5.476190476190476
8,h,0.616434,1.45577,0.616434,0.697996,6,2,1,2,0.6052,l,2018-10-27 13:30:00,0,0,1,0,-0.08156199999999991,4.666666666666667,7.625
9,a,1.18456,2.95181,1.18456,2.19403,7,7,1,3,0.3495,l,2018-11-03 14:30:00,0,0,1,0,-1.00947,12.633333333333333,7.379310344827586
10,h,2.08751,2.99196,1.32974,2.23419,8,11,2,1,0.8005,w,2018-11-09 19:30:00,1,0,0,3,-0.90445,12.695652173913043,4.181818181818182
