,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.34412,1.03309,0.586343,1.03309,3,4,0,1,1.6267,l,2018-08-25 16:30:00,0,0,1,0,-0.4467470000000001,14.4,11.916666666666666
1,h,1.56238,0.367667,1.56238,0.367667,6,4,1,1,2.3979,d,2018-09-01 13:30:00,0,1,0,1,1.1947130000000001,12.25,24.0
2,a,0.514375,0.700449,0.514375,0.700449,4,3,1,1,1.1242,d,2018-09-16 13:30:00,0,1,0,1,-0.18607399999999996,15.38888888888889,8.928571428571429
3,h,1.64985,0.557368,1.64985,0.557368,11,6,2,0,2.3315,w,2018-09-22 13:30:00,1,0,0,3,1.092482,15.75,72.25
4,a,0.154216,2.18746,0.154216,2.18746,3,8,0,7,0.1397,l,2018-09-26 18:30:00,0,0,1,0,-2.0332440000000003,32.22222222222222,13.25
5,h,2.42225,1.17182,1.66448,1.17182,3,11,3,0,2.3295999999999997,w,2018-09-29 13:30:00,1,0,0,3,0.4926599999999999,26.23076923076923,13.0
6,a,0.394254,3.17935,0.394254,2.42157,2,5,0,6,0.0527,l,2018-10-07 16:00:00,0,0,1,0,-2.027316,28.916666666666668,8.2
7,h,1.11043,2.46148,0.352729,2.46148,3,15,1,3,0.4575,l,2018-10-20 13:30:00,0,0,1,0,-2.108751,25.266666666666666,5.708333333333333
8,h,0.949097,0.998569,0.949097,0.998569,3,4,1,1,1.2610000000000001,d,2018-10-28 11:30:00,0,1,0,1,-0.04947200000000007,17.933333333333334,11.947368421052632
9,a,1.37885,2.61879,1.37885,2.61879,6,7,2,2,0.5668,d,2018-11-03 14:30:00,0,1,0,1,-1.2399400000000003,11.272727272727273,7.571428571428571
10,h,0.434841,1.54977,0.434841,1.54977,4,3,0,2,0.4452,l,2018-11-10 14:30:00,0,0,1,0,-1.114929,10.2,14.0625
11,a,2.29783,2.77116,2.29783,2.77116,3,10,2,5,1.0676999999999999,l,2018-11-24 17:30:00,0,0,1,0,-0.47333000000000025,15.842105263157896,9.74074074074074
12,h,0.675448,1.39302,0.675448,1.39302,5,6,1,1,0.7642,d,2018-12-03 19:30:00,0,1,0,1,-0.7175719999999999,12.608695652173912,2.7857142857142856
13,a,0.191129,2.8246,0.191129,2.8246,2,21,0,3,0.0603,l,2018-12-08 14:30:00,0,0,1,0,-2.633471,66.71428571428571,4.766666666666667
14,h,0.601572,0.70077,0.601572,0.70077,7,2,0,2,1.195,l,2018-12-14 19:30:00,0,0,1,0,-0.09919800000000001,25.90909090909091,5.935483870967742
15,a,1.13637,3.61765,1.13637,2.85987,4,7,0,2,0.1145,l,2018-12-18 17:30:00,0,0,1,0,-1.7234999999999998,17.047619047619047,19.333333333333332
16,h,1.13859,0.318199,1.13859,0.318199,8,3,0,1,2.1162,l,2018-12-22 14:30:00,0,0,1,0,0.820391,8.545454545454545,14.952380952380953
17,h,1.1239,2.24853,1.1239,2.24853,10,9,1,3,0.6072000000000001,l,2019-01-20 14:30:00,0,0,1,0,-1.1246300000000002,17.142857142857142,11.4
18,a,0.32725,2.36343,0.32725,1.60566,2,7,1,2,0.1402,l,2019-01-26 14:30:00,0,0,1,0,-1.27841,9.041666666666666,7.333333333333333
19,h,1.09967,1.10992,1.09967,1.10992,2,5,1,1,1.3154000000000001,d,2019-02-02 14:30:00,0,1,0,1,-0.010250000000000092,14.909090909090908,7.379310344827586
20,a,0.981416,1.4289,0.981416,1.4289,5,6,0,2,0.9790000000000001,l,2019-02-09 14:30:00,0,0,1,0,-0.4474840000000001,14.944444444444445,5.45
21,h,0.498008,0.930531,0.498008,0.930531,1,3,0,0,0.9298,d,2019-02-18 19:30:00,0,1,0,1,-0.432523,25.866666666666667,9.368421052631579
22,a,0.112551,1.55152,0.112551,1.55152,0,11,1,2,0.23459999999999998,l,2019-02-23 17:30:00,0,0,1,0,-1.438969,27.272727272727273,5.363636363636363
23,h,1.02688,0.920561,0.269103,0.920561,6,4,0,1,1.4893,l,2019-03-02 14:30:00,0,0,1,0,-0.651458,10.285714285714286,4.282051282051282
24,a,0.79045,2.64002,0.79045,1.88225,3,12,1,2,0.2515,l,2019-03-10 14:30:00,0,0,1,0,-1.0918,27.333333333333332,6.181818181818182
