,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.34412,1.03309,0.586343,1.03309,3,4,0,1,1.6267,0,0,1,0,-0.4467470000000001,14.4,11.916666666666666
1,2.9065000000000003,1.400757,2.148723,1.400757,9,8,1,2,4.0245999999999995,0,1,1,1,0.747966,13.325,17.958333333333332
2,3.4208750000000006,2.101206,2.6630979999999997,2.101206,13,11,2,3,5.1488,0,2,1,2,0.5618920000000001,14.012962962962964,14.948412698412698
3,5.070725,2.6585739999999998,4.312948,2.6585739999999998,24,17,4,3,7.4803,1,2,1,5,1.654374,14.447222222222223,29.273809523809526
4,5.224941,4.8460339999999995,4.4671639999999995,4.8460339999999995,27,25,4,10,7.62,1,2,2,5,-0.37887000000000026,18.002222222222223,26.06904761904762
5,7.647191,6.017854,6.131644,6.017854,30,36,7,10,9.9496,2,2,2,8,0.11378999999999961,19.373646723646726,23.890873015873016
6,8.041445,9.197204,6.525898,8.439423999999999,32,41,7,16,10.0023,2,2,3,8,-1.9135260000000003,20.736935286935285,21.649319727891157
7,9.151875,11.658684,6.878627,10.900903999999999,35,56,8,19,10.4598,2,2,4,8,-4.022277,21.30315170940171,19.65669642857143
8,10.100972,12.657252999999999,7.827724,11.899472999999999,38,60,9,20,11.7208,2,3,4,9,-4.071749,20.928727445394113,18.800104427736006
9,11.479822,15.276043,9.206574,14.518263,44,67,11,22,12.287600000000001,2,4,4,10,-5.311688999999999,19.96312742812743,17.677236842105266
10,11.914663000000001,16.825813,9.641415,16.068033,48,70,11,24,12.732800000000001,2,4,5,10,-6.4266179999999995,19.075570389206753,17.348624401913877
11,14.212493,19.596973,11.939245,18.839193,51,80,13,29,13.800500000000001,2,4,6,10,-6.899948,18.806114962036016,16.714634096816116
12,14.887941,20.989993,12.614692999999999,20.232213,56,86,14,30,14.564700000000002,2,5,6,11,-7.61752,18.32939039973893,15.643178726731358
13,15.07907,23.814593,12.805822,23.056813000000002,58,107,14,33,14.625000000000002,2,5,7,11,-10.250990999999999,21.785454350777986,14.86628500815531
14,15.680641999999999,24.515362999999997,13.407394,23.757583,65,109,14,35,15.820000000000002,2,5,8,11,-10.350188999999999,22.060363454665513,14.27089826567614
15,16.817012,28.133013,14.543764,26.617453,69,116,14,37,15.934500000000002,2,5,9,11,-12.073688999999998,21.74706692922511,14.587300457404714
16,17.955602,28.451211999999998,15.682354,26.935652,77,119,14,38,18.050700000000003,2,5,10,11,-11.253297999999997,20.970501494885667,14.608775780638611
17,19.079501999999998,30.699741999999997,16.806254,29.184182,87,128,15,41,18.6579,2,5,11,11,-12.377927999999997,20.757854586439638,14.430510459492021
18,19.406751999999997,33.063171999999994,17.133504,30.789842,89,135,16,43,18.7981,2,5,12,11,-13.656337999999998,20.141213116977905,14.056974821273142
19,20.506421999999997,34.173092,18.233173999999998,31.899762,91,140,17,44,20.113500000000002,2,6,12,12,-13.666587999999997,19.879607006583555,13.723091597450864
20,21.487837999999996,35.601991999999996,19.214589999999998,33.328662,96,146,17,46,21.0925,2,6,13,12,-14.114071999999997,19.644599265529312,13.329134854715107
21,21.985845999999995,36.532523,19.712597999999996,34.259193,97,149,17,46,22.0223,2,7,13,13,-14.546594999999996,19.927420511035557,13.149102409165856
22,22.098396999999995,38.084042999999994,19.825148999999996,35.81071300000001,97,160,18,48,22.2569,2,7,14,13,-15.985563999999997,20.246781674587368,12.810603885447183
23,23.125276999999993,39.00460399999999,20.094251999999997,36.731274000000006,103,164,18,49,23.7462,2,7,15,13,-16.637021999999998,19.83173720005099,12.455247526972352
24,23.915726999999993,41.64462399999999,20.884701999999997,38.613524000000005,106,176,19,51,23.997700000000002,2,7,16,13,-17.728821999999997,20.131801045382282,12.204310353166186
25,24.61852899999999,44.23411399999999,21.587503999999996,41.203014,108,193,19,52,24.261200000000002,2,7,17,13,-19.615509999999997,19.91519331286758,11.993655059862592
26,26.387538999999993,45.10198799999999,23.356513999999997,42.070888000000004,110,198,22,52,26.391000000000002,3,7,17,16,-18.714373999999996,19.725741708687295,11.881235736657803
27,28.764488999999994,46.724197999999994,25.733463999999998,43.693098000000006,115,204,23,53,28.3484,3,8,17,17,-17.959633999999994,19.443869980996084,11.717989632762391
28,31.120618999999994,47.574566,27.331813999999998,44.54346600000001,124,209,24,54,30.789700000000003,3,9,17,18,-17.211651999999994,19.14864525548506,11.648138531367401
29,31.366357999999995,49.086126,27.577552999999998,46.05502600000001,131,229,24,56,31.174800000000005,3,9,18,18,-18.477472999999993,19.26869041363556,11.534867246988487
30,33.273517999999996,50.774006,28.726933,47.74290600000001,133,235,25,57,32.728,3,10,18,19,-19.015972999999992,19.68206599169033,11.45488945049065
31,33.83971699999999,51.955846,29.293132,48.92474600000001,135,243,25,59,33.4802,3,10,19,19,-19.631613999999992,19.660751429450006,11.32474673580798
32,34.63730799999999,53.712956,30.090723,50.68185600000001,146,253,25,63,34.09,3,10,20,19,-20.591132999999992,19.921720394397802,11.372876940124733
33,35.37174299999999,54.801145999999996,30.825158000000002,51.77004600000001,148,259,26,68,35.1158,3,10,21,19,-20.94488799999999,20.304274836579378,11.318299423630194
