,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.46268,1.96153,1.46268,1.96153,4,4,1,4,0.9972000000000001,l,2018-08-26 19:00:00,0,0,1,0,-0.49885,7.6,10.95
1,h,2.25033,1.43691,2.25033,1.43691,10,5,1,1,1.9351000000000003,d,2018-09-02 13:30:00,0,1,0,1,0.81342,5.571428571428571,8.6
2,h,2.35222,0.950644,2.35222,0.950644,5,6,3,2,2.3638000000000003,w,2018-09-15 13:30:00,1,0,0,3,1.401576,21.263157894736842,7.0
3,a,1.8818,1.80358,1.12402,1.80358,5,4,1,1,1.4144999999999999,d,2018-09-23 16:00:00,0,1,0,1,-0.6795599999999999,10.411764705882353,7.655172413793103
4,h,3.13273,0.640951,3.13273,0.640951,8,3,2,0,2.8197,w,2018-09-26 18:30:00,1,0,0,3,2.491779,14.863636363636363,8.05
5,a,1.47287,1.77221,1.47287,1.01443,9,11,2,1,1.1349,w,2018-09-29 13:30:00,1,0,0,3,0.45843999999999996,13.208333333333334,7.814814814814815
6,h,3.17935,0.394254,2.42157,0.394254,5,2,6,0,2.9081,w,2018-10-07 16:00:00,1,0,0,3,2.027316,8.2,28.916666666666668
7,a,1.098,0.267706,1.098,0.267706,7,1,0,0,2.1473,d,2018-10-20 13:30:00,0,1,0,1,0.8302940000000001,5.351351351351352,4.696969696969697
8,h,0.760107,0.754245,0.760107,0.754245,8,2,0,0,1.2953999999999999,d,2018-10-28 13:30:00,0,1,0,1,0.005861999999999923,4.444444444444445,11.0
9,a,3.76073,1.79233,3.76073,1.79233,17,7,3,0,2.4678,w,2018-11-03 17:30:00,1,0,0,3,1.9684000000000001,10.68,12.647058823529411
10,h,2.55127,0.443215,2.55127,0.443215,11,1,3,0,2.7390000000000003,w,2018-11-11 14:30:00,1,0,0,3,2.1080550000000002,13.74074074074074,9.090909090909092
11,a,0.647326,1.54495,0.647326,1.54495,8,4,0,1,0.5314,l,2018-11-24 14:30:00,0,0,1,0,-0.8976240000000001,6.444444444444445,12.8125
12,h,2.39576,0.628352,2.39576,0.628352,8,3,2,0,2.5795,w,2018-12-02 14:30:00,1,0,0,3,1.767408,25.235294117647058,14.05
13,a,1.23018,2.0335,1.23018,1.27572,7,1,0,3,0.7444000000000001,l,2018-12-08 14:30:00,0,0,1,0,-0.045539999999999914,5.793103448275862,11.842105263157896
14,h,4.47536,1.33833,4.47536,1.33833,9,3,4,1,2.8842,w,2018-12-16 14:30:00,1,0,0,3,3.13703,13.736842105263158,7.130434782608695
15,a,0.721767,1.81321,0.721767,1.81321,0,7,0,1,0.5257999999999999,l,2018-12-19 19:30:00,0,0,1,0,-1.091443,11.878787878787879,6.407407407407407
16,h,1.93805,2.10073,1.93805,2.10073,7,6,3,2,1.2746,w,2018-12-22 14:30:00,1,0,0,3,-0.16267999999999994,11.689655172413794,11.631578947368421
17,h,0.778946,1.02216,0.778946,1.02216,7,3,0,1,1.1082,l,2019-01-19 17:30:00,0,0,1,0,-0.24321399999999993,7.878048780487805,16.333333333333332
18,a,2.02739,0.290714,2.02739,0.290714,3,2,4,0,2.6754000000000002,w,2019-01-27 17:00:00,1,0,0,3,1.736676,10.733333333333333,11.727272727272727
19,a,2.35194,0.138262,1.59425,0.138262,3,1,3,0,2.8499,w,2019-02-01 19:30:00,1,0,0,3,1.455988,5.777777777777778,11.0
20,h,1.59427,0.501519,1.59427,0.501519,6,6,0,0,2.2469,d,2019-02-09 14:30:00,0,1,0,1,1.092751,11.0,8.0
21,a,1.32163,1.36671,1.32163,0.608932,2,4,3,1,1.2717,w,2019-02-16 14:30:00,1,0,0,3,0.712698,13.222222222222221,6.323529411764706
22,h,1.91108,1.30993,1.91108,1.30993,7,4,1,1,1.8104,d,2019-02-25 19:30:00,0,1,0,1,0.6011499999999999,5.288888888888889,5.133333333333334
23,a,0.920561,1.02688,0.920561,0.269103,4,6,1,0,1.1545,w,2019-03-02 14:30:00,1,0,0,3,0.651458,4.282051282051282,10.285714285714286
24,h,2.35335,0.181299,2.35335,0.181299,20,3,0,0,2.7964,d,2019-03-09 14:30:00,0,1,0,1,2.1720509999999997,5.708333333333333,30.8
25,a,1.69354,1.01343,1.69354,1.01343,7,7,1,0,1.9412000000000003,w,2019-03-16 14:30:00,1,0,0,3,0.68011,6.473684210526316,5.964285714285714
26,h,5.04475,0.895578,5.04475,0.895578,16,4,5,0,2.9729,w,2019-03-30 17:30:00,1,0,0,3,4.149172,17.36842105263158,17.8
27,a,1.44447,2.1254,0.686698,1.36786,1,9,4,2,0.7938,w,2019-04-06 14:30:00,1,0,0,3,-0.681162,11.212121212121213,8.05
28,h,2.11199,0.38877,2.11199,0.38877,7,5,2,0,2.5833,w,2019-04-13 14:30:00,1,0,0,3,1.72322,6.4411764705882355,10.61111111111111
29,a,2.13066,2.19831,1.37288,2.19831,4,7,2,1,1.3252000000000002,w,2019-04-20 17:30:00,1,0,0,3,-0.8254300000000001,14.92,5.903225806451613
30,h,2.04886,0.874413,1.29109,0.874413,9,8,2,1,2.2672999999999996,w,2019-04-27 14:30:00,1,0,0,3,0.4166770000000001,12.625,9.272727272727273
