,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.46268,1.96153,1.46268,1.96153,4,4,1,4,0.9972000000000001,0,0,1,0,-0.49885,7.6,10.95
1,3.7130099999999997,3.39844,3.7130099999999997,3.39844,14,9,2,5,2.9323000000000006,0,1,1,1,0.31457,6.585714285714285,9.774999999999999
2,6.06523,4.3490839999999995,6.06523,4.3490839999999995,19,15,5,7,5.296100000000001,1,1,1,4,1.716146,11.478195488721804,8.85
3,7.94703,6.152664,7.1892499999999995,6.152664,24,19,6,8,6.710600000000001,1,2,1,5,1.036586,11.211587793011942,8.551293103448275
4,11.07976,6.793615,10.32198,6.793615,32,22,8,8,9.5303,2,2,1,8,3.528365,11.941997507136827,8.45103448275862
5,12.55263,8.565825,11.79485,7.808045,41,33,10,9,10.6652,3,2,1,11,3.986805,12.153053478169577,8.344997871434654
6,15.73198,8.960079,14.21642,8.202299,46,35,16,9,13.5733,4,2,1,14,6.014120999999999,11.588331552716781,11.28380769932494
7,16.82998,9.227785,15.31442,8.470005,53,36,16,9,15.7206,4,3,1,15,6.844415,10.808709027546103,10.460452949030536
8,17.590087,9.982030000000002,16.074527,9.224250000000001,61,38,16,9,17.016,4,4,1,16,6.850276999999999,10.101568518312584,10.520402621360477
9,21.350817,11.774360000000001,19.835257,11.016580000000001,78,45,19,9,19.4838,5,4,1,19,8.818677,10.159411666481327,10.733068241577369
10,23.902086999999998,12.217575000000002,22.386526999999997,11.459795000000002,89,46,22,9,22.2228,6,4,1,22,10.926732,10.484987036868546,10.583781046062072
11,24.549412999999998,13.762525000000002,23.033852999999997,13.004745000000002,97,50,22,10,22.7542,6,4,2,22,10.029107999999999,10.148275154166537,10.769507625556898
12,26.945172999999997,14.390877000000001,25.429612999999996,13.633097000000001,105,53,24,10,25.3337,7,4,2,25,11.796515999999999,11.30881507443427,11.021853192821753
13,28.175352999999998,16.424377,26.659792999999997,14.908817,112,54,24,13,26.0781,7,4,3,25,11.750975999999998,10.914835672565813,11.080442626417192
14,32.650712999999996,17.762707,31.135152999999995,16.247147000000002,121,57,28,14,28.9623,8,4,3,28,14.888005999999997,11.102969434745635,10.81710877016329
15,33.372479999999996,19.575917,31.856919999999995,18.060357000000003,121,64,28,15,29.4881,8,4,4,28,13.796562999999997,11.151458087498275,10.541502434991049
16,35.31052999999999,21.676647,33.79496999999999,20.161087000000002,128,70,31,17,30.7627,9,4,4,31,13.633882999999997,11.18311673955213,10.605624582777953
17,36.08947599999999,22.698807,34.57391599999999,21.183247,135,73,31,18,31.8709,9,4,5,31,13.390668999999997,10.999501852937446,10.923830624475475
18,38.11686599999999,22.989521,36.60130599999999,21.473961000000003,138,75,35,18,34.5463,10,4,5,34,15.127344999999998,10.985492983484596,10.966117050938488
19,40.46880599999999,23.127783,38.19555599999999,21.612223000000004,141,76,38,18,37.3962,11,4,5,37,16.583333,10.725107223199256,10.967811198391562
20,42.06307599999999,23.629302000000003,39.78982599999999,22.113742000000002,147,82,38,18,39.643100000000004,11,5,5,38,17.676084,10.738197355427863,10.826486855611012
21,43.38470599999999,24.996012000000004,41.11145599999999,22.722674,149,86,41,19,40.91480000000001,12,5,5,41,18.388782,10.851107576645788,10.621806971799815
22,45.295785999999985,26.305942000000005,43.02253599999999,24.032604000000003,156,90,42,20,42.72520000000001,12,6,5,42,18.989932,10.609271981525923,10.383177683170839
23,46.216346999999985,27.332822000000004,43.94309699999999,24.301707000000004,160,96,43,20,43.87970000000001,13,6,5,45,19.64139,10.345637785714478,10.379116708276815
24,48.569696999999984,27.514121000000003,46.296446999999986,24.483006000000003,180,99,43,20,46.676100000000005,13,7,5,46,21.813441,10.160145607619233,11.195952039945741
25,50.26323699999998,28.527551000000003,47.989986999999985,25.496436000000003,187,106,44,20,48.61730000000001,14,7,5,49,22.493551,10.018358630807967,10.994734104343433
26,55.30798699999998,29.423129000000003,53.034736999999986,26.392014000000003,203,110,49,20,51.59020000000001,15,7,5,52,26.642723,10.290583164949581,11.246780989367752
27,56.752456999999985,31.548529000000002,53.721434999999985,27.759874000000003,204,119,53,22,52.38400000000001,16,7,5,55,25.961561,10.323495238062852,11.132610239747475
28,58.864446999999984,31.937299000000003,55.833424999999984,28.148644000000004,211,124,55,22,54.96730000000001,17,7,5,58,27.684781,10.189622177115453,11.114627511173806
29,60.99510699999998,34.135609,57.206304999999986,30.346954000000004,215,131,57,23,56.29250000000001,18,7,5,61,26.859351,10.34730143787827,10.940914121016398
30,63.04396699999998,35.010022,58.49739499999998,31.221367000000004,224,139,59,24,58.55980000000001,19,7,5,64,27.276028,10.420775585043488,10.88710164203933
31,65.79113699999998,36.731282,61.24456499999998,32.942627,233,148,62,27,60.66780000000001,19,8,5,65,28.301938,10.364427818599115,10.772140132392266
32,66.40096599999998,38.453042,61.85439399999998,34.664387000000005,240,156,62,27,61.123900000000006,19,9,5,66,27.190007,10.640541838526126,10.553149660060821
33,68.24640599999998,39.653422000000006,62.94214399999998,35.10698800000001,245,160,63,29,63.056700000000006,19,9,6,66,27.835156,10.663369039353789,10.54746878770609
