,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.904482,3.25906,0.904482,3.25906,3,14,1,5,0.1731,l,2019-08-17 14:30:00,0,0,1,0,-2.354578,22.666666666666668,5.913043478260869
1,h,1.37579,0.891198,1.37579,0.891198,3,2,1,1,1.7781,d,2019-08-24 14:30:00,0,1,0,1,0.484592,6.111111111111111,6.931034482758621
2,a,1.48072,2.46951,1.48072,2.46951,5,5,2,3,0.6535,l,2019-09-01 14:30:00,0,0,1,0,-0.9887900000000001,18.875,8.8125
3,h,1.58878,0.899696,1.58878,0.899696,3,9,2,1,1.9368999999999998,w,2019-09-14 13:30:00,1,0,0,3,0.689084,18.4,6.166666666666667
4,a,0.884946,1.70133,0.884946,1.70133,6,5,1,1,0.7102,d,2019-09-21 13:30:00,0,1,0,1,-0.816384,10.68,7.095238095238095
5,h,0.27153,0.978659,0.27153,0.978659,1,6,0,3,0.5853,l,2019-09-28 13:30:00,0,0,1,0,-0.7071289999999999,25.652173913043477,11.0
6,a,1.35488,3.59033,1.35488,3.59033,3,11,1,5,0.2173,l,2019-10-06 12:30:00,0,0,1,0,-2.2354499999999997,17.17391304347826,8.038461538461538
7,h,2.14428,3.06071,2.14428,3.06071,3,20,2,2,0.7853,d,2019-10-19 14:30:00,0,1,0,1,-0.9164299999999996,33.53846153846154,6.294117647058823
8,a,0.741183,0.955818,0.741183,0.955818,5,7,0,0,1.1178,d,2019-10-27 14:30:00,0,1,0,1,-0.2146349999999999,10.65,7.130434782608695
9,h,1.55099,0.355124,0.793215,0.355124,6,5,2,3,2.4675000000000002,l,2019-11-03 17:00:00,0,0,1,0,0.438091,15.565217391304348,6.764705882352941
10,a,1.09006,1.20293,1.09006,0.445318,17,3,1,0,1.2023000000000001,w,2019-11-09 14:30:00,1,0,0,3,0.644742,12.11111111111111,6.15
11,h,1.76885,0.801011,1.76885,0.801011,2,2,4,0,2.1532,w,2019-11-24 14:30:00,1,0,0,3,0.967839,11.130434782608695,14.166666666666666
12,a,2.28696,1.07293,1.52918,1.07293,5,8,1,1,2.3241,d,2019-11-30 14:30:00,0,1,0,1,0.45625000000000004,12.0,8.863636363636363
13,h,3.03979,0.426387,2.28201,0.426387,9,3,2,1,2.8823,w,2019-12-07 14:30:00,1,0,0,3,1.855623,9.85,6.961538461538462
14,a,2.22713,1.75727,1.46936,1.75727,5,12,4,2,1.7637999999999998,w,2019-12-13 19:30:00,1,0,0,3,-0.2879100000000001,31.428571428571427,5.866666666666666
15,h,1.4601,0.755838,1.4601,0.755838,5,0,3,0,1.9634,w,2019-12-17 19:30:00,1,0,0,3,0.7042619999999999,11.714285714285714,10.866666666666667
16,a,0.598351,3.84524,0.598351,3.84524,1,10,1,3,0.0389,l,2019-12-21 14:30:00,0,0,1,0,-3.246889,11.166666666666666,4.318181818181818
17,h,1.80963,3.75099,1.80963,3.75099,6,11,3,5,0.27699999999999997,l,2020-01-18 14:30:00,0,0,1,0,-1.9413599999999998,24.636363636363637,9.1
18,a,2.47924,1.19907,2.47924,1.19907,3,3,0,2,2.3209999999999997,l,2020-01-25 14:30:00,0,0,1,0,1.2801699999999998,10.6875,10.363636363636363
19,h,1.21583,0.630423,1.21583,0.630423,4,2,2,1,1.8457,w,2020-02-01 14:30:00,1,0,0,3,0.585407,11.842105263157896,11.421052631578947
20,a,1.00749,2.05219,1.00749,2.05219,3,2,0,5,0.5898,l,2020-02-07 19:30:00,0,0,1,0,-1.0447,19.705882352941178,8.04
21,h,0.666175,1.11403,0.666175,1.11403,3,8,1,1,0.9913,d,2020-02-15 14:30:00,0,1,0,1,-0.4478550000000001,17.68,13.125
22,a,0.683426,1.16763,0.683426,1.16763,3,8,0,2,0.8886000000000001,l,2020-02-23 14:30:00,0,0,1,0,-0.48420399999999997,19.566666666666666,6.190476190476191
23,h,1.10383,3.18339,1.10383,3.18339,4,10,2,3,0.25949999999999995,l,2020-02-29 14:30:00,0,0,1,0,-2.07956,17.428571428571427,12.0
24,a,1.0173,4.05804,1.0173,4.05804,3,15,0,2,0.08940000000000001,l,2020-03-08 14:30:00,0,0,1,0,-3.04074,21.047619047619047,5.454545454545454
25,h,1.24058,1.37909,1.24058,1.37909,0,5,1,2,1.1301999999999999,l,2020-05-16 13:30:00,0,0,1,0,-0.1385099999999999,14.0,7.178571428571429
26,a,1.5047,0.707591,1.5047,0.707591,0,4,3,0,2.0698,w,2020-05-24 11:30:00,1,0,0,3,0.797109,18.61904761904762,3.3823529411764706
27,h,0.501125,1.18949,0.501125,1.18949,4,0,0,0,0.6926,d,2020-05-27 18:30:00,0,1,0,1,-0.6883649999999999,12.5,23.25
28,a,1.13484,3.05122,1.13484,3.05122,3,2,0,2,0.3215,l,2020-05-30 13:30:00,0,0,1,0,-1.9163799999999998,32.0,8.481481481481481
29,h,2.20052,0.791182,1.44274,0.791182,2,2,1,1,2.4462,d,2020-06-07 16:00:00,0,1,0,1,0.6515579999999999,7.636363636363637,6.827586206896552
30,a,0.888099,1.43243,0.888099,1.43243,4,10,1,0,0.913,w,2020-06-14 13:30:00,1,0,0,3,-0.5443310000000001,12.304347826086957,5.631578947368421
31,h,0.486229,3.15146,0.486229,3.15146,1,11,1,3,0.1005,l,2020-06-17 18:30:00,0,0,1,0,-2.6652310000000003,23.923076923076923,6.852941176470588
32,a,0.987427,0.353005,0.987427,0.353005,5,2,1,1,1.9226,d,2020-06-20 13:30:00,0,1,0,1,0.634422,17.41176470588235,9.08
33,h,0.161187,1.88507,0.161187,1.88507,3,6,1,2,0.1649,l,2020-06-27 13:30:00,0,0,1,0,-1.723883,11.633333333333333,7.954545454545454
