,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.47707,1.18459,1.71929,1.18459,17,2,2,2,2.3576,0,1,0,1,0.5347,10.5,16.217391304347824
1,4.07436,2.2647500000000003,2.5587999999999997,2.2647500000000003,26,8,5,2,4.1845,1,1,0,4,0.2940499999999999,10.092105263157894,17.248695652173915
2,7.42033,2.9852200000000004,5.904769999999999,2.9852200000000004,34,10,11,3,6.9993,2,1,0,7,2.9195499999999996,8.513016411997736,18.282463768115942
3,9.09073,4.63949,7.575169999999999,3.8817160000000004,44,17,12,4,8.371,2,2,0,8,3.693454,8.670476594712587,18.006490683229813
4,12.014240000000001,5.67216,9.7409,4.914386,56,24,16,4,10.9166,3,2,0,11,4.8265139999999995,8.52038127577007,17.30519254658385
5,15.487290000000002,5.953271,13.21395,5.1954970000000005,73,26,19,6,13.843,4,2,0,14,8.018453,8.743174872665534,17.220993788819875
6,17.26056,6.677009,14.98722,5.9192350000000005,84,29,20,8,16.012900000000002,4,2,1,14,9.067984999999998,8.666563683959621,17.828520991920794
7,20.321270000000002,8.821289,18.04793,8.063515,104,32,22,10,18.0087,4,3,1,15,9.984414999999998,8.370007929347022,19.79226356023839
8,23.206030000000002,10.553689,20.93269,8.280361000000001,119,32,24,11,20.18,5,3,1,18,12.652328999999998,8.424855533156949,19.319313640846822
9,24.288310000000003,13.550729,22.01497,11.277401000000001,124,39,25,16,20.4745,5,3,2,18,10.737568999999997,9.082369979841253,18.38273111397144
10,28.197820000000004,14.159405,25.924480000000003,11.886077,132,40,29,16,23.4087,6,3,2,21,14.038402999999997,9.165790890764775,18.37273076476743
11,32.015100000000004,14.602896,29.741760000000003,12.329568,146,43,33,16,26.3551,7,3,2,24,17.412191999999997,8.865743099143073,19.540387816421426
12,34.261340000000004,16.050936,31.988000000000003,13.777608,162,46,34,18,28.252200000000002,7,3,3,24,18.210392,8.538158465143058,19.61420413823516
13,36.005120000000005,17.381776,33.73178,14.350676,170,48,35,20,29.9126,7,3,4,24,19.381104,8.326558401615523,18.92524312836122
14,41.84066000000001,17.917856999999998,39.56732,14.886757,185,51,41,21,32.9059,8,3,4,27,24.680563,8.094035153335778,19.869115808692694
15,46.25470000000001,20.056106999999997,43.98136,17.025007,200,59,44,22,35.448800000000006,9,3,4,30,26.956353,7.9583502639446,20.123129403982734
16,47.838820000000005,20.945762999999996,45.56548,17.914662999999997,211,64,46,22,37.36450000000001,10,3,4,33,27.650817,7.946094366065505,20.106082576297474
17,50.80337000000001,21.775012999999994,47.77226,18.743913,223,67,50,22,40.06880000000001,11,3,4,36,29.028347,7.757060137999064,20.40737864232016
18,54.705540000000006,22.176444999999994,51.67443,19.145345,233,69,55,22,43.01490000000001,12,3,4,39,32.529085,7.7924028375028715,21.207800009323556
19,56.741330000000005,22.509347999999996,53.71022,19.478248,242,72,58,23,45.591600000000014,13,3,4,42,34.231972,7.7456398384848715,21.10366000885738
20,57.815830000000005,24.269857999999996,54.78472,21.238758,248,77,58,23,46.387400000000014,13,4,4,43,33.545961999999996,7.7648950842713065,20.869446922015843
21,60.85799000000001,26.308937999999994,57.82688,23.277838,266,82,62,24,48.40430000000001,14,4,4,46,34.54904199999999,7.757063152831364,20.560987213439365
22,64.10239000000001,27.780887999999994,61.07128,24.749788,285,82,65,26,50.884000000000015,15,4,4,49,36.32149199999999,7.7142659406529255,21.087321102710117
23,68.88201000000001,28.335566999999994,65.8509,25.304467,298,84,71,26,53.85110000000002,16,4,4,52,40.54643299999999,7.754504859792387,21.16211409597955
24,72.94005000000001,29.352866999999993,69.90894,26.321766999999998,313,87,73,26,56.71370000000002,17,4,4,55,43.58717299999999,7.6625064835825105,21.15753429404513
25,74.33339000000001,29.901635999999993,70.544501,26.870535999999998,323,91,75,26,58.88690000000002,18,4,4,58,43.673964999999995,7.544717772675491,21.124552205812623
26,77.92401000000001,30.93197599999999,74.135121,27.900875999999997,329,93,80,28,61.60240000000002,19,4,4,61,46.234244999999994,7.494913410724546,21.228992659095283
27,78.69370200000002,31.548571999999993,74.904813,28.517471999999998,335,101,81,28,63.06860000000002,20,4,4,64,46.38734099999999,7.57858928312145,21.129544508572042
28,81.72133200000002,32.272155999999995,77.932443,29.241055999999997,350,101,86,28,65.79330000000002,21,4,4,67,48.69138699999999,7.594619937526557,21.464600002971412
29,84.37263200000002,33.040713999999994,80.58374300000001,30.009613999999996,361,104,90,30,68.36150000000002,22,4,4,70,50.57412899999999,7.719960563264919,21.16739290609817
30,86.15141200000002,34.024705,82.36252300000001,30.993604999999995,369,108,92,31,70.35660000000001,23,4,4,73,51.368917999999994,7.9064134483208885,21.15191248977242
31,87.48253200000002,34.299206999999996,83.69364300000001,31.268106999999993,384,112,93,31,72.64720000000001,24,4,4,76,52.425535999999994,7.906497118969952,21.272165224467035
32,89.62948200000002,35.725916999999995,85.84059300000001,32.69481699999999,400,117,96,32,74.55930000000001,25,4,4,79,53.14577599999999,7.996287061346357,21.195337251157824
33,92.85156200000003,36.471658,88.30490300000001,33.440557999999996,407,119,100,32,77.32570000000001,26,4,4,82,54.86434499999999,8.064507720532765,21.02012425077363
