,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.01536,2.0112,1.01536,2.0112,7,14,3,1,0.6734,1,0,0,3,-0.9958400000000001,21.0,11.866666666666667
1,2.13553,3.83589,2.13553,3.83589,11,21,4,4,1.5053999999999998,1,0,1,3,-1.7003599999999999,19.880000000000003,8.502298850574713
2,2.895339,5.5929400000000005,2.895339,5.5929400000000005,14,23,5,6,2.1022,1,0,2,3,-2.6976009999999997,17.38969696969697,7.74395680947405
3,3.575102,7.878960000000001,3.575102,7.878960000000001,18,26,6,7,2.4011,1,1,2,4,-4.303858,16.768463203463206,7.53018982932776
4,4.851762,12.164360000000002,4.851762,12.164360000000002,23,33,7,9,2.541,1,1,3,4,-7.312598,17.094770562770567,7.98885774581515
5,6.870191999999999,13.839200000000002,6.870191999999999,13.081499000000003,26,35,8,11,4.1574,1,1,4,4,-6.211307000000001,17.617437007437008,8.684048121512625
6,8.049692,15.861100000000002,7.291913999999999,15.103399000000003,28,41,9,14,4.8888,1,1,5,4,-7.811485000000001,16.90190252811371,9.04087241584199
7,10.067982,16.097383,9.310203999999999,15.339682000000003,34,41,10,14,7.5976,2,1,5,7,-6.029478000000001,16.25345042638521,9.746289679651214
8,11.504442000000001,16.836069000000002,10.746663999999999,16.078368000000005,39,44,10,16,9.535499999999999,2,1,6,7,-5.331704000000001,15.518218560827258,9.649479715245525
9,13.690902000000001,17.870409000000002,12.175343999999999,17.112708000000005,40,54,12,16,11.8243,3,1,6,10,-4.937364000000001,14.85349347893808,9.34974913502532
10,15.755522000000001,19.101729000000002,13.482183999999998,18.344028000000005,45,57,15,19,13.8943,3,2,6,11,-4.861844000000001,14.429101815869636,9.427044668204836
11,16.199013,22.919009000000003,13.925674999999998,22.161308000000005,48,71,15,23,13.924999999999999,3,2,7,11,-8.235633000000002,15.925394613265114,9.105225728463129
12,17.083336,25.610829000000003,14.809997999999998,24.853128000000005,51,77,16,24,14.2122,3,3,7,12,-10.043130000000001,15.568496126530436,9.547131441658273
13,17.185677,29.560979000000003,14.912338999999998,28.803278000000006,55,101,16,29,14.2211,3,3,8,12,-13.890939000000001,16.899317831778262,9.444863811210155
14,17.449220999999998,33.546299000000005,15.175882999999997,32.03082800000001,55,111,16,32,14.2392,3,3,9,12,-16.854945,20.163172833469236,9.439767627304917
15,18.205059,35.006399,15.931720999999998,33.490928000000004,55,116,16,35,14.992700000000001,3,3,10,12,-17.559207,19.582141198044077,9.581925007741217
16,19.375949,36.967799,17.102610999999996,35.452328,62,122,18,36,15.750700000000002,4,3,10,15,-18.349717000000002,19.404515245217954,9.611865247927563
17,20.385348999999998,37.636976,18.112010999999995,36.121505,68,128,18,37,17.381700000000002,4,3,11,15,-18.009494,18.731504541630578,9.609273700337384
18,21.09633,42.138256,18.822991999999996,39.865015,72,141,18,40,17.422600000000003,4,3,12,15,-21.042023,18.5087937762816,9.450412405104316
19,21.342124,43.487226,19.068785999999996,41.213985,73,147,19,41,17.794600000000003,4,4,12,16,-22.145199,18.241248824309626,9.733447340404656
20,22.040073,44.516196,19.766734999999997,42.242955,78,148,20,42,18.807800000000004,4,5,12,17,-22.47622,17.918072473368472,10.136021276575864
21,22.844507,47.285646,20.571168999999998,45.012405,84,153,21,46,19.086700000000004,4,5,13,17,-24.441236,17.65853887609415,10.318474854913324
22,23.718055,48.258295,21.444716999999997,45.985054,88,156,23,46,20.379700000000003,5,5,13,20,-24.540337,17.505400822192822,10.290135368467817
23,25.175785,51.297675,22.902447,48.266664,95,166,26,49,20.795900000000003,5,6,13,21,-25.364217,17.30441821217721,10.385685283670547
24,26.953705,52.271764,24.680366999999997,49.240753,104,167,27,50,22.831200000000003,5,7,13,22,-24.560386,16.978241483690123,10.884543586609439
25,28.002475,52.911744,25.729136999999998,49.880733,109,168,27,50,24.5511,5,8,13,23,-24.151596,16.847668093291784,11.132573961483434
26,28.446938,55.158794,26.173599999999997,51.370003,114,169,29,52,24.7312,5,9,13,24,-25.196403,16.70379012550183,10.923219370317382
27,30.181718,55.860848,27.908379999999998,52.072056999999994,120,172,31,53,26.9971,6,9,13,27,-24.163677,16.35722619244819,11.26127899598065
28,30.905302,58.888478,28.631963999999996,55.099686999999996,120,187,31,58,27.179,6,9,14,27,-26.467723,16.85684438740356,11.150320349942337
29,33.368342,60.333708,30.337633999999998,56.544917,127,188,33,60,29.2991,6,10,14,28,-26.207283,16.589152473040834,11.531420782722035
30,33.750681,61.017317,30.719972999999996,57.228525999999995,129,193,33,61,30.24,6,10,15,28,-26.508553,16.835892562236136,11.56196401132988
31,34.344927,62.269557,31.314218999999994,58.480765999999996,133,198,35,63,30.999899999999997,6,11,15,29,-27.166546999999998,17.241020919666255,11.558607181430366
32,34.697932,63.256983999999996,31.667223999999994,59.46819299999999,135,203,36,64,31.7309,6,12,15,30,-27.800969,16.993717255433946,11.735975591262246
33,35.69057,64.448134,32.659862,60.65934299999999,143,207,36,67,32.8686,6,12,16,30,-27.999481,16.81042865268309,11.745077913444373
