,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.18459,2.47707,1.18459,1.71929,2,17,2,2,0.4466,d,2019-08-16 19:30:00,0,1,0,1,-0.5347,16.217391304347824,10.5
1,h,0.936557,1.33245,0.936557,0.574671,10,5,0,3,0.9877,l,2019-08-25 17:00:00,0,0,1,0,0.36188599999999993,7.961538461538462,11.307692307692308
2,a,0.771094,1.16546,0.771094,1.16546,6,7,0,3,0.9470000000000001,l,2019-08-31 14:30:00,0,0,1,0,-0.394366,21.375,11.772727272727273
3,a,2.07839,1.1162,2.07839,1.1162,8,4,1,2,2.0599,l,2019-09-14 13:30:00,0,0,1,0,0.9621900000000001,14.833333333333334,10.521739130434783
4,h,0.983173,1.89015,0.983173,1.89015,4,8,2,1,0.6753,w,2019-09-21 13:30:00,1,0,0,3,-0.906977,8.18918918918919,5.862068965517241
5,a,2.20336,0.533432,2.20336,0.533432,4,8,4,0,2.6037999999999997,w,2019-09-29 16:00:00,1,0,0,3,1.669928,18.875,10.0
6,h,2.0219,1.1795,2.0219,0.421722,6,2,3,1,2.0196,w,2019-10-04 19:30:00,1,0,0,3,1.600178,11.181818181818182,12.608695652173912
7,a,0.353813,0.967641,0.353813,0.967641,2,10,1,1,0.7443,d,2019-10-19 14:30:00,0,1,0,1,-0.613828,24.23076923076923,15.105263157894736
8,h,2.37055,2.93074,2.37055,2.93074,7,4,2,3,1.0106,l,2019-10-26 14:30:00,0,0,1,0,-0.56019,9.764705882352942,11.352941176470589
9,a,0.415645,1.31187,0.415645,0.554093,4,3,0,1,0.47829999999999995,l,2019-11-02 17:30:00,0,0,1,0,-0.13844799999999996,27.22222222222222,8.5
10,h,0.46433,1.93927,0.46433,1.18157,2,9,2,4,0.23709999999999998,l,2019-11-09 14:30:00,0,0,1,0,-0.71724,16.130434782608695,7.068965517241379
11,a,0.801011,1.76885,0.801011,1.76885,2,2,0,4,0.6022000000000001,l,2019-11-24 14:30:00,0,0,1,0,-0.967839,14.166666666666666,11.130434782608695
