,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.760773,1.43141,0.760773,1.43141,5,7,0,0,0.7925,d,2019-08-17 17:30:00,0,1,0,1,-0.670637,15.285714285714286,5.757575757575758
1,h,1.08016,1.59729,1.08016,0.83951,6,9,0,3,0.8977999999999999,l,2019-08-24 17:30:00,0,0,1,0,0.24065000000000003,18.28,9.68421052631579
2,h,1.16546,0.771094,1.16546,0.771094,7,6,3,0,1.7378,w,2019-08-31 14:30:00,1,0,0,3,0.394366,11.772727272727273,21.375
3,a,1.9184,1.39508,1.9184,1.39508,14,3,5,1,1.7484000000000002,w,2019-09-15 16:00:00,1,0,0,3,0.52332,7.7407407407407405,8.5
4,h,0.873048,0.985151,0.873048,0.985151,6,6,2,1,1.2389999999999999,w,2019-09-20 18:30:00,1,0,0,3,-0.11210299999999995,8.333333333333334,7.125
5,a,2.64689,1.2781,1.88912,1.2781,10,13,3,1,2.35,w,2019-09-28 13:30:00,1,0,0,3,0.6110199999999999,9.606060606060606,6.36
6,h,2.04637,1.04818,2.04637,1.04818,12,2,1,1,2.1443000000000003,d,2019-10-05 17:30:00,0,1,0,1,0.9981900000000001,4.594594594594595,10.130434782608695
7,a,0.859284,0.973105,0.859284,0.973105,14,1,0,2,1.165,l,2019-10-20 17:00:00,0,0,1,0,-0.11382099999999995,6.0588235294117645,8.655172413793103
8,h,1.08518,0.346623,1.08518,0.346623,3,4,0,0,2.0754,d,2019-10-26 14:30:00,0,1,0,1,0.738557,11.0,8.0
9,a,0.355124,1.55099,0.355124,0.793215,5,6,3,2,0.3414,w,2019-11-03 17:00:00,1,0,0,3,-0.438091,6.764705882352941,15.565217391304348
10,h,1.23132,2.06462,1.23132,1.30684,3,5,3,3,0.6924,d,2019-11-09 14:30:00,0,1,0,1,-0.07552000000000003,10.2,10.185185185185185
11,a,0.660152,1.7254,0.660152,1.7254,4,7,2,1,0.48319999999999996,w,2019-11-23 14:30:00,1,0,0,3,-1.065248,9.333333333333334,8.575757575757576
12,h,1.27089,1.65551,1.27089,0.897809,9,1,2,1,1.0588000000000002,w,2019-11-29 19:30:00,1,0,0,3,0.3730810000000001,11.15,12.391304347826088
13,a,0.9976,3.0351,0.9976,3.0351,2,9,1,2,0.2574,l,2019-12-07 17:30:00,0,0,1,0,-2.0374999999999996,7.75,5.852941176470588
14,h,1.10732,1.01796,1.10732,1.01796,8,6,1,0,1.4098000000000002,w,2019-12-15 17:00:00,1,0,0,3,0.0893600000000001,9.95,12.631578947368421
15,a,1.73056,2.99738,1.73056,2.99738,8,13,1,1,0.5685,d,2019-12-18 19:30:00,0,1,0,1,-1.26682,6.419354838709677,8.083333333333334
16,h,1.70201,2.56208,1.70201,1.04661,9,3,2,2,0.7412,d,2019-12-21 14:30:00,0,1,0,1,0.6554,8.578947368421053,12.5
17,h,2.05715,0.838626,2.05715,0.838626,4,3,2,0,2.2721,w,2020-01-17 19:30:00,1,0,0,3,1.218524,6.588235294117647,5.758620689655173
18,a,0.401432,3.90217,0.401432,3.90217,2,10,0,5,0.0322,l,2020-01-25 17:30:00,0,0,1,0,-3.500738,35.61538461538461,8.428571428571429
19,a,1.11364,0.417351,1.11364,0.417351,6,2,0,0,2.0249,d,2020-01-31 19:30:00,0,1,0,1,0.6962889999999999,7.115384615384615,17.210526315789473
20,h,1.02675,0.561041,1.02675,0.561041,15,4,1,1,1.7528000000000001,d,2020-02-08 14:30:00,0,1,0,1,0.46570900000000004,4.285714285714286,14.772727272727273
21,a,1.11629,1.60342,1.11629,1.60342,3,8,0,0,1.0016,d,2020-02-16 17:00:00,0,1,0,1,-0.48713000000000006,4.869565217391305,12.73913043478261
22,h,0.289302,3.12937,0.289302,3.12937,2,5,0,5,0.0674,l,2020-02-22 17:30:00,0,0,1,0,-2.840068,5.775,9.25
23,a,0.592026,1.17896,0.592026,1.17896,3,4,0,3,0.8324,l,2020-02-29 17:30:00,0,0,1,0,-0.586934,8.863636363636363,11.483870967741936
24,h,1.1061,0.801078,1.1061,0.801078,3,2,1,1,1.5573000000000001,d,2020-03-07 14:30:00,0,1,0,1,0.3050220000000001,19.42105263157895,11.45
25,a,0.345513,1.45195,0.345513,1.45195,3,3,0,4,0.4547,l,2020-05-16 13:30:00,0,0,1,0,-1.1064370000000001,14.419354838709678,12.842105263157896
26,h,0.707591,1.5047,0.707591,1.5047,4,0,0,3,0.6649,l,2020-05-24 11:30:00,0,0,1,0,-0.797109,3.3823529411764706,18.61904761904762
27,a,0.702054,1.73478,0.702054,1.73478,3,6,1,2,0.5076,l,2020-05-27 18:30:00,0,0,1,0,-1.032726,20.38888888888889,7.0
28,h,0.788687,0.349616,0.788687,0.349616,6,6,0,1,1.7662,l,2020-05-30 13:30:00,0,0,1,0,0.43907100000000004,10.0,4.9655172413793105
29,a,0.166933,2.39933,0.166933,2.39933,1,2,1,1,0.0975,d,2020-06-07 13:30:00,0,1,0,1,-2.2323969999999997,5.555555555555555,9.043478260869565
30,h,1.47429,0.889455,0.716517,0.889455,2,6,1,1,1.9291,d,2020-06-14 16:00:00,0,1,0,1,-0.17293800000000004,18.185185185185187,4.642857142857143
31,a,1.22522,2.51124,1.22522,2.51124,5,5,1,2,0.4637,l,2020-06-17 16:30:00,0,0,1,0,-1.28602,17.736842105263158,4.848484848484849
32,h,0.670604,2.63286,0.670604,2.63286,0,3,1,4,0.2177,l,2020-06-20 13:30:00,0,0,1,0,-1.962256,7.925925925925926,6.514285714285714
33,a,0.651918,1.88174,0.651918,1.88174,7,10,0,4,0.49319999999999997,l,2020-06-27 13:30:00,0,0,1,0,-1.229822,16.789473684210527,11.529411764705882
