,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.782907,3.93387,0.782907,3.93387,2,12,0,4,0.0764,l,2019-08-18 17:00:00,0,0,1,0,-3.150963,15.76923076923077,8.227272727272727
1,a,0.891198,1.37579,0.891198,1.37579,2,3,1,1,0.909,d,2019-08-24 14:30:00,0,1,0,1,-0.484592,6.931034482758621,6.111111111111111
2,h,1.4209,1.60213,1.4209,1.60213,2,12,3,1,1.1764000000000001,w,2019-08-31 17:30:00,1,0,0,3,-0.18123,23.736842105263158,8.23076923076923
3,h,1.98106,2.14722,1.22329,0.631742,5,6,1,2,1.2346,l,2019-09-14 13:30:00,0,0,1,0,0.591548,8.76923076923077,9.117647058823529
4,a,0.125413,1.55742,0.125413,1.55742,1,8,0,2,0.25939999999999996,l,2019-09-21 13:30:00,0,0,1,0,-1.432007,22.52,9.5
5,h,0.7564,2.31283,0.7564,2.31283,4,2,1,2,0.3257,l,2019-09-27 18:30:00,0,0,1,0,-1.55643,13.642857142857142,9.875
6,a,0.511105,1.80334,0.511105,1.80334,2,6,0,1,0.4405,l,2019-10-06 14:30:00,0,0,1,0,-1.2922349999999998,7.678571428571429,9.15
7,h,1.47678,0.565578,1.47678,0.565578,8,6,2,0,2.1616,w,2019-10-19 14:30:00,1,0,0,3,0.911202,11.931034482758621,11.176470588235293
8,a,1.7324,2.88476,0.216846,2.88476,0,15,1,2,0.6191,l,2019-10-26 14:30:00,0,0,1,0,-2.667914,15.535714285714286,8.863636363636363
9,h,1.31187,0.415645,0.554093,0.415645,3,4,1,0,2.2744,w,2019-11-02 17:30:00,1,0,0,3,0.13844799999999996,8.5,27.22222222222222
10,a,1.5394,2.04684,1.5394,2.04684,6,8,3,2,1.0050000000000001,w,2019-11-09 14:30:00,1,0,0,3,-0.5074399999999999,10.076923076923077,6.310344827586207
11,h,1.49758,0.95814,1.49758,0.95814,4,7,2,0,1.8573,w,2019-11-23 14:30:00,1,0,0,3,0.5394399999999999,15.4,10.866666666666667
12,a,1.65551,1.27089,0.897809,1.27089,1,9,1,2,1.6642000000000001,l,2019-11-29 19:30:00,0,0,1,0,-0.3730810000000001,12.391304347826088,11.15
13,h,1.7912,0.772348,1.7912,0.772348,2,1,2,0,2.2051,w,2019-12-08 14:30:00,1,0,0,3,1.0188519999999999,4.8,7.433333333333334
