,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.510293,1.70398,0.510293,0.9462,5,7,0,3,0.3822,l,2020-09-19 16:30:00,0,0,1,0,-0.43590700000000004,12.1,28.76923076923077
1,h,1.47627,0.771461,1.47627,0.771461,1,3,1,1,1.9594,d,2020-09-26 13:30:00,0,1,0,1,0.704809,11.052631578947368,14.178571428571429
2,a,2.0629,0.244959,1.30512,0.244959,12,2,3,1,2.734,w,2020-10-03 13:30:00,1,0,0,3,1.0601610000000001,7.0625,12.9375
3,h,2.11077,1.34469,1.353,1.34469,6,4,1,1,1.9847000000000001,d,2020-10-17 18:30:00,0,1,0,1,0.00831000000000004,8.133333333333333,9.37037037037037
4,a,3.07629,1.90042,2.31851,1.90042,7,13,3,2,2.1282,w,2020-10-24 13:30:00,1,0,0,3,0.41808999999999985,6.064516129032258,13.89655172413793
5,h,0.615287,0.695278,0.615287,0.695278,6,5,1,0,1.2427,w,2020-10-31 17:30:00,1,0,0,3,-0.07999099999999992,11.464285714285714,10.064516129032258
6,a,3.02085,1.53904,2.26308,1.53904,2,9,3,4,2.3708000000000005,l,2020-11-08 17:00:00,0,0,1,0,0.72404,15.0,8.363636363636363
7,h,1.70506,0.813971,1.70506,0.813971,9,5,1,1,2.0798,d,2020-11-21 14:30:00,0,1,0,1,0.891089,10.1875,17.63157894736842
8,h,3.15544,0.734533,3.15544,0.734533,10,8,4,1,2.7609999999999997,w,2020-11-28 17:30:00,1,0,0,3,2.420907,9.375,15.173913043478262
9,a,1.66853,4.02129,1.66853,3.26352,5,3,2,2,0.2513,d,2020-12-05 14:30:00,0,1,0,1,-1.5949900000000001,9.0,13.148148148148149
10,h,1.35982,0.36509,1.35982,0.36509,6,4,1,1,2.276,d,2020-12-12 14:30:00,0,1,0,1,0.99473,10.619047619047619,11.65
11,a,1.14256,2.12722,0.384784,1.36945,2,8,3,3,0.5876,d,2020-12-15 17:30:00,0,1,0,1,-0.984666,5.62962962962963,9.088235294117647
12,h,2.12823,2.28754,1.37062,2.28754,3,8,1,2,1.2871,l,2020-12-19 14:30:00,0,0,1,0,-0.91692,12.28,8.028571428571428
13,a,1.88594,0.707828,1.88594,0.707828,16,6,1,0,2.2632,w,2021-01-02 14:30:00,1,0,0,3,1.178112,15.266666666666667,15.75
14,h,0.96923,1.32717,0.96923,0.569395,4,8,3,2,1.0061,w,2021-01-08 19:30:00,1,0,0,3,0.39983500000000005,23.105263157894736,8.88
15,a,1.43375,1.63795,0.675978,0.880178,3,7,2,2,1.1821000000000002,d,2021-01-16 17:30:00,0,1,0,1,-0.20420000000000005,14.592592592592593,13.235294117647058
16,h,0.645527,0.813286,0.645527,0.813286,7,4,1,0,1.146,w,2021-01-19 17:30:00,1,0,0,3,-0.167759,8.533333333333333,33.6
17,h,2.33235,1.93273,2.33235,1.93273,3,8,4,2,1.6894,w,2021-01-22 19:30:00,1,0,0,3,0.39961999999999986,19.263157894736842,9.548387096774194
18,a,0.580509,0.691595,0.580509,0.691595,8,2,1,1,1.1765,d,2021-01-30 14:30:00,0,1,0,1,-0.11108599999999991,11.0,22.166666666666668
19,h,0.42778,0.816611,0.42778,0.816611,5,3,1,2,0.8967,l,2021-02-06 17:30:00,0,0,1,0,-0.388831,7.125,32.42857142857143
20,a,0.663321,0.641105,0.663321,0.641105,7,6,0,0,1.3375000000000001,d,2021-02-14 17:00:00,0,1,0,1,0.022216000000000014,9.161290322580646,11.772727272727273
21,h,0.659888,0.665514,0.659888,0.665514,8,2,1,2,1.2638,l,2021-02-20 14:30:00,0,0,1,0,-0.00562600000000002,8.307692307692308,20.4
22,a,1.94164,1.89119,1.18386,1.89119,0,8,2,3,1.4592,l,2021-02-27 17:30:00,0,0,1,0,-0.70733,12.73913043478261,5.516129032258065
23,h,0.544034,1.36843,0.544034,1.36843,8,6,0,1,0.6038,l,2021-03-06 14:30:00,0,0,1,0,-0.824396,16.52,14.263157894736842
24,a,2.30606,1.14857,1.54829,1.14857,11,3,1,3,2.2071,l,2021-03-12 19:30:00,0,0,1,0,0.39971999999999985,8.041666666666666,24.0
25,a,2.06675,0.185724,2.06675,0.185724,9,3,3,0,2.7222,w,2021-03-20 17:30:00,1,0,0,3,1.8810259999999999,8.521739130434783,26.444444444444443
26,h,1.48872,1.96748,1.48872,1.96748,6,2,2,1,0.9952000000000001,w,2021-04-03 18:30:00,1,0,0,3,-0.47875999999999985,13.28,7.882352941176471
27,a,1.24723,1.41784,0.489458,1.41784,6,10,2,2,1.2379,d,2021-04-10 13:30:00,0,1,0,1,-0.928382,19.294117647058822,9.761904761904763
28,h,2.95451,0.609687,2.95451,0.609687,7,5,4,0,2.7352000000000003,w,2021-04-17 13:30:00,1,0,0,3,2.344823,20.166666666666668,7.318181818181818
29,a,0.8843,2.31017,0.8843,2.31017,5,9,2,3,0.41569999999999996,l,2021-04-21 18:30:00,0,0,1,0,-1.4258699999999997,21.733333333333334,13.352941176470589
30,h,3.75166,0.594905,2.99389,0.594905,12,3,5,0,2.8958999999999997,w,2021-04-25 16:00:00,1,0,0,3,2.3989849999999997,12.882352941176471,18.565217391304348
31,a,0.806609,3.02349,0.806609,2.26572,9,22,0,6,0.20879999999999999,l,2021-05-08 16:30:00,0,0,1,0,-1.459111,13.964285714285714,10.62962962962963
32,h,0.491123,0.532199,0.491123,0.532199,13,7,1,2,1.2252999999999998,l,2021-05-15 13:30:00,0,0,1,0,-0.041076,12.814814814814815,8.63888888888889
33,a,1.99606,1.88004,1.99606,1.88004,7,10,4,2,1.4663000000000002,w,2021-05-22 13:30:00,1,0,0,3,0.11602000000000001,10.076923076923077,9.292682926829269
