,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.07201,3.22891,1.07201,2.47113,2,14,1,3,0.2547,0,0,1,0,-1.3991200000000001,29.58823529411765,6.185185185185185
1,2.11685,6.1978100000000005,2.11685,5.44003,5,22,2,7,0.5161,0,0,2,0,-3.3231800000000002,20.42455242966752,8.034900284900285
2,2.305994,8.269260000000001,2.305994,7.511480000000001,7,23,2,11,0.6814,0,0,3,0,-5.2054860000000005,18.065643648763857,9.048907882241215
3,2.520956,8.723369000000002,2.520956,7.9655890000000005,10,25,2,12,1.621,0,0,4,0,-5.4446330000000005,15.719687282027436,10.420014245014245
4,4.421376,11.799659000000002,4.421376,10.284099000000001,23,32,4,15,2.3086,0,0,5,0,-5.862723000000001,15.355060170449537,9.548914621817847
5,5.432786,13.586819000000002,5.432786,12.071259000000001,28,38,5,18,3.0387000000000004,0,0,6,0,-6.638473000000001,14.162550142041281,10.72409551818154
6,8.796496000000001,15.293689000000002,7.2809360000000005,13.778129000000002,37,50,7,20,5.4891000000000005,0,1,6,1,-6.497193000000001,13.641493195342743,9.993324108751878
7,12.001106000000002,16.773479000000002,10.485546000000001,15.257919000000001,44,58,10,21,7.886900000000001,1,1,6,4,-4.772373000000001,17.755750990369343,10.256658595157893
8,13.785016000000002,17.881679000000002,12.269456000000002,16.366119,53,65,11,22,9.8023,1,2,6,5,-4.096663000000001,17.54551603184346,9.740685776341065
9,16.326946000000003,19.066529000000003,14.811386000000002,17.550969000000002,58,70,12,24,12.2481,1,2,7,5,-2.7395830000000014,16.74810728580197,9.471880356601696
10,17.588636000000005,19.905484,16.073076000000004,18.389924,66,70,12,25,13.9837,1,2,8,5,-2.3168480000000016,16.111915714365427,10.501709415092451
11,18.331598000000003,20.395612,16.816038000000002,18.880052,70,77,12,25,15.6165,1,3,8,6,-2.0640140000000016,16.21243788968346,10.063233630501413
12,18.720024000000002,21.698802,17.204464,20.183242,72,79,12,26,16.1389,1,3,9,6,-2.978778000000002,16.0156231407729,10.007087453796176
13,19.913724000000002,25.808942000000002,18.398164,23.535612,74,101,14,31,16.2556,1,3,10,6,-5.137448000000002,17.6276024402415,9.649438349953593
14,21.016754000000002,28.249372,19.501194,24.460484,80,109,14,33,16.6888,1,3,11,6,-4.959290000000002,17.237936190602213,9.535772089586317
15,21.553196000000003,30.147382,20.037636000000003,25.772974,81,121,15,34,17.0764,1,4,11,7,-5.735338000000002,17.114268882393276,9.183926958987172
16,21.925419000000005,31.1368,20.409859000000004,26.762392000000002,82,124,15,36,17.7781,1,4,12,7,-6.352533000000002,16.713429536370143,8.955460667282045
17,23.896939000000003,32.998310000000004,22.381379000000003,28.623902,87,137,18,38,19.249599999999997,2,4,12,10,-6.242523000000002,16.489886516150346,8.772749889470079
18,24.195718000000003,34.02573,22.680158000000002,29.651322,98,137,18,40,19.869699999999998,2,4,13,10,-6.971164000000002,15.93026842883416,8.750499895287442
19,26.402998000000004,34.963692,24.129818000000004,30.589284,104,141,19,40,22.2368,3,4,13,13,-6.459466000000002,15.795659769297213,8.810343321575703
20,28.678148000000004,36.715522,26.404968000000004,32.341114,116,145,21,42,23.9784,3,5,13,14,-5.936146000000002,15.558286009369292,8.747946020548287
21,29.343662000000005,37.37541,27.070482000000005,33.001002,118,153,23,43,25.3217,4,5,13,17,-5.930520000000001,15.778363918034323,8.727934488145744
22,29.798476000000004,38.65157,27.525296000000004,34.277162,129,158,23,44,25.9266,4,5,14,17,-6.7518660000000015,15.34234809551109,9.074211583978872
23,30.647401000000006,39.065719,28.374221000000006,34.691311,140,158,23,44,27.6055,4,6,14,18,-6.317090000000001,14.90461420377636,9.089637953164939
24,32.485521000000006,40.548189,30.212341000000006,36.173781,155,164,24,44,29.3063,5,6,14,21,-5.961440000000001,14.610051257246926,9.146922000255733
25,35.688491000000006,41.598839,33.415311,37.224430999999996,164,169,26,45,31.956,6,6,14,24,-3.8091200000000014,14.640433901198966,9.143407906228802
26,38.145171000000005,41.975654,35.114221,37.601245999999996,170,171,27,46,34.7228,6,7,14,25,-2.4870250000000014,14.297429325037061,9.388096502294403
27,39.662541000000004,44.472964,36.631591,39.340776,176,176,30,48,35.457499999999996,7,7,14,28,-2.7091850000000015,14.528403487798343,9.278456692147525
28,41.045481,45.357664,38.014531,40.225476,178,179,31,48,37.25769999999999,8,7,14,31,-2.2109450000000015,14.637224420161013,9.281785771728645
29,42.160381,46.526844,39.129431,41.394656,179,188,33,49,38.607499999999995,9,7,14,34,-2.265225000000002,14.631925635141153,9.085973159584602
30,44.977581,48.070684,41.946631,42.938496,183,193,34,50,40.86899999999999,9,8,14,35,-0.9918650000000018,14.435362277183746,9.276748218952841
31,45.503111000000004,48.762053,42.472161,43.629865,183,199,35,51,42.03869999999999,9,9,14,36,-1.1577040000000016,14.590791296930846,9.160956979967708
32,46.887681,50.891743000000005,43.098952,45.759555000000006,186,212,36,54,42.77859999999999,9,9,15,36,-2.660603000000002,14.815312772781425,9.238571078217845
33,48.460541,52.198873000000006,44.671811999999996,47.06668500000001,192,219,39,56,44.36599999999999,10,9,15,39,-2.394873000000002,14.724590903898715,9.137872364588345
