,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.15741,2.07011,2.15741,2.07011,12,4,2,3,1.4088,0,0,1,0,0.08729999999999993,7.619047619047619,12.11111111111111
1,5.12631,3.1149500000000003,5.12631,3.1149500000000003,20,7,6,4,4.0255,1,0,1,3,2.01136,8.751831501831502,11.68599033816425
2,5.926289000000001,4.812670000000001,5.926289000000001,4.812670000000001,25,11,7,5,4.687,1,1,1,4,1.113619,9.979481870786218,10.423993558776168
3,7.334509000000001,6.2407200000000005,7.334509000000001,6.2407200000000005,26,21,9,5,6.0543000000000005,2,1,1,7,1.093789,10.774611403089665,9.167995169082126
4,8.056688000000001,8.61588,8.056688000000001,7.8581,30,24,10,6,6.340000000000001,2,2,1,8,0.19858799999999988,11.009162806682259,10.715348516218082
5,9.626368000000001,9.342539,8.868668000000001,8.584759,40,26,11,7,8.4404,2,3,1,9,0.28390899999999986,10.328773883617329,10.417962843974838
6,11.712168000000002,12.831849,10.196848000000001,12.074069,50,36,13,9,9.0241,2,4,1,10,-1.877221,10.264663328814853,9.869242877253157
7,13.168348000000002,14.586709,11.653028,13.071154,59,40,16,12,10.1286,2,5,1,11,-1.418126,9.782361662712997,9.63879264580164
8,14.555008,15.475744,13.039688000000002,13.960189,64,51,17,15,11.895900000000001,2,5,2,11,-0.920501,10.304128241252133,9.384809149209302
9,16.687618,16.123619,14.414518000000001,14.608063999999999,69,55,19,16,14.478900000000001,3,5,2,14,-0.193546,10.353025761954505,9.282439345399483
10,19.764388,16.899623000000002,16.733518,15.384068,73,73,24,17,17.199,4,5,2,17,1.34945,11.270427460362681,8.965853950363167
11,21.950358,17.915093000000002,18.919488,16.399538,81,77,26,19,19.4751,4,6,2,18,2.51995,10.947891838665791,9.260366121166236
12,23.059698,19.590353000000004,20.028828,18.074798,87,85,26,20,20.422900000000002,4,6,3,18,1.9540300000000002,11.700151907020171,9.225914881076525
13,23.950944,22.230533000000005,20.920074,19.957288000000002,91,95,26,21,20.750700000000002,4,6,4,18,0.9627860000000001,11.968322874700549,9.168303449478893
14,27.963084,23.205073000000006,24.174444,20.931828000000003,104,101,30,22,23.5942,5,6,4,21,3.242616000000001,11.831545794164956,9.249037242502139
15,29.601034,24.638823000000006,25.054622000000002,21.607806000000004,111,104,32,24,25.1036,5,7,4,22,3.446816000000001,11.919280064382587,9.583009451882791
16,30.923523999999997,26.496523000000007,26.377112,23.465506000000005,119,108,32,27,26.0598,5,7,5,22,2.911606000000001,11.732851825301259,10.075452746157065
17,33.95027399999999,28.030953000000007,28.646082,24.999936000000005,126,115,33,29,28.394,5,7,6,22,3.6461460000000008,11.534243098164639,10.004952683198518
18,34.97769399999999,28.329732000000007,29.673502,25.298715000000005,126,126,35,29,30.455,6,7,6,25,4.374787,11.366651356155973,9.7866469028798
19,36.28394399999999,32.936302000000005,30.979751999999998,29.905285000000006,129,142,37,34,30.563699999999997,6,7,7,25,1.0744670000000007,11.519371419927122,9.70657381699507
20,37.66964399999999,33.768660000000004,32.365452,30.737643000000006,136,145,38,35,32.3746,6,8,7,26,1.6278090000000005,11.32346827637847,9.63483220666197
21,38.27637299999999,34.41954500000001,32.972181,31.388528000000004,142,150,39,35,33.6342,7,8,7,29,1.5836530000000004,11.662832158552654,9.803604655766268
22,40.96270299999999,36.064905,35.658511,32.276109000000005,152,157,44,36,35.7518,8,8,7,32,3.3824020000000004,11.622155661540484,9.783788196252802
23,42.11789299999999,37.630065,36.813700999999995,33.841269000000004,155,163,45,37,36.782700000000006,8,9,7,33,2.9724320000000004,11.478808266552056,9.613504092116004
24,43.15591299999999,38.605175,37.851721,34.816379000000005,160,172,47,37,38.21000000000001,9,9,7,36,3.0353420000000004,11.591322602556641,9.6272972617647
25,44.279152999999994,41.220475,38.974961,37.431679,169,186,47,41,38.67770000000001,9,9,8,36,1.5432820000000005,11.46932384240868,9.84492868576276
26,44.97446099999999,41.582950000000004,39.670269,37.794154000000006,178,199,48,41,40.27490000000001,10,9,8,39,1.8761150000000004,11.39880138125667,9.949878416977894
27,46.49050099999999,42.70929,41.186308999999994,38.920494000000005,183,211,50,44,41.97170000000001,10,9,9,39,2.265815000000001,11.462480552705296,10.103454187800113
28,47.28062999999999,44.244400000000006,41.976437999999995,40.45560400000001,189,216,51,46,42.650700000000015,10,9,10,39,1.5208340000000007,11.562151608697203,10.175009954723262
29,49.05127999999999,45.947390000000006,42.88032199999999,42.15859400000001,196,221,52,49,44.07720000000001,10,9,11,39,0.7217280000000007,11.525869362091505,10.138342956232487
30,49.17976499999999,49.661150000000006,43.00880699999999,45.11458400000001,200,244,52,51,44.09320000000001,10,9,12,39,-2.1057769999999993,11.814116752396247,9.989154909693164
31,50.80167499999999,51.77170000000001,44.63071699999999,47.22513400000001,208,252,54,52,45.11580000000001,11,9,12,42,-2.594416999999999,11.67799852055053,10.0700226649191
32,51.33387399999999,52.26282300000001,45.16291599999999,47.71625700000001,215,265,56,53,46.420300000000005,12,9,12,45,-2.553340999999999,11.585904289288056,10.15319818461291
33,52.17827099999999,53.79277300000001,46.00731299999999,48.48842800000001,220,275,56,55,47.17960000000001,12,9,13,45,-2.481114999999999,11.38291329625946,10.38643745369292
