,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.495892,2.05406,0.495892,2.05406,6,3,1,4,0.3489,l,2020-09-19 13:30:00,0,0,1,0,-1.5581680000000002,12.090909090909092,4.794117647058823
1,a,3.10437,1.67597,2.34668,1.67597,4,3,3,1,2.3402999999999996,w,2020-09-26 16:30:00,1,0,0,3,0.6707100000000001,9.46875,3.9545454545454546
2,h,0.346071,1.02247,0.346071,1.02247,5,7,1,0,0.6454,w,2020-10-03 13:30:00,1,0,0,3,-0.676399,20.57894736842105,7.7
3,a,1.6646,1.05894,0.90682,1.05894,2,14,1,1,1.8842000000000003,d,2020-10-17 13:30:00,0,1,0,1,-0.15212000000000003,13.521739130434783,9.047619047619047
4,h,0.229596,0.870978,0.229596,0.870978,1,5,1,1,0.6536,d,2020-10-25 17:00:00,0,1,0,1,-0.641382,16.0625,12.91304347826087
5,a,0.733652,2.49235,0.733652,2.49235,1,8,1,1,0.32839999999999997,d,2020-10-31 14:30:00,0,1,0,1,-1.758698,31.153846153846153,5.038461538461538
6,h,1.35118,0.399372,0.5934,0.399372,6,2,1,1,2.2982,d,2020-11-06 19:30:00,0,1,0,1,0.19402800000000003,5.75,23.833333333333332
7,a,1.63104,1.6736,1.63104,1.6736,4,18,1,1,1.3489,d,2020-11-21 14:30:00,0,1,0,1,-0.04255999999999993,16.625,3.909090909090909
8,a,0.860897,1.53686,0.860897,1.53686,4,12,3,5,0.7857000000000001,l,2020-11-27 19:30:00,0,0,1,0,-0.6759629999999999,18.42105263157895,9.44
9,h,0.647875,2.13261,0.647875,1.37483,4,5,1,2,0.2814,l,2020-12-06 14:30:00,0,0,1,0,-0.726955,8.36111111111111,10.793103448275861
10,a,0.599394,2.40107,0.599394,1.64329,3,6,0,2,0.2454,l,2020-12-12 14:30:00,0,0,1,0,-1.043896,17.94736842105263,9.028571428571428
11,h,0.14594,3.37771,0.14594,2.39074,3,11,1,2,0.0094,l,2020-12-15 19:30:00,0,0,1,0,-2.2448,14.818181818181818,12.73913043478261
12,a,1.30319,0.388426,1.30319,0.388426,2,2,1,0,2.2108,w,2020-12-19 14:30:00,1,0,0,3,0.9147640000000001,9.333333333333334,13.653846153846153
13,h,1.0178,1.30377,1.0178,1.30377,3,4,0,2,1.065,l,2021-01-02 14:30:00,0,0,1,0,-0.28597000000000006,7.115384615384615,15.238095238095237
14,a,0.481943,0.588228,0.481943,0.588228,2,7,1,1,1.2294,d,2021-01-09 14:30:00,0,1,0,1,-0.10628499999999996,21.88888888888889,3.7096774193548385
15,h,1.20083,0.943511,1.20083,0.943511,6,3,2,0,1.5694,w,2021-01-16 14:30:00,1,0,0,3,0.2573190000000001,17.11111111111111,10.307692307692308
16,a,0.813286,0.645527,0.813286,0.645527,4,7,0,1,1.4889,l,2021-01-19 17:30:00,0,0,1,0,0.167759,33.6,8.533333333333333
17,a,1.39323,1.99787,0.635531,1.24033,1,9,4,1,0.8856,w,2021-01-23 17:30:00,1,0,0,3,-0.604799,16.176470588235293,6.454545454545454
18,h,0.64374,0.467918,0.64374,0.467918,8,3,1,1,1.4413,d,2021-01-30 14:30:00,0,1,0,1,0.17582199999999998,13.36,9.037037037037036
19,h,0.907057,0.375641,0.907057,0.375641,1,2,0,0,1.8933,d,2021-02-13 14:30:00,0,1,0,1,0.531416,23.1875,12.074074074074074
20,a,0.109963,2.66057,0.109963,2.66057,3,7,0,4,0.0584,l,2021-02-21 17:00:00,0,0,1,0,-2.550607,10.92,11.666666666666666
21,h,1.10682,1.17887,1.10682,1.17887,6,8,2,1,1.2973,w,2021-02-26 19:30:00,1,0,0,3,-0.07205000000000017,19.72222222222222,4.194444444444445
22,a,1.20768,1.50386,1.20768,1.50386,2,5,1,1,1.1334,d,2021-03-07 14:30:00,0,1,0,1,-0.2961799999999999,25.666666666666668,7.315789473684211
23,a,1.64589,2.49186,1.64589,2.49186,4,17,2,0,0.7836000000000001,w,2021-03-10 19:30:00,1,0,0,3,-0.8459699999999999,20.0,5.758620689655173
24,h,0.76636,3.96745,0.76636,3.96745,5,25,1,3,0.0587,l,2021-03-13 14:30:00,0,0,1,0,-3.2010899999999998,46.57142857142857,7.65
25,h,1.06983,1.20287,1.06983,1.20287,4,4,1,2,1.2288999999999999,l,2021-03-20 14:30:00,0,0,1,0,-0.13304000000000005,8.068965517241379,7.78125
26,a,0.362475,0.695308,0.362475,0.695308,13,9,0,1,0.9630000000000001,l,2021-04-04 13:30:00,0,0,1,0,-0.33283300000000005,12.678571428571429,9.565217391304348
27,h,1.32791,1.68371,0.570135,1.68371,3,12,1,4,1.0498,l,2021-04-10 13:30:00,0,0,1,0,-1.113575,11.636363636363637,10.761904761904763
28,a,0.973347,3.07111,0.973347,2.31333,1,7,1,4,0.21610000000000001,l,2021-04-18 13:30:00,0,0,1,0,-1.3399830000000001,38.54545454545455,7.793103448275862
29,h,0.8847,1.38294,0.8847,1.38294,3,2,0,1,0.9236,l,2021-04-21 18:30:00,0,0,1,0,-0.49824,9.375,17.68421052631579
30,a,0.44826,1.69915,0.44826,1.69915,1,6,1,3,0.40759999999999996,l,2021-04-24 13:30:00,0,0,1,0,-1.25089,26.09090909090909,8.448275862068966
31,h,0.552662,1.05171,0.552662,1.05171,1,7,0,0,0.8715999999999999,d,2021-05-08 13:30:00,0,1,0,1,-0.49904799999999994,13.48,8.565217391304348
32,a,0.602641,1.70665,0.602641,0.94887,8,3,0,2,0.5035999999999999,l,2021-05-15 13:30:00,0,0,1,0,-0.346229,6.466666666666667,13.9
33,h,1.88004,1.99606,1.88004,1.99606,10,7,2,4,1.2965000000000002,l,2021-05-22 13:30:00,0,0,1,0,-0.11602000000000001,9.292682926829269,10.076923076923077
