,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.495892,2.05406,0.495892,2.05406,6,3,1,4,0.3489,0,0,1,0,-1.5581680000000002,12.090909090909092,4.794117647058823
1,3.600262,3.73003,2.842572,3.73003,10,6,4,5,2.6891999999999996,1,0,1,3,-0.8874580000000001,10.779829545454547,4.374331550802139
2,3.946333,4.7525,3.188643,4.7525,15,13,5,5,3.3345999999999996,2,0,1,6,-1.563857,14.04620215311005,5.48288770053476
3,5.610933,5.81144,4.095463,5.81144,17,27,6,6,5.2188,2,1,1,7,-1.715977,13.915086397441232,6.3740705373058315
4,5.840529,6.682418,4.3250589999999995,6.682418,18,32,7,7,5.8724,2,2,1,8,-2.357359,14.344569117952986,7.681865125496839
5,6.574181,9.174768,5.058711,9.174768,19,40,8,8,6.2008,2,3,1,9,-4.1160570000000005,17.146115290601845,7.241297860990955
6,7.9253610000000005,9.57414,5.652111,9.57414,25,42,9,9,8.499,2,4,1,10,-3.9220290000000007,15.518098820515869,9.611588642754153
7,9.556401000000001,11.24774,7.283151,11.24774,29,60,10,10,9.847900000000001,2,5,1,11,-3.9645890000000006,15.656461467951384,8.898776426046247
8,10.417298,12.784600000000001,8.144048,12.784600000000001,33,72,13,15,10.633600000000001,2,5,2,11,-4.6405520000000005,15.963638263910005,8.958912378707774
9,11.065173000000001,14.91721,8.791923,14.15943,37,77,14,17,10.915000000000001,2,5,3,11,-5.367507000000001,15.203385548630115,9.142331485664583
10,11.664567000000002,17.31828,9.391317,15.80272,40,83,14,19,11.160400000000001,2,5,4,11,-6.411403000000001,15.452838537032163,9.131989662292478
11,11.810507000000001,20.695990000000002,9.537257,18.19346,43,94,15,21,11.1698,2,5,5,11,-8.656203000000001,15.399950477127966,9.432584726666656
12,13.113697000000002,21.084416,10.840447000000001,18.581886,45,96,16,21,13.380600000000001,3,5,5,14,-7.7414390000000015,14.933287619912996,9.757297144142001
13,14.131497000000001,22.388186,11.858247,19.885656,48,100,16,23,14.4456,3,5,6,14,-8.027409000000002,14.374865976732396,10.148782722281519
14,14.61344,22.976414000000002,12.34019,20.473884,50,107,17,24,15.675,3,6,6,15,-8.133694000000002,14.87580083754283,9.71950903541974
15,15.81427,23.919925000000003,13.54102,21.417395000000003,56,110,19,24,17.2444,4,6,6,18,-7.876375000000002,15.015507729640847,9.756270489936776
16,16.627556000000002,24.565452000000004,14.354306,22.062922000000004,60,117,19,25,18.7333,4,6,7,18,-7.708616000000002,16.108713157309033,9.684333010136573
17,18.020786,26.563322000000003,14.989837,23.303252000000004,61,126,23,26,19.6189,5,6,7,21,-8.313415000000003,16.112477459027158,9.50490036815929
18,18.664526000000002,27.031240000000004,15.633576999999999,23.771170000000005,69,129,24,27,21.060200000000002,5,7,7,22,-8.137593000000003,15.967610224341518,9.48027598231075
19,19.571583000000004,27.406881000000006,16.540633999999997,24.146811000000007,70,131,24,27,22.953500000000002,5,8,7,23,-7.606177000000002,16.32860471312444,9.609965886898916
20,19.681546000000004,30.067451000000005,16.650596999999998,26.807381000000007,73,138,24,31,23.0119,5,8,8,23,-10.156784000000002,16.071052107737565,9.70790401926881
21,20.788366000000003,31.246321000000005,17.757416999999997,27.986251000000006,79,146,26,32,24.3092,6,8,8,26,-10.228834000000003,16.237014385668687,9.457292220413157
22,21.996046000000003,32.750181000000005,18.965096999999997,29.490111000000006,81,151,27,33,25.4426,6,9,8,27,-10.525014000000002,16.646999267451207,9.364183405337986
23,23.641936000000005,35.24204100000001,20.610986999999998,31.981971000000005,85,168,29,33,26.2262,7,9,8,30,-11.370984000000002,16.786707631307408,9.213951625517868
24,24.408296000000004,39.20949100000001,21.377346999999997,35.94942100000001,90,193,30,36,26.2849,7,9,9,30,-14.572074,17.978096468912256,9.151393560497153
25,25.478126000000003,40.412361000000004,22.447176999999996,37.152291000000005,94,197,31,38,27.5138,7,9,10,30,-14.705114,17.596976047694145,9.098695731247263
26,25.840601000000003,41.107669,22.809651999999996,37.847599,107,206,31,39,28.4768,7,9,11,30,-15.037947,17.41481291365256,9.115974311249378
27,27.168511000000002,42.791379,23.379786999999997,39.531309,110,218,32,43,29.526600000000002,7,9,12,30,-16.151522,17.208439725177957,9.174757541629928
28,28.141858000000003,45.862489,24.353133999999997,41.844639,111,225,33,47,29.742700000000003,7,9,13,30,-17.491505,17.944198856911633,9.127114297031513
29,29.026558,47.245428999999994,25.237833999999996,43.227579,114,227,33,48,30.666300000000003,7,9,14,30,-17.989745,17.658558895014576,9.412350838007654
30,29.474818000000003,48.944579,25.686093999999997,44.926729,115,233,34,51,31.073900000000002,7,9,15,30,-19.240634999999997,17.930570191656336,9.381251645235439
31,30.027480000000004,49.996289,26.238756,45.978439,116,240,34,51,31.945500000000003,7,10,15,31,-19.739682999999996,17.791489873167077,9.355750574800092
32,30.630121000000003,51.702939,26.841396999999997,46.927309,124,243,34,53,32.4491,7,10,16,31,-20.085911999999997,17.448313412364033,9.493455102836453
33,32.510161000000004,53.698999,28.721436999999998,48.923369,134,250,36,57,33.7456,7,10,17,31,-20.201931999999996,17.208441927495365,9.510615925603707
