,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.27652,0.441229,1.27652,0.441229,7,8,0,0,2.1488,d,2020-09-20 16:00:00,0,1,0,1,0.8352910000000001,11.64516129032258,11.875
1,a,0.413442,0.92465,0.413442,0.92465,6,2,1,1,0.8338,d,2020-09-27 16:00:00,0,1,0,1,-0.511208,11.173913043478262,7.833333333333333
2,h,1.31989,1.80757,1.31989,1.80757,7,4,0,0,0.9296,d,2020-10-04 13:30:00,0,1,0,1,-0.4876799999999999,6.275862068965517,15.125
3,a,1.34469,2.11077,1.34469,1.353,4,6,1,1,0.7898000000000001,d,2020-10-17 18:30:00,0,1,0,1,-0.00831000000000004,9.37037037037037,8.133333333333333
4,h,2.77748,0.664903,2.77748,0.664903,12,3,2,1,2.6752000000000002,w,2020-10-25 14:30:00,1,0,0,3,2.112577,13.347826086956522,10.714285714285714
5,a,0.397923,1.25246,0.397923,1.25246,7,5,1,1,0.6228,d,2020-11-01 17:00:00,0,1,0,1,-0.8545369999999999,6.235294117647059,12.466666666666667
6,h,2.65255,2.63695,1.89478,1.87925,8,6,2,1,1.4257000000000002,w,2020-11-08 14:30:00,1,0,0,3,0.015529999999999822,10.125,7.551724137931035
7,a,2.66289,1.00376,2.66289,1.00376,7,3,2,0,2.4795000000000003,w,2020-11-21 14:30:00,1,0,0,3,1.65913,5.771428571428571,11.285714285714286
8,h,1.53686,0.860897,1.53686,0.860897,12,4,5,3,1.9151999999999998,w,2020-11-27 19:30:00,1,0,0,3,0.6759629999999999,9.44,18.42105263157895
9,a,1.90682,1.08565,1.90682,1.08565,13,7,2,2,2.0036,d,2020-12-05 14:30:00,0,1,0,1,0.82117,8.789473684210526,19.61111111111111
10,h,2.81209,1.51392,2.05431,0.756303,12,6,2,1,2.3172,w,2020-12-11 19:30:00,1,0,0,3,1.2980070000000001,7.6923076923076925,15.642857142857142
11,a,1.10816,1.26746,1.10816,1.26746,6,6,1,2,1.2237,l,2020-12-16 19:30:00,0,0,1,0,-0.1593,12.818181818181818,5.967741935483871
12,h,1.67526,1.10934,1.67526,1.10934,8,6,1,0,1.7833,w,2020-12-20 17:00:00,1,0,0,3,0.56592,8.8125,20.727272727272727
13,a,1.21991,2.00235,1.21991,2.00235,5,6,0,2,0.8419,l,2021-01-03 14:30:00,0,0,1,0,-0.7824399999999998,13.44,11.058823529411764
14,a,1.89061,1.00289,1.13284,1.00289,4,5,2,2,2.1098,d,2021-01-09 14:30:00,0,1,0,1,0.12995,12.19047619047619,9.206896551724139
15,h,0.806904,2.41624,0.806904,2.41624,2,9,2,2,0.2582,d,2021-01-16 14:30:00,0,1,0,1,-1.6093360000000003,11.636363636363637,13.352941176470589
