,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.575032,1.63663,0.575032,1.63663,5,4,0,0,0.5164,d,2021-08-14 13:30:00,0,1,0,1,-1.061598,9.416666666666666,8.45
1,a,0.763691,2.57735,0.763691,1.81965,2,6,1,1,0.2832,d,2021-08-21 13:30:00,0,1,0,1,-1.055959,15.523809523809524,7.352941176470588
2,h,0.626534,1.78556,0.626534,1.78556,2,10,1,1,0.4941,d,2021-08-28 13:30:00,0,1,0,1,-1.159026,19.318181818181817,6.36
3,a,1.53189,2.12932,1.53189,2.12932,5,10,1,3,0.9776,l,2021-09-12 17:30:00,0,0,1,0,-0.5974299999999999,12.342857142857143,8.380952380952381
4,h,1.00534,1.54136,1.00534,1.54136,7,8,0,0,0.9417,d,2021-09-18 13:30:00,0,1,0,1,-0.5360200000000002,13.076923076923077,21.09090909090909
5,a,0.435528,1.25321,0.435528,1.25321,5,7,0,1,0.6229,l,2021-09-25 13:30:00,0,0,1,0,-0.8176819999999999,22.071428571428573,12.368421052631579
6,h,0.447571,2.96917,0.447571,2.21139,3,11,0,4,0.11460000000000001,l,2021-10-03 17:30:00,0,0,1,0,-1.7638190000000002,14.241379310344827,11.928571428571429
7,a,0.285865,0.913256,0.285865,0.913256,5,4,1,1,0.6848000000000001,d,2021-10-17 15:30:00,0,1,0,1,-0.627391,7.321428571428571,9.777777777777779
8,h,1.40239,2.58993,0.64469,1.83223,8,4,1,3,0.5451,l,2021-10-23 13:30:00,0,0,1,0,-1.18754,22.423076923076923,6.827586206896552
9,h,0.497896,2.97383,0.497896,2.97383,3,11,1,2,0.12029999999999999,l,2021-10-30 13:30:00,0,0,1,0,-2.475934,12.454545454545455,13.8125
10,a,1.55125,1.11192,1.55125,1.11192,5,8,1,0,1.7102,w,2021-11-06 14:30:00,1,0,0,3,0.43933,15.962962962962964,8.2
11,h,1.40579,1.35662,0.648011,1.35662,3,12,2,2,1.3881,d,2021-11-20 14:30:00,0,1,0,1,-0.7086089999999999,13.76923076923077,6.2
12,a,0.385377,2.67728,0.385377,2.67728,2,22,0,1,0.1721,l,2021-11-27 17:30:00,0,0,1,0,-2.291903,30.0,6.142857142857143
13,h,1.01727,1.18693,1.01727,1.18693,4,1,1,1,1.1918,d,2021-12-04 14:30:00,0,1,0,1,-0.16966000000000014,14.173913043478262,11.846153846153847
14,a,0.454841,2.23797,0.454841,2.23797,9,9,0,2,0.27,l,2021-12-11 14:30:00,0,0,1,0,-1.7831289999999997,7.27906976744186,7.45
15,h,0.642785,0.748012,0.642785,0.748012,2,2,2,0,1.1701000000000001,w,2021-12-14 19:30:00,1,0,0,3,-0.10522699999999996,8.478260869565217,7.458333333333333
16,a,1.33454,1.64503,1.33454,1.64503,3,18,2,0,1.1288,w,2021-12-18 14:30:00,1,0,0,3,-0.31048999999999993,20.695652173913043,5.045454545454546
17,a,1.1145,2.20416,1.1145,2.20416,11,11,2,2,0.637,d,2022-01-08 14:30:00,0,1,0,1,-1.0896599999999999,8.0,18.0
