,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.575032,1.63663,0.575032,1.63663,5,4,0,0,0.5164,0,1,0,1,-1.061598,9.416666666666666,8.45
1,1.3387229999999999,4.21398,1.3387229999999999,3.45628,7,10,1,1,0.7996,0,2,0,2,-2.117557,12.470238095238095,7.901470588235293
2,1.9652569999999998,5.9995400000000005,1.9652569999999998,5.24184,9,20,2,2,1.2936999999999999,0,3,0,3,-3.276583,14.752886002886001,7.387647058823529
3,3.497147,8.12886,3.497147,7.37116,14,30,3,5,2.2713,0,3,1,3,-3.8740129999999997,14.150378787878786,7.635973389355742
4,4.502487,9.67022,4.502487,8.91252,21,38,3,5,3.213,0,4,1,4,-4.410033,13.935687645687645,10.326960529666412
5,4.938015,10.92343,4.938015,10.16573,26,45,3,6,3.8359,0,4,2,4,-5.227715,15.291644466644465,10.667203950160605
6,5.385586,13.8926,5.385586,12.37712,29,56,3,10,3.9505,0,4,3,4,-6.991534,15.141606587173088,10.847399304219294
7,5.671451,14.805856,5.671451,13.290376,34,60,4,11,4.6353,0,5,3,5,-7.618925,14.164084335205024,10.713696613414104
8,7.073841,17.395786,6.316141,15.122606000000001,42,64,5,14,5.1804,0,5,4,5,-8.806465,15.0817501783019,10.281906568245487
9,7.571737,20.369616,6.814037,18.096436,45,75,6,16,5.3007,0,5,5,5,-11.282399,14.819029705926258,10.634965911420938
10,9.122987,21.481536000000002,8.365287,19.208356000000002,50,83,7,16,7.0108999999999995,1,5,5,8,-10.843069,14.923023638384139,10.413605374019035
11,10.528777,22.838156,9.013298,20.564976,53,95,9,18,8.399,1,6,5,9,-11.551677999999999,14.826874232621359,10.062471592850782
12,10.914154,25.515436,9.398675,23.242256,55,117,9,19,8.5711,1,6,6,9,-13.843580999999999,15.994037753188946,9.760962789005118
13,11.931424,26.702366,10.415945,24.429186,59,118,10,20,9.7629,1,7,6,10,-14.013240999999999,15.864028845352468,9.909905007372885
14,12.386265,28.940336000000002,10.870786,26.667156000000002,68,127,10,22,10.0329,1,7,7,10,-15.79637,15.291698240158428,9.745911340214692
15,13.02905,29.688348,11.513571,27.415168,70,129,12,22,11.203,2,7,7,13,-15.901596999999999,14.865858404496352,9.602937714784607
16,14.36359,31.333378,12.848111000000001,29.060198,73,147,14,22,12.3318,3,7,7,16,-16.212087,15.208787449756157,9.334850469529897
17,15.47809,33.537538,13.962611,31.264358,84,158,16,24,12.9688,3,8,7,17,-17.301747,14.808299258103037,9.816247665667126
