,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.7943,0.443841,0.7943,0.443841,5,6,1,1,1.6247,d,2021-08-14 13:30:00,0,1,0,1,0.350459,7.166666666666667,18.208333333333332
1,h,1.94592,1.66054,1.94592,0.902761,7,6,4,0,1.5598999999999998,w,2021-08-21 16:30:00,1,0,0,3,1.0431590000000002,13.333333333333334,9.689655172413794
2,a,2.1207,1.6937,2.1207,1.6937,3,4,4,1,1.6644,w,2021-08-28 13:30:00,1,0,0,3,0.4269999999999998,8.708333333333334,10.875
3,h,0.471066,2.2922,0.471066,1.53443,5,9,3,4,0.2213,l,2021-09-11 13:30:00,0,0,1,0,-1.063364,19.875,9.12
4,a,1.59332,1.41677,1.59332,1.41677,3,8,3,1,1.5208,w,2021-09-19 13:30:00,1,0,0,3,0.17654999999999998,13.954545454545455,4.628571428571429
5,h,1.45034,0.930118,1.45034,0.930118,9,6,1,0,1.7642000000000002,w,2021-09-25 13:30:00,1,0,0,3,0.520222,6.090909090909091,12.035714285714286
6,a,2.96917,0.447571,2.21139,0.447571,11,3,4,0,2.8188000000000004,w,2021-10-03 17:30:00,1,0,0,3,1.7638190000000002,11.928571428571429,14.241379310344827
7,h,0.729378,3.44913,0.729378,3.44913,6,20,1,5,0.1395,l,2021-10-17 13:30:00,0,0,1,0,-2.7197519999999997,26.384615384615383,9.303030303030303
8,a,1.79735,1.71198,1.79735,1.71198,8,4,2,2,1.4698,d,2021-10-24 13:30:00,0,1,0,1,0.08536999999999995,12.68421052631579,3.475
9,h,1.30903,1.8693,0.551255,1.8693,9,3,0,2,0.8616000000000001,l,2021-10-30 13:30:00,0,0,1,0,-1.318045,4.096774193548387,8.40625
10,a,0.774023,0.903476,0.774023,0.903476,5,8,1,1,1.2456,d,2021-11-07 14:30:00,0,1,0,1,-0.12945299999999993,9.478260869565217,11.083333333333334
11,h,1.62637,0.708697,1.62637,0.708697,10,4,1,0,2.1066000000000003,w,2021-11-20 14:30:00,1,0,0,3,0.9176730000000001,12.222222222222221,9.275862068965518
12,a,1.23553,1.43225,1.23553,0.674476,6,14,3,1,1.1442,w,2021-11-28 16:30:00,1,0,0,3,0.561054,30.444444444444443,9.555555555555555
13,h,2.4319,0.279746,2.4319,0.279746,7,1,7,1,2.7841000000000005,w,2021-12-04 14:30:00,1,0,0,3,2.1521540000000003,7.038461538461538,11.161290322580646
14,a,1.60141,1.44415,0.843633,1.44415,10,4,2,5,1.4918,l,2021-12-12 16:30:00,0,0,1,0,-0.6005170000000001,15.666666666666666,11.346153846153847
15,h,2.42553,1.68115,2.42553,1.68115,10,12,2,2,1.8974,d,2021-12-15 19:30:00,0,1,0,1,0.7443800000000003,18.933333333333334,11.208333333333334
16,a,0.818605,2.07857,0.818605,1.32079,6,6,1,2,0.3969,l,2021-12-19 14:30:00,0,0,1,0,-0.5021849999999999,12.785714285714286,15.55
17,h,2.20526,3.04208,2.20526,3.04208,7,3,2,2,0.8362,d,2022-01-08 14:30:00,0,1,0,1,-0.8368199999999999,7.3478260869565215,20.58823529411765
