,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.297792,2.78774,0.297792,2.02997,2,9,0,1,0.0916,l,2021-08-14 13:30:00,0,0,1,0,-1.732178,27.181818181818183,9.764705882352942
1,h,1.05301,0.817413,1.05301,0.817413,1,4,2,0,1.5544,w,2021-08-21 13:30:00,1,0,0,3,0.23559700000000006,15.3125,7.909090909090909
2,a,0.721445,2.91135,0.721445,2.91135,6,10,1,2,0.19519999999999998,l,2021-08-28 13:30:00,0,0,1,0,-2.189905,16.058823529411764,3.652173913043478
3,h,1.02687,0.605231,1.02687,0.605231,3,1,1,3,1.7330999999999999,l,2021-09-12 15:30:00,0,0,1,0,0.421639,4.09375,18.53846153846154
4,a,1.23312,6.88189,1.23312,6.88189,2,17,0,7,0.0008,l,2021-09-18 13:30:00,0,0,1,0,-5.648770000000001,16.954545454545453,7.947368421052632
5,h,0.925854,0.29441,0.925854,0.29441,7,6,0,0,1.93,d,2021-09-26 13:30:00,0,1,0,1,0.6314439999999999,8.852941176470589,10.176470588235293
6,a,1.51583,2.46461,1.51583,2.46461,5,4,0,3,0.7618,l,2021-10-02 16:30:00,0,0,1,0,-0.94878,11.758620689655173,8.736842105263158
7,a,1.72207,0.69855,1.72207,0.69855,2,10,1,0,2.2327999999999997,w,2021-10-16 13:30:00,1,0,0,3,1.02352,9.041666666666666,5.3
8,h,2.78664,1.51826,2.78664,0.76048,6,4,2,0,2.2275,w,2021-10-24 17:30:00,1,0,0,3,2.02616,11.28,7.8
9,a,1.07958,1.81742,1.07958,1.81742,3,7,1,2,0.8349,l,2021-10-31 16:30:00,0,0,1,0,-0.73784,12.84375,15.416666666666666
10,h,2.12433,0.641687,1.36655,0.641687,3,8,2,0,2.4942,w,2021-11-06 14:30:00,1,0,0,3,0.7248629999999999,18.666666666666668,6.555555555555555
11,a,0.708697,1.62637,0.708697,1.62637,4,10,0,1,0.6615,l,2021-11-20 14:30:00,0,0,1,0,-0.9176730000000001,9.275862068965518,12.222222222222221
12,h,0.955994,2.12135,0.955994,2.12135,2,13,2,1,0.5804,w,2021-11-27 14:30:00,1,0,0,3,-1.165356,18.166666666666668,8.444444444444445
13,a,2.04524,2.86606,2.04524,2.10828,6,6,3,2,0.8468,w,2021-12-04 14:30:00,1,0,0,3,-0.06303999999999998,13.411764705882353,8.347826086956522
14,h,0.966453,2.68284,0.208676,2.68284,1,19,1,1,0.3271,d,2021-12-11 14:30:00,0,1,0,1,-2.474164,19.764705882352942,7.5
15,a,0.748012,0.642785,0.748012,0.642785,2,2,0,2,1.4485,l,2021-12-14 19:30:00,0,0,1,0,0.10522699999999996,7.458333333333333,8.478260869565217
16,h,1.04215,0.999651,1.04215,0.999651,2,8,0,1,1.3643,l,2021-12-18 14:30:00,0,0,1,0,0.042498999999999953,11.35,22.571428571428573
