,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.297792,2.78774,0.297792,2.02997,2,9,0,1,0.0916,0,0,1,0,-1.732178,27.181818181818183,9.764705882352942
1,1.350802,3.6051529999999996,1.350802,2.8473829999999998,3,13,2,1,1.646,1,0,1,3,-1.496581,21.247159090909093,8.836898395721926
2,2.072247,6.516503,2.072247,5.758732999999999,9,23,3,3,1.8412,1,0,2,3,-3.686486,19.517713903743317,7.108656901495777
3,3.0991169999999997,7.121734,3.0991169999999997,6.363963999999999,12,24,4,6,3.5743,1,0,3,3,-3.264847,15.661722927807489,9.966108060737216
4,4.332236999999999,14.003624,4.332236999999999,13.245854,14,41,4,13,3.5751,1,0,4,3,-8.913617,15.920287433155082,9.562360132800299
5,5.258090999999999,14.298034,5.258090999999999,13.540263999999999,21,47,4,13,5.5051,1,1,4,4,-8.282173,14.742396390374333,9.664711875372797
6,6.773921,16.762643999999998,6.773921,16.004873999999997,26,51,4,16,6.2669,1,1,5,4,-9.230953,14.316142718843025,9.53215905107142
7,8.495991,17.461194,8.495991,16.703424,28,61,5,16,8.499699999999999,2,1,5,7,-8.207433,13.656833212320981,9.003139169687492
8,11.282631,18.979454,11.282631,17.463904,34,65,7,16,10.7272,3,1,5,10,-6.181273,13.392740633174206,8.869457039722214
9,12.362211,20.796874,12.362211,19.281323999999998,37,72,8,18,11.5621,3,1,6,10,-6.919113,13.337841569856783,9.52417800241666
10,14.486541,21.438561,13.728761,19.923011,40,80,10,18,14.0563,4,1,6,13,-6.19425,13.822280215021317,9.254303234520195
11,15.195238000000002,23.064931,14.437458000000001,21.549381,44,90,10,19,14.7178,4,1,7,13,-7.111923,13.443412036183334,9.501629816828698
12,16.151232,25.186281,15.393452000000002,23.670731,46,103,12,20,15.298200000000001,5,1,7,16,-8.277279,13.806739315451283,9.420307865106833
13,18.196472,28.052341000000002,17.438692000000003,25.779011,52,109,15,22,16.145000000000003,6,1,7,19,-8.340319000000001,13.778526843339217,9.343702023810382
14,19.162925,30.735181,17.647368000000004,28.461851,53,128,16,23,16.472100000000005,6,2,7,20,-10.814483000000001,14.177605445940133,9.220788555556357
15,19.910937,31.377966,18.395380000000003,29.104636,55,130,16,25,17.920600000000004,6,2,8,20,-10.709256000000002,13.757650938902207,9.17438057518191
16,20.953087,32.377617,19.437530000000002,30.104287,57,138,16,26,19.284900000000004,6,2,9,20,-10.666757000000002,13.61602441308443,9.96244222201995
