,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.36709,2.83799,1.36709,2.83799,1,17,2,5,0.5086,0,0,1,0,-1.4709,13.258064516129032,15.642857142857142
1,2.69679,3.00392,2.69679,3.00392,9,22,2,5,2.8526,0,1,1,1,-0.3071299999999999,9.009032258064515,14.599206349206348
2,4.48235,3.630454,4.48235,3.630454,19,24,3,6,5.15,0,2,1,2,0.851896,8.126021505376343,16.17219817219817
3,5.338069,4.248697,5.338069,4.248697,24,25,4,7,6.7036,0,3,1,3,1.089372,7.384838709677418,16.218434343434343
4,5.618694,6.098587,5.618694,6.098587,27,30,5,8,6.9327,0,4,1,4,-0.4798930000000001,7.744234604105571,14.354747474747475
5,6.56961,7.208397,6.56961,7.208397,33,41,6,9,8.1097,0,5,1,5,-0.6387870000000001,7.578528836754643,12.71537598204265
6,6.959226,9.388867,6.959226,9.388867,35,62,8,10,8.3325,1,5,1,8,-2.429641,11.26969138388493,11.756036556036557
7,8.662056,11.952907,7.904279,11.952907,40,66,9,12,9.0941,1,5,2,8,-4.048628,10.492558908267736,11.579801217301217
8,10.180316,14.739547,8.664759,14.739547,44,72,9,14,9.6863,1,5,3,8,-6.074788,10.193385696237987,11.546489970934415
9,10.774661,18.731657,9.259104,18.731657,46,83,10,15,9.716199999999999,1,6,3,9,-9.472553,10.374047126614188,11.517927930362713
10,12.041051,21.166057,10.525494,21.166057,48,86,12,16,10.2814,2,6,3,12,-10.640563,10.442809640795508,11.37993448214792
11,13.283731,22.732757,11.768174,22.732757,51,97,14,16,11.4228,3,6,3,15,-10.964583000000001,10.901742170729214,11.526051053080039
12,14.980651,23.806617,13.465094,23.048842999999998,59,103,16,17,13.272300000000001,4,6,3,18,-9.583749000000001,11.204847023992958,12.076931741304652
13,16.559291,24.731592,15.043734,23.973817999999998,61,106,18,20,15.1537,4,6,4,18,-8.930084,11.255929379422032,12.347410642899774
14,18.003441000000002,26.333002,16.487884,24.817451,65,116,23,22,16.3572,5,6,4,21,-8.329567,11.26194434387082,12.568694377817566
15,20.506301,28.562832,18.990744,26.289500999999998,72,123,26,24,17.938699999999997,6,6,4,24,-7.298757000000001,11.126254640560711,12.232225053278043
16,22.034351,29.395269,20.518794,27.121937999999997,77,131,27,24,19.950599999999998,7,6,4,27,-6.603144000000001,10.967847504841455,12.312682403085217
17,23.812791,31.777538999999997,22.297234,29.504208,80,139,29,27,20.960099999999997,7,6,5,27,-7.2069740000000015,11.549880668152731,12.450073063231276
