,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.62567,2.1078,1.62567,2.1078,8,4,3,1,0.9514,w,2021-08-15 15:30:00,1,0,0,3,-0.48213000000000017,5.151515151515151,14.235294117647058
1,a,0.957893,3.08002,0.957893,3.08002,1,6,2,3,0.2234,l,2021-08-22 15:30:00,0,0,1,0,-2.1221270000000003,9.61111111111111,9.0
2,h,2.91135,0.721445,2.91135,0.721445,10,6,2,1,2.714,w,2021-08-28 13:30:00,1,0,0,3,2.189905,3.652173913043478,16.058823529411764
3,a,1.50213,0.871642,1.50213,0.871642,4,7,1,1,1.8935999999999997,d,2021-09-11 13:30:00,0,1,0,1,0.6304879999999999,11.73913043478261,8.083333333333334
4,h,1.68932,2.03702,1.68932,2.03702,9,14,1,1,1.1116,d,2021-09-18 16:30:00,0,1,0,1,-0.3477000000000001,5.605263157894737,11.055555555555555
5,a,1.10981,0.950916,1.10981,0.950916,11,6,1,1,1.5064,d,2021-09-25 13:30:00,0,1,0,1,0.15889399999999998,4.518518518518518,6.75
6,h,2.8694,0.984368,2.8694,0.984368,9,1,3,1,2.6532,w,2021-10-01 18:30:00,1,0,0,3,1.8850320000000003,3.8076923076923075,12.35
7,a,0.484187,4.18974,0.484187,4.18974,2,9,0,5,0.0165,l,2021-10-15 18:30:00,0,0,1,0,-3.7055529999999997,13.555555555555555,10.73913043478261
8,h,1.71198,1.79735,1.71198,1.79735,4,8,2,2,1.2748000000000002,d,2021-10-24 13:30:00,0,1,0,1,-0.08536999999999995,3.475,12.68421052631579
9,a,1.20191,1.75772,1.20191,1.75772,8,3,0,2,0.9209,l,2021-10-30 13:30:00,0,0,1,0,-0.5558099999999999,6.257142857142857,13.826086956521738
10,h,1.93335,1.1297,1.93335,1.1297,1,4,2,2,2.0248,d,2021-11-07 16:30:00,0,1,0,1,0.80365,6.1875,15.666666666666666
11,a,1.75564,0.941346,1.75564,0.941346,6,5,1,1,2.0165,d,2021-11-21 16:30:00,0,1,0,1,0.8142940000000001,9.944444444444445,8.870967741935484
12,h,1.48695,1.30291,1.48695,1.30291,9,6,4,1,1.5246,w,2021-11-27 14:30:00,1,0,0,3,0.18403999999999998,7.057142857142857,10.375
13,a,1.18693,1.01727,1.18693,1.01727,1,4,1,1,1.5083,d,2021-12-04 14:30:00,0,1,0,1,0.16966000000000014,11.846153846153847,14.173913043478262
14,h,1.15891,1.17632,1.15891,1.17632,10,5,0,2,1.357,l,2021-12-10 19:30:00,0,0,1,0,-0.017409999999999926,7.3125,12.272727272727273
15,a,3.14693,2.42693,3.14693,2.42693,10,6,3,2,1.8783,w,2021-12-14 19:30:00,1,0,0,3,0.7199999999999998,6.083333333333333,8.533333333333333
16,h,1.35819,0.333564,1.35819,0.333564,6,4,1,0,2.3183,w,2021-12-19 16:30:00,1,0,0,3,1.024626,7.9375,8.71875
