,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.62567,2.1078,1.62567,2.1078,8,4,3,1,0.9514,1,0,0,3,-0.48213000000000017,5.151515151515151,14.235294117647058
1,2.583563,5.18782,2.583563,5.18782,9,10,5,4,1.1748,1,0,1,3,-2.6042570000000005,7.3813131313131315,11.617647058823529
2,5.494913,5.909265,5.494913,5.909265,19,16,7,5,3.8888,2,0,1,6,-0.4143520000000005,6.138266725223247,13.098039215686276
3,6.997043000000001,6.780907000000001,6.997043000000001,6.780907000000001,23,23,8,6,5.782399999999999,2,1,1,7,0.21613599999999944,7.538482652613087,11.84436274509804
4,8.686363,8.817927000000001,8.686363,8.817927000000001,32,37,9,7,6.893999999999999,2,2,1,8,-0.13156400000000068,7.151838753669418,11.686601307189544
5,9.796173,9.768843,9.796173,9.768843,43,43,10,8,8.4004,2,3,1,9,0.0273299999999993,6.712952047810934,10.863834422657954
6,12.665573,10.753211,12.665573,10.753211,52,44,13,9,11.0536,3,3,1,12,1.9123619999999995,6.297914942079702,11.076143790849674
7,13.14976,14.942951,13.14976,14.942951,54,53,13,14,11.0701,3,3,2,12,-1.7931910000000002,7.205120018764184,11.034017121341291
8,14.861740000000001,16.740301000000002,14.861740000000001,16.740301000000002,58,61,15,16,12.3449,3,4,2,13,-1.8785610000000001,6.790662238901497,11.217371944116236
9,16.063650000000003,18.498021,16.063650000000003,18.498021,66,64,15,18,13.2658,3,4,3,13,-2.434371,6.737310300725634,11.478243445356785
10,17.997000000000003,19.627721,17.997000000000003,19.627721,67,68,17,20,15.290600000000001,3,5,3,14,-1.630721,6.687327546114212,11.859009192748594
11,19.752640000000003,20.569067,19.752640000000003,20.569067,73,73,18,21,17.307100000000002,3,6,3,15,-0.816427,6.958753954308398,11.610005738514168
12,21.239590000000003,21.871977,21.239590000000003,21.871977,82,79,22,22,18.8317,4,6,3,18,-0.632387,6.96632233144951,11.515005297090001
13,22.426520000000004,22.889247,22.426520000000004,22.889247,83,83,23,23,20.34,4,7,3,19,-0.4627269999999999,7.314881725356963,11.704927278974877
14,23.585430000000002,24.065567,23.585430000000002,24.065567,93,88,23,25,21.697,4,7,4,19,-0.4801369999999998,7.3147229436664984,11.742780611891703
15,26.732360000000003,26.492497,26.732360000000003,26.492497,103,94,26,27,23.5753,5,7,4,22,0.23986299999999994,7.2377610930206755,11.542190156981805
16,28.090550000000004,26.826061,28.090550000000004,26.826061,109,98,27,27,25.8936,6,7,4,25,1.264489,7.27892220519593,11.376105441865228
