,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.31466,4.25968,1.31466,4.25968,3,14,1,5,0.15510000000000002,l,2021-08-14 13:30:00,0,0,1,0,-2.9450200000000004,25.3125,10.736842105263158
1,h,2.57735,0.763691,1.81965,0.763691,6,2,1,1,2.5850999999999997,d,2021-08-21 13:30:00,0,1,0,1,1.055959,7.352941176470588,15.523809523809524
2,a,0.304223,2.79493,0.304223,2.79493,5,12,0,3,0.099,l,2021-08-28 13:30:00,0,0,1,0,-2.490707,10.0,6.147058823529412
3,h,0.392561,1.44282,0.392561,0.685044,5,9,0,2,0.40790000000000004,l,2021-09-11 13:30:00,0,0,1,0,-0.292483,9.64864864864865,5.882352941176471
4,a,1.55279,1.59085,0.795012,1.59085,2,8,1,2,1.3686000000000003,l,2021-09-17 18:30:00,0,0,1,0,-0.795838,8.266666666666667,6.173913043478261
5,h,0.655908,0.677915,0.655908,0.677915,2,3,1,3,1.3116,l,2021-09-24 18:30:00,0,0,1,0,-0.022007,11.18918918918919,9.0
6,a,0.984368,2.8694,0.984368,2.8694,1,9,1,3,0.2319,l,2021-10-01 18:30:00,0,0,1,0,-1.8850320000000003,12.35,3.8076923076923075
7,h,0.69855,1.72207,0.69855,1.72207,10,2,0,1,0.5402,l,2021-10-16 13:30:00,0,0,1,0,-1.02352,5.3,9.041666666666666
8,a,1.94277,2.30304,1.185,1.54526,2,14,1,4,1.0575999999999999,l,2021-10-23 13:30:00,0,0,1,0,-0.36026,9.857142857142858,6.833333333333333
9,a,0.48039,1.2181,0.48039,0.460328,1,5,1,3,0.5711999999999999,l,2021-10-30 13:30:00,0,0,1,0,0.02006199999999997,9.461538461538462,10.0
10,h,2.4344,1.26639,2.4344,1.26639,3,2,1,2,2.2305,l,2021-11-07 18:30:00,0,0,1,0,1.1680100000000002,10.0,11.130434782608695
11,a,0.307559,2.47443,0.307559,2.47443,1,12,0,4,0.1542,l,2021-11-20 14:30:00,0,0,1,0,-2.166871,13.363636363636363,12.3125
12,h,1.36493,3.01705,1.36493,3.01705,3,8,3,6,0.4466,l,2021-11-27 14:30:00,0,0,1,0,-1.6521199999999998,10.772727272727273,13.5
13,a,0.279746,2.4319,0.279746,2.4319,1,7,1,7,0.13119999999999998,l,2021-12-04 14:30:00,0,0,1,0,-2.1521540000000003,11.161290322580646,7.038461538461538
14,h,0.680225,1.83652,0.680225,1.83652,2,7,1,0,0.4909,w,2021-12-12 14:30:00,1,0,0,3,-1.156295,22.470588235294116,15.846153846153847
15,a,0.379024,1.91572,0.379024,1.15794,1,15,0,3,0.24760000000000001,l,2021-12-15 19:30:00,0,0,1,0,-0.7789159999999999,22.3,7.875
16,h,0.0901985,1.48497,0.0901985,1.48497,6,5,0,0,0.2412,d,2021-12-18 14:30:00,0,1,0,1,-1.3947714999999998,9.416666666666666,8.823529411764707
17,h,1.12386,1.62697,1.12386,1.62697,1,9,0,0,0.98,d,2022-01-08 14:30:00,0,1,0,1,-0.50311,21.3125,8.8
