,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,3.44423,0.734658,3.44423,0.734658,8,9,4,0,2.8663999999999996,w,2021-08-14 13:30:00,1,0,0,3,2.709572,10.3,19.846153846153847
1,h,0.967015,2.35122,0.967015,2.35122,8,5,2,2,0.4249,d,2021-08-22 13:30:00,0,1,0,1,-1.3842050000000001,8.7,19.736842105263158
2,a,2.42487,3.40779,2.42487,3.40779,9,12,2,3,0.8178,l,2021-08-27 18:30:00,0,0,1,0,-0.98292,11.88,7.681818181818182
3,h,0.509713,0.933476,0.509713,0.933476,5,4,0,2,0.9293,l,2021-09-11 13:30:00,0,0,1,0,-0.423763,6.631578947368421,17.666666666666668
4,a,1.54136,1.00534,1.54136,1.00534,8,7,0,0,1.7904,d,2021-09-18 13:30:00,0,1,0,1,0.5360200000000002,21.09090909090909,13.076923076923077
5,h,1.78602,0.504541,1.78602,0.504541,3,3,3,1,2.4284,w,2021-09-25 13:30:00,1,0,0,3,1.281479,12.363636363636363,19.76923076923077
6,a,0.978235,0.76705,0.978235,0.76705,8,1,1,3,1.5414,l,2021-10-02 13:30:00,0,0,1,0,0.21118499999999996,10.631578947368421,10.928571428571429
7,h,4.18974,0.484187,4.18974,0.484187,9,2,5,0,2.9718,w,2021-10-15 18:30:00,1,0,0,3,3.7055529999999997,10.73913043478261,13.555555555555555
8,a,0.446465,3.31148,0.446465,3.31148,1,6,0,4,0.0833,l,2021-10-23 13:30:00,0,0,1,0,-2.865015,15.296296296296296,18.384615384615383
9,h,0.860088,0.471538,0.860088,0.471538,7,4,2,0,1.6877,w,2021-10-29 18:30:00,1,0,0,3,0.38854999999999995,7.921052631578948,19.9375
10,a,0.641687,2.12433,0.641687,1.36655,8,3,0,2,0.3429,l,2021-11-06 14:30:00,0,0,1,0,-0.7248629999999999,6.555555555555555,18.666666666666668
11,h,2.88876,0.211083,2.88876,0.211083,9,6,2,0,2.9194999999999998,w,2021-11-20 14:30:00,1,0,0,3,2.677677,10.448275862068966,6.482758620689655
12,a,3.01705,1.36493,3.01705,1.36493,8,3,6,3,2.4074,w,2021-11-27 14:30:00,1,0,0,3,1.6521199999999998,13.5,10.772727272727273
13,h,0.924975,1.57864,0.924975,1.57864,3,2,3,2,0.8455,w,2021-12-04 14:30:00,1,0,0,3,-0.653665,15.863636363636363,11.92
14,a,1.5054,2.25197,1.5054,1.4278,3,4,2,1,0.7976,w,2021-12-11 14:30:00,1,0,0,3,0.07760000000000011,18.9,11.6
15,a,1.68115,2.42553,1.68115,2.42553,12,10,2,2,0.8873,d,2021-12-15 19:30:00,0,1,0,1,-0.7443800000000003,11.208333333333334,18.933333333333334
16,h,2.24422,1.62486,2.24422,1.62486,16,3,1,1,1.7956,d,2021-12-18 14:30:00,0,1,0,1,0.6193599999999999,17.6,23.857142857142858
17,h,2.76228,0.749744,2.76228,0.749744,13,4,3,1,2.668,w,2022-01-08 14:30:00,1,0,0,3,2.012536,7.387096774193548,17.944444444444443
