,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.613273,1.2783,0.613273,1.2783,15,1,2,2,0.7617,d,2014-08-16 15:00:00,0,1,0,1,-0.665027,11.6875,14.48
1,h,1.33429,1.43355,1.33429,1.43355,3,8,2,2,1.2790000000000001,d,2014-08-23 17:30:00,0,1,0,1,-0.09926000000000013,15.882352941176471,7.787878787878788
2,h,1.4491,2.02665,1.4491,2.02665,11,7,3,6,0.9794,l,2014-08-30 17:30:00,0,0,1,0,-0.57755,6.185185185185185,10.586206896551724
3,a,0.807492,0.602059,0.807492,0.602059,4,6,2,0,1.543,w,2014-09-13 15:00:00,1,0,0,3,0.20543299999999998,19.153846153846153,9.382352941176471
4,h,2.56122,1.62886,1.80005,0.867691,14,4,2,3,2.067,l,2014-09-21 16:00:00,0,0,1,0,0.9323589999999999,5.2105263157894735,22.95
5,a,0.475885,1.5286,0.475885,1.5286,3,8,1,1,0.5026999999999999,d,2014-09-27 12:45:00,0,1,0,1,-1.052715,10.85,12.0
6,a,2.13558,1.6239,1.37441,1.6239,7,4,1,2,1.7560999999999998,l,2014-10-05 12:00:00,0,0,1,0,-0.24949,13.45,7.444444444444445
7,h,1.67016,0.37205,1.67016,0.37205,7,6,3,0,2.4744,w,2014-10-18 15:00:00,1,0,0,3,1.29811,16.083333333333332,17.25
8,a,1.32187,1.55564,1.32187,1.55564,2,6,3,1,1.141,w,2014-10-26 13:30:00,1,0,0,3,-0.2337699999999998,14.23076923076923,13.290322580645162
9,h,1.14779,0.694419,1.14779,0.694419,16,4,0,0,1.7590000000000001,d,2014-11-01 15:00:00,0,1,0,1,0.4533710000000001,4.90625,13.181818181818182
10,a,1.31898,0.508326,0.557814,0.508326,7,4,1,1,2.1679999999999997,d,2014-11-09 13:30:00,0,1,0,1,0.04948800000000009,8.32,11.478260869565217
11,h,1.82651,1.11958,1.82651,1.11958,9,4,2,1,1.9317000000000002,w,2014-11-22 15:00:00,1,0,0,3,0.7069300000000001,5.285714285714286,13.857142857142858
12,a,0.934335,1.13109,0.934335,1.13109,4,1,1,2,1.1608,l,2014-11-30 16:00:00,0,0,1,0,-0.1967549999999999,13.375,12.2
13,h,1.27965,0.29547,1.27965,0.29547,7,1,1,1,2.2666999999999997,d,2014-12-03 19:45:00,0,1,0,1,0.9841799999999999,11.294117647058824,8.805555555555555
