,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.2783,0.613273,1.2783,0.613273,1,15,2,2,1.9461000000000002,d,2014-08-16 15:00:00,0,1,0,1,0.665027,14.48,11.6875
1,a,0.550894,2.02939,0.550894,2.02939,1,12,0,2,0.3517,l,2014-08-23 15:00:00,0,0,1,0,-1.4784959999999998,9.15625,7.052631578947368
2,h,0.809743,2.29649,0.809743,2.29649,4,13,1,1,0.4139,d,2014-08-31 16:00:00,0,1,0,1,-1.4867469999999998,11.0,7.5
3,a,0.598313,1.64782,0.598313,1.64782,6,8,1,0,0.5635,w,2014-09-13 15:00:00,1,0,0,3,-1.0495070000000002,12.210526315789474,6.782608695652174
4,h,2.5422,1.71191,1.01986,1.71191,6,7,5,3,1.9712999999999998,w,2014-09-21 13:30:00,1,0,0,3,-0.69205,12.391304347826088,6.6923076923076925
5,a,0.453547,2.1144,0.453547,2.1144,5,1,0,2,0.17930000000000001,l,2014-09-27 15:00:00,0,0,1,0,-1.660853,7.4375,8.96551724137931
6,h,1.57773,0.957718,1.57773,0.957718,1,9,2,2,1.8725999999999998,d,2014-10-04 15:00:00,0,1,0,1,0.6200120000000001,7.65,6.724137931034483
7,a,0.650379,2.1929,0.650379,2.1929,5,5,0,1,0.3494,l,2014-10-18 15:00:00,0,0,1,0,-1.5425209999999998,10.0,6.0344827586206895
8,a,0.773436,1.05601,0.773436,1.05601,3,4,0,2,1.0348,l,2014-10-25 17:30:00,0,0,1,0,-0.2825739999999999,14.5,16.05
9,h,1.41001,0.562442,1.41001,0.562442,8,5,0,1,2.1102999999999996,l,2014-11-01 15:00:00,0,0,1,0,0.847568,8.391304347826088,7.206896551724138
10,a,0.540434,1.00528,0.540434,1.00528,1,9,0,2,0.8903999999999999,l,2014-11-08 15:00:00,0,0,1,0,-0.464846,20.88235294117647,7.391304347826087
11,h,0.685893,0.889971,0.685893,0.889971,9,6,0,0,1.1185,d,2014-11-22 15:00:00,0,1,0,1,-0.20407799999999998,8.608695652173912,5.5
12,a,2.10013,2.98194,2.10013,2.98194,8,7,2,3,0.8225,l,2014-11-29 15:00:00,0,0,1,0,-0.8818099999999998,6.0344827586206895,8.076923076923077
13,h,1.23928,1.3012,1.23928,1.3012,6,5,1,3,1.2539,l,2014-12-02 19:45:00,0,0,1,0,-0.061919999999999975,11.333333333333334,9.052631578947368
14,a,1.0083,1.97697,1.0083,1.97697,6,7,1,2,0.6997,l,2014-12-07 16:00:00,0,0,1,0,-0.9686699999999999,9.342857142857143,6.428571428571429
15,h,0.360608,1.13411,0.360608,1.13411,4,8,0,1,0.5943,l,2014-12-13 15:00:00,0,0,1,0,-0.7735019999999999,9.6875,8.3
16,a,0.659983,1.45134,0.659983,1.45134,11,9,0,2,0.6574,l,2014-12-20 15:00:00,0,0,1,0,-0.7913570000000001,5.7272727272727275,9.055555555555555
17,h,1.47301,1.35719,1.47301,1.35719,9,5,1,2,1.4261,l,2014-12-26 15:00:00,0,0,1,0,0.11582000000000003,10.2,9.208333333333334
18,a,0.180127,1.72314,0.180127,1.72314,0,5,1,0,0.2403,w,2014-12-28 15:00:00,1,0,0,3,-1.543013,11.037037037037036,8.136363636363637
19,a,1.09438,2.38944,1.09438,0.867099,5,10,2,2,0.47940000000000005,d,2015-01-01 15:00:00,0,1,0,1,0.22728099999999996,14.3,6.947368421052632
20,h,2.36522,0.606149,2.36522,0.606149,5,8,1,0,2.6117,w,2015-01-10 15:00:00,1,0,0,3,1.7590709999999998,6.909090909090909,6.315789473684211
21,h,0.382481,0.715634,0.382481,0.715634,2,5,0,1,0.9495,l,2015-01-17 15:00:00,0,0,1,0,-0.333153,8.37037037037037,11.75
22,a,0.380882,1.7369,0.380882,1.7369,5,10,1,3,0.3053,l,2015-01-31 15:00:00,0,0,1,0,-1.3560180000000002,15.407407407407407,4.666666666666667
23,h,0.7797,1.00613,0.7797,1.00613,6,6,0,1,1.1383,l,2015-02-07 15:00:00,0,0,1,0,-0.22643000000000002,6.857142857142857,13.294117647058824
24,a,0.799802,1.77095,0.799802,1.77095,1,5,1,2,0.6499999999999999,l,2015-02-10 19:45:00,0,0,1,0,-0.971148,7.71875,8.62962962962963
25,a,1.99519,2.05032,1.99519,2.05032,5,13,2,2,1.3422,d,2015-02-22 14:05:00,0,1,0,1,-0.05513000000000012,13.208333333333334,11.055555555555555
26,a,0.217043,2.91599,0.217043,2.91599,5,22,0,2,0.0496,l,2015-03-04 19:45:00,0,0,1,0,-2.698947,17.333333333333332,5.653846153846154
27,h,0.53913,1.0475,0.53913,1.0475,8,5,0,0,0.8379,d,2015-03-14 15:00:00,0,1,0,1,-0.5083700000000001,8.227272727272727,7.666666666666667
28,a,2.722,2.82935,2.722,2.06818,7,6,3,4,1.2933,l,2015-03-21 15:00:00,0,0,1,0,0.6538200000000001,11.448275862068966,5.8
29,h,3.43561,1.93553,2.67444,1.93553,11,12,2,1,2.2908000000000004,w,2015-04-04 15:00:00,1,0,0,3,0.7389100000000002,7.9523809523809526,6.6521739130434785
30,a,1.6874,0.968439,1.6874,0.968439,4,2,3,2,1.9507,w,2015-04-11 15:00:00,1,0,0,3,0.718961,6.190476190476191,7.217391304347826
31,h,2.57043,0.87346,2.57043,0.87346,9,4,2,0,2.5446,w,2015-04-18 15:00:00,1,0,0,3,1.6969699999999999,10.903225806451612,17.0
32,a,1.21926,1.98975,1.21926,1.22858,1,4,1,0,0.6809,w,2015-04-25 15:00:00,1,0,0,3,-0.009319999999999995,7.2,4.043478260869565
33,h,0.600074,1.51717,0.600074,1.51717,7,14,1,3,0.4461,l,2015-04-29 19:45:00,0,0,1,0,-0.9170959999999999,10.0,11.692307692307692
34,h,4.02694,0.485003,3.26577,0.485003,7,5,3,0,2.94,w,2015-05-02 12:45:00,1,0,0,3,2.780767,7.409090909090909,4.92
35,h,1.64129,0.348109,1.64129,0.348109,5,8,2,0,2.5201,w,2015-05-09 15:00:00,1,0,0,3,1.293181,13.909090909090908,3.6666666666666665
36,a,0.682972,0.935248,0.682972,0.935248,1,7,0,0,1.1002,d,2015-05-16 15:00:00,0,1,0,1,-0.25227599999999994,4.68,5.166666666666667
37,h,2.17428,1.26755,2.17428,1.26755,3,1,5,1,2.0134000000000003,w,2015-05-24 15:00:00,1,0,0,3,0.90673,10.619047619047619,6.7407407407407405
