,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.90067,1.11757,1.12689,1.11757,1,5,0,1,2.0149,l,2014-08-16 15:00:00,0,0,1,0,0.009319999999999995,12.823529411764707,10.285714285714286
1,a,1.07617,2.38894,1.07617,2.38894,2,8,0,4,0.5381,l,2014-08-24 13:30:00,0,0,1,0,-1.3127699999999998,16.285714285714285,7.724137931034483
2,h,1.27277,0.964343,1.27277,0.964343,7,7,1,0,1.5890999999999997,w,2014-08-30 15:00:00,1,0,0,3,0.308427,12.384615384615385,7.904761904761905
3,a,0.563524,2.20911,0.563524,2.20911,4,9,0,4,0.3136,l,2014-09-14 16:00:00,0,0,1,0,-1.6455859999999998,45.5,8.76923076923077
4,h,1.05642,1.45847,1.05642,1.45847,3,6,2,2,0.9737,d,2014-09-20 12:45:00,0,1,0,1,-0.40205,9.916666666666666,9.791666666666666
5,a,0.456323,2.34463,0.456323,2.34463,3,8,1,2,0.2299,l,2014-09-27 15:00:00,0,0,1,0,-1.888307,14.555555555555555,9.545454545454545
6,a,0.697342,1.64038,0.697342,1.64038,0,5,0,2,0.5123,l,2014-10-05 16:15:00,0,0,1,0,-0.9430379999999999,9.75,12.409090909090908
7,h,2.60852,1.51813,2.60852,1.51813,8,8,2,3,2.1516,l,2014-10-19 13:30:00,0,0,1,0,1.09039,7.588235294117647,6.3
8,h,0.81667,1.18709,0.81667,1.18709,3,6,2,0,0.9961,w,2014-10-27 20:00:00,1,0,0,3,-0.37041999999999997,13.6,5.590909090909091
9,a,0.510067,2.23703,0.510067,1.47586,3,12,1,2,0.24209999999999998,l,2014-11-01 15:00:00,0,0,1,0,-0.9657929999999999,13.043478260869565,5.5
10,h,1.86489,1.70189,1.86489,1.70189,4,15,2,2,1.5175999999999998,d,2014-11-08 17:30:00,0,1,0,1,0.16300000000000003,9.678571428571429,8.333333333333334
11,a,0.402285,1.47871,0.402285,1.47871,5,9,0,1,0.47050000000000003,l,2014-11-22 15:00:00,0,0,1,0,-1.076425,7.076923076923077,4.382352941176471
12,h,2.98194,2.10013,2.98194,2.10013,7,8,3,2,1.9742000000000002,w,2014-11-29 15:00:00,1,0,0,3,0.8818099999999998,8.076923076923077,6.0344827586206895
13,a,0.789519,1.54207,0.789519,1.54207,4,6,0,2,0.7788,l,2014-12-02 19:45:00,0,0,1,0,-0.7525510000000001,11.964285714285714,7.75
14,h,1.63744,1.2646,1.63744,1.2646,11,12,2,0,1.654,w,2014-12-06 15:00:00,1,0,0,3,0.37284000000000006,11.214285714285714,6.44
15,a,0.972265,0.747708,0.972265,0.747708,4,5,1,3,1.5516999999999999,l,2014-12-15 20:00:00,0,0,1,0,0.224557,10.214285714285714,8.0
16,h,2.92864,1.30117,2.16747,1.30117,4,12,3,2,2.5012,w,2014-12-20 15:00:00,1,0,0,3,0.8662999999999998,8.363636363636363,9.235294117647058
17,a,1.21752,2.13888,0.456385,1.37771,7,11,1,2,0.6531,l,2014-12-26 17:30:00,0,0,1,0,-0.921325,8.685714285714285,12.277777777777779
18,h,0.405679,0.328577,0.405679,0.328577,4,5,0,0,1.3231,d,2014-12-28 15:00:00,0,1,0,1,0.077102,4.666666666666667,8.045454545454545
19,h,3.16214,1.69725,3.16214,1.69725,9,6,1,1,2.3068999999999997,d,2015-01-01 15:00:00,0,1,0,1,1.46489,7.918918918918919,10.333333333333334
20,a,1.69555,2.19126,0.93438,2.19126,7,8,1,2,1.0748,l,2015-01-10 15:00:00,0,0,1,0,-1.2568800000000002,11.5,6.296296296296297
21,h,0.929623,1.55645,0.929623,1.55645,6,8,0,2,0.8639,l,2015-01-17 15:00:00,0,0,1,0,-0.6268269999999999,10.48,5.733333333333333
22,a,1.11577,0.782569,1.11577,0.782569,4,5,1,3,1.6808999999999998,l,2015-01-31 15:00:00,0,0,1,0,0.33320099999999997,11.294117647058824,7.5
23,h,1.03037,0.963892,1.03037,0.963892,5,10,0,1,1.3948999999999998,l,2015-02-07 15:00:00,0,0,1,0,0.06647800000000004,9.636363636363637,6.444444444444445
24,a,1.26883,1.80831,1.26883,1.80831,4,4,2,0,0.9351,w,2015-02-10 19:45:00,1,0,0,3,-0.5394800000000002,8.4,8.074074074074074
25,a,0.190631,1.09259,0.190631,1.09259,0,6,1,2,0.4784,l,2015-02-21 15:00:00,0,0,1,0,-0.901959,9.636363636363637,6.423076923076923
26,h,0.318849,2.1651,0.318849,2.1651,2,15,1,2,0.1923,l,2015-03-04 19:45:00,0,0,1,0,-1.8462509999999999,7.083333333333333,8.85
27,h,1.49775,2.62405,1.49775,2.62405,8,4,1,2,0.6722,l,2015-03-07 15:00:00,0,0,1,0,-1.1263,7.72,3.5714285714285716
28,a,0.266048,2.20095,0.266048,2.20095,2,5,1,3,0.1302,l,2015-03-14 12:45:00,0,0,1,0,-1.9349020000000001,4.782608695652174,9.095238095238095
29,h,1.39318,0.839996,1.39318,0.839996,18,9,1,2,1.8243,l,2015-03-22 16:00:00,0,0,1,0,0.5531840000000001,5.032258064516129,5.592592592592593
30,a,1.20939,2.13361,1.20939,2.13361,5,9,4,1,0.7600999999999999,w,2015-04-04 15:00:00,1,0,0,3,-0.92422,10.571428571428571,11.375
31,a,1.43061,1.86698,1.43061,1.86698,3,5,3,3,1.0679,d,2015-04-07 19:45:00,0,1,0,1,-0.43637000000000015,8.863636363636363,6.5
32,h,0.780982,0.920984,0.780982,0.920984,2,8,0,1,1.1843,l,2015-04-12 13:30:00,0,0,1,0,-0.14000200000000007,7.066666666666666,6.823529411764706
33,h,2.28143,0.824309,1.52026,0.824309,15,4,0,0,2.4533,d,2015-04-25 15:00:00,0,1,0,1,0.695951,4.9,4.7727272727272725
34,a,0.386314,2.28745,0.386314,1.52628,1,9,1,2,0.1852,l,2015-05-02 15:00:00,0,0,1,0,-1.139966,10.26086956521739,5.380952380952381
35,a,0.872314,5.35103,0.872314,4.58986,1,13,0,6,0.009600000000000001,l,2015-05-10 13:30:00,0,0,1,0,-3.7175459999999996,12.761904761904763,6.76
36,h,0.470106,2.11207,0.470106,2.11207,2,10,2,1,0.312,w,2015-05-16 15:00:00,1,0,0,3,-1.6419640000000002,2.95,4.0
37,a,1.26755,2.17428,1.26755,2.17428,1,3,1,5,0.7654000000000001,l,2015-05-24 15:00:00,0,0,1,0,-0.90673,6.7407407407407405,10.619047619047619
