,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.278076,1.16635,0.278076,1.16635,2,8,2,1,0.4839,1,0,0,3,-0.888274,17.94736842105263,10.12
1,1.192291,2.009681,1.192291,2.009681,4,17,3,1,1.907,2,0,0,6,-0.8173900000000001,15.973684210526315,11.934999999999999
2,3.218701,2.706346,3.218701,2.706346,9,22,6,1,4.2783999999999995,3,0,0,9,0.5123549999999999,14.982456140350877,13.11142857142857
3,4.240231,6.272156,4.240231,6.272156,11,46,8,5,4.477099999999999,3,0,1,9,-2.0319249999999998,14.942724458204335,12.905
4,4.760492999999999,7.0224,4.760492999999999,7.0224,13,53,8,6,5.575899999999999,3,0,2,9,-2.261907,15.471826625387,11.88870588235294
5,4.916891,8.418890000000001,4.916891,8.418890000000001,13,57,8,6,5.893099999999999,3,1,2,10,-3.5019989999999996,14.036045997346308,11.627254901960782
6,6.469310999999999,9.604920000000002,6.469310999999999,9.604920000000002,19,58,10,8,7.534599999999998,3,2,2,11,-3.1356089999999996,13.04147857973599,11.894789915966385
7,8.737580999999999,11.363330000000001,7.976411,10.602159000000002,25,66,11,10,9.343199999999998,3,2,3,11,-2.6257479999999997,12.793646698445462,11.737107843137252
8,9.793591,12.136766000000001,9.032421,11.375595000000002,29,69,13,10,10.941099999999997,4,2,3,14,-2.343174,13.15546373195152,12.044095860566447
9,10.48801,13.284556000000002,9.72684,12.523385000000003,33,85,13,10,11.865499999999997,4,3,3,15,-2.796545,13.158099176938189,11.330311274509802
10,11.008496999999998,15.061546000000002,10.247326999999999,14.300375000000003,37,99,15,11,12.284599999999998,5,3,3,18,-4.053048,13.021196880220486,11.115532243689263
11,11.965507999999998,17.324666,11.204337999999998,16.563495000000003,41,115,16,13,12.827499999999997,5,3,4,18,-5.359157,13.297208251313224,10.816321223381825
12,13.428107999999998,18.834226,12.666937999999998,17.311890000000002,50,118,17,14,14.093299999999997,5,4,4,19,-4.644952,12.563938838316279,11.484296513890914
13,14.970177999999999,19.623745,14.209007999999999,18.101409,56,122,19,14,16.0385,6,4,4,22,-3.892401,12.22008606415083,11.518581456776259
14,15.968326,21.738834999999998,15.207156,20.216499,59,130,20,17,16.665599999999998,6,4,5,22,-5.009342999999999,11.906746993207442,11.249441458423274
15,17.646586,22.469856999999998,16.885416,20.947521,66,132,21,19,18.807499999999997,6,4,6,22,-4.062104999999999,11.719640523523282,11.031928290348743
