,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,2.59203,0.64396,1.83086,0.64396,5,10,2,2,2.7239999999999998,d,2015-08-08 20:30:00,0,1,0,1,1.1869,8.833333333333334,10.363636363636363
1,h,1.97424,0.113109,1.97424,0.113109,4,0,2,0,2.8266999999999998,w,2015-08-15 18:00:00,1,0,0,3,1.861131,6.235294117647059,34.333333333333336
2,a,1.56064,0.569426,1.56064,0.569426,4,2,1,1,2.1481,d,2015-08-22 18:00:00,0,1,0,1,0.991214,8.578947368421053,10.10344827586207
3,h,0.971183,1.28089,0.971183,1.28089,3,9,2,1,1.0691000000000002,w,2015-08-30 19:00:00,1,0,0,3,-0.30970700000000007,15.173913043478262,6.896551724137931
4,a,0.503008,1.57333,0.503008,1.57333,8,3,0,1,0.4894,l,2015-09-12 18:00:00,0,0,1,0,-1.070322,6.7,11.25925925925926
5,h,0.864868,1.77458,0.864868,1.77458,4,12,0,0,0.7005,d,2015-09-19 18:00:00,0,1,0,1,-0.9097120000000001,8.576923076923077,9.0
6,a,1.41962,1.55418,0.658453,1.55418,4,10,1,3,1.2779,l,2015-09-26 18:00:00,0,0,1,0,-0.8957269999999999,11.11111111111111,11.703703703703704
7,h,0.774806,1.18142,0.774806,1.18142,3,4,2,2,1.0062,d,2015-10-04 19:00:00,0,1,0,1,-0.4066139999999999,13.857142857142858,7.67741935483871
8,h,0.485489,1.64894,0.485489,0.88777,5,6,0,1,0.3905,l,2015-10-19 23:00:00,0,0,1,0,-0.40228099999999994,16.27777777777778,16.545454545454547
9,a,1.74353,1.09516,1.74353,1.09516,4,4,2,1,1.9219999999999997,w,2015-10-24 18:00:00,1,0,0,3,0.6483700000000001,6.730769230769231,10.36
10,h,0.264441,2.17657,0.264441,2.17657,4,5,0,3,0.1674,l,2015-10-31 19:00:00,0,0,1,0,-1.912129,10.782608695652174,16.904761904761905
11,a,0.402284,1.19517,0.402284,1.19517,5,4,0,1,0.5871999999999999,l,2015-11-07 19:00:00,0,0,1,0,-0.7928860000000001,10.9375,23.05263157894737
12,h,1.88526,1.58509,1.12409,1.58509,5,11,2,2,1.6251,d,2015-11-21 19:00:00,0,1,0,1,-0.4610000000000001,9.666666666666666,9.826086956521738
13,a,0.367517,1.19358,0.367517,0.432412,1,9,0,1,0.4827,l,2015-11-29 20:15:00,0,0,1,0,-0.06489500000000004,24.583333333333332,6.641025641025641
14,h,0.780602,2.20962,0.780602,2.20962,6,5,0,3,0.4611,l,2015-12-05 19:00:00,0,0,1,0,-1.4290180000000001,10.157894736842104,13.88
15,a,0.962789,1.34338,0.962789,1.34338,5,2,1,2,1.0433000000000001,l,2015-12-12 19:00:00,0,0,1,0,-0.380591,15.947368421052632,11.931034482758621
16,h,0.973378,0.401988,0.973378,0.401988,10,4,0,0,1.8319,d,2015-12-20 20:00:00,0,1,0,1,0.57139,5.470588235294118,12.151515151515152
17,h,1.21243,0.554583,1.21243,0.554583,5,6,1,0,2.1517,w,2015-12-26 19:00:00,1,0,0,3,0.6578469999999998,9.238095238095237,9.866666666666667
18,a,0.169425,0.735185,0.169425,0.735185,1,7,0,0,0.6407,d,2015-12-28 19:00:00,0,1,0,1,-0.56576,13.6,9.789473684210526
19,a,0.542907,1.74266,0.542907,1.74266,3,10,1,2,0.5028,l,2016-01-02 19:00:00,0,0,1,0,-1.199753,13.88888888888889,10.0
20,h,1.06526,2.49057,0.304096,2.49057,7,8,2,4,0.3028,l,2016-01-13 23:45:00,0,0,1,0,-2.186474,17.53846153846154,11.478260869565217
21,h,0.474035,0.525478,0.474035,0.525478,4,4,1,0,1.2118,w,2016-01-19 00:00:00,1,0,0,3,-0.051443000000000016,9.2,8.774193548387096
22,a,1.08055,1.94094,0.319377,1.94094,2,8,2,1,0.6795,w,2016-01-24 17:30:00,1,0,0,3,-1.621563,11.962962962962964,12.2
23,a,1.17928,2.30645,1.17928,2.30645,3,7,1,1,0.6018,d,2016-02-03 00:00:00,0,1,0,1,-1.1271699999999998,5.923076923076923,9.592592592592593
24,h,1.32136,1.01465,1.32136,1.01465,10,3,1,1,1.5405,d,2016-02-06 19:00:00,0,1,0,1,0.30671000000000004,4.45945945945946,10.0
25,h,0.699012,1.19353,0.699012,1.19353,7,4,0,1,0.9221,l,2016-02-13 19:00:00,0,0,1,0,-0.494518,7.037037037037037,14.117647058823529
26,a,1.24938,3.57325,1.24938,3.57325,3,14,1,2,0.2495,l,2016-02-28 18:05:00,0,0,1,0,-2.32387,18.363636363636363,7.739130434782608
27,a,1.69788,1.4928,1.69788,1.4928,1,22,2,1,1.5619,w,2016-03-02 23:45:00,1,0,0,3,0.20508000000000015,15.045454545454545,7.0344827586206895
28,h,0.545937,0.580126,0.545937,0.580126,6,8,1,0,1.2532,w,2016-03-05 19:00:00,1,0,0,3,-0.034189000000000025,4.4375,9.714285714285714
29,a,1.09562,0.70756,1.09562,0.70756,3,4,2,3,1.7327,l,2016-03-12 19:00:00,0,0,1,0,0.38806000000000007,5.696969696969697,7.838709677419355
30,h,0.490469,0.730828,0.490469,0.730828,6,2,1,0,1.0533000000000001,w,2016-03-19 21:30:00,1,0,0,3,-0.24035900000000004,5.482758620689655,6.725
