,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.435238,1.9242,0.435238,1.9242,4,8,0,3,0.3543,l,2015-08-10 23:00:00,0,0,1,0,-1.488962,23.294117647058822,8.08695652173913
1,a,0.684036,0.760848,0.684036,0.760848,4,3,0,0,1.2504,d,2015-08-15 18:00:00,0,1,0,1,-0.07681199999999999,11.5,5.9523809523809526
2,h,1.42622,2.02778,0.665049,2.02778,4,8,2,3,0.9259999999999999,l,2015-08-23 16:30:00,0,0,1,0,-1.362731,14.823529411764707,17.5
3,a,0.881194,1.21771,0.881194,1.21771,8,2,1,0,0.9317,w,2015-08-29 18:00:00,1,0,0,3,-0.33651600000000004,8.96774193548387,23.88888888888889
4,h,0.409143,1.00731,0.409143,1.00731,5,7,0,0,0.7587999999999999,d,2015-09-12 18:00:00,0,1,0,1,-0.5981669999999999,20.41176470588235,8.555555555555555
5,a,0.632761,0.876719,0.632761,0.876719,2,5,1,0,1.0709,w,2015-09-19 18:00:00,1,0,0,3,-0.243958,8.413793103448276,6.12
6,h,1.27511,2.30159,1.27511,2.30159,6,5,2,3,0.6471,l,2015-09-28 23:00:00,0,0,1,0,-1.02648,11.0,9.6
7,a,0.255528,1.99083,0.255528,1.22966,1,3,0,2,0.16570000000000001,l,2015-10-03 15:45:00,0,0,1,0,-0.974132,10.523809523809524,4.2
8,h,2.07781,0.658473,2.07781,0.658473,2,5,1,0,2.5696000000000003,w,2015-10-17 18:00:00,1,0,0,3,1.419337,9.421052631578947,9.173913043478262
9,a,1.45436,1.03228,1.45436,1.03228,3,6,1,0,1.7524,w,2015-10-24 18:00:00,1,0,0,3,0.42208,13.588235294117647,7.611111111111111
10,h,1.50447,2.22545,0.743302,2.22545,9,4,2,3,0.8301999999999999,l,2015-10-31 19:00:00,0,0,1,0,-1.482148,30.0,7.0
11,a,0.594031,1.2779,0.594031,0.516734,1,11,0,2,0.6548,l,2015-11-07 19:00:00,0,0,1,0,0.07729699999999995,12.521739130434783,7.523809523809524
