,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.04903,1.72089,1.04903,1.72089,5,2,0,1,0.7766,0,0,1,0,-0.6718600000000001,10.952380952380953,10.3125
1,1.2465659999999998,2.659915,1.2465659999999998,2.659915,5,16,2,1,1.3659,1,0,1,3,-1.4133490000000002,18.194940476190474,8.15625
2,1.4310559999999999,5.318295,1.4310559999999999,5.318295,6,39,2,4,1.4618,1,0,2,3,-3.8872390000000006,16.893849206349206,10.985119047619046
3,1.884205,6.225411,1.884205,6.225411,13,41,3,5,2.3177000000000003,1,1,2,4,-4.341206000000001,16.15314552545156,11.43328373015873
4,2.348728,8.210441,2.348728,8.210441,14,47,3,8,2.5948,1,1,3,4,-5.861713000000001,15.922516420361248,11.093995405179616
5,2.918462,8.986545999999999,2.918462,8.986545999999999,16,48,5,8,3.686,2,1,3,7,-6.068084000000001,15.095152572523261,10.846848022834864
6,3.5272449999999997,10.840875999999998,3.5272449999999997,10.840875999999998,16,63,5,9,4.0777,2,1,4,7,-7.313631000000001,17.212511728829462,10.416345924334646
7,4.558505,15.052685999999998,3.7973359999999996,14.291515999999998,20,72,6,12,4.1486,2,1,5,7,-10.49418,17.127124233314014,11.378191572681704
8,5.464084000000001,15.805480999999999,4.702915,15.044310999999999,22,77,8,13,5.6859,3,1,5,10,-10.341396,16.210221540723566,11.107003620161514
9,5.792041,18.529390999999997,5.030872,17.768220999999997,26,97,8,13,5.847,3,2,5,11,-12.737349,16.682532719984543,10.84245710429921
10,8.049421,20.588410999999997,7.288252,19.066070999999997,29,108,11,15,7.4045000000000005,4,2,5,14,-11.777819000000001,16.947757018167767,10.534465136139778
11,8.620426,21.993530999999997,7.8592569999999995,20.471190999999997,31,111,11,19,8.0488,4,2,6,14,-12.611934000000002,16.26271666059318,11.442307327175747
12,9.096068,24.250510999999996,8.334899,22.728170999999996,35,129,12,21,8.2893,4,2,7,14,-14.393272000000001,16.154046148239857,10.869822148162228
13,9.870063,25.379800999999997,9.108894,23.857460999999997,44,134,12,23,9.279200000000001,4,2,8,14,-14.748567000000001,15.620875364252283,10.91758210461218
14,12.021843,26.381740999999998,11.260674,24.859401,53,140,15,25,11.555900000000001,5,2,8,17,-13.598727000000002,15.420224414042872,10.432167540062276
