,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.740018,2.45631,0.740018,1.69514,0,5,2,1,0.2861,w,2016-08-13 15:30:00,1,0,0,3,-0.9551220000000001,17.866666666666667,11.28
1,a,2.18655,1.14134,2.18655,1.14134,5,11,2,0,2.1868000000000003,w,2016-08-20 18:00:00,1,0,0,3,1.04521,25.25,10.233333333333333
2,h,0.268815,2.47208,0.268815,2.47208,2,15,0,1,0.09670000000000001,l,2016-08-27 20:30:00,0,0,1,0,-2.203265,19.153846153846153,11.85
3,a,0.907116,0.453149,0.907116,0.453149,2,7,1,1,1.7822999999999998,d,2016-09-10 18:00:00,0,1,0,1,0.453967,12.777777777777779,13.931034482758621
4,h,0.969693,3.63453,0.208524,2.87336,5,14,1,4,0.1075,l,2016-09-17 18:00:00,0,0,1,0,-2.6648359999999998,37.1,10.818181818181818
5,a,0.157549,4.64913,0.157549,3.1268,2,21,1,5,0.004,l,2016-09-24 18:00:00,0,0,1,0,-2.969251,26.5,5.833333333333333
6,h,0.27266,1.99155,0.27266,1.99155,2,11,0,2,0.22660000000000002,l,2016-10-01 18:00:00,0,0,1,0,-1.71889,14.789473684210526,11.095238095238095
7,a,0.388589,2.92532,0.388589,2.16415,1,11,1,6,0.1018,l,2016-10-15 18:00:00,0,0,1,0,-1.7755609999999997,16.647058823529413,7.472222222222222
8,h,0.701606,1.04273,0.701606,1.04273,7,6,0,2,1.0467,l,2016-10-22 18:00:00,0,0,1,0,-0.341124,9.10344827586207,11.681818181818182
9,a,0.251367,1.14991,0.251367,1.14991,6,5,0,1,0.5195000000000001,l,2016-10-29 18:00:00,0,0,1,0,-0.898543,19.333333333333332,8.272727272727273
10,h,0.561215,2.03046,0.561215,1.26929,3,13,2,1,0.3578,w,2016-11-06 18:15:00,1,0,0,3,-0.708075,30.454545454545453,6.769230769230769
11,a,1.25065,0.951511,1.25065,0.951511,9,8,0,3,1.6113,l,2016-11-19 19:00:00,0,0,1,0,0.29913900000000004,10.666666666666666,16.0
12,h,0.424457,1.40213,0.424457,1.40213,2,3,1,1,0.5464,d,2016-11-26 19:00:00,0,1,0,1,-0.9776730000000001,10.15,18.933333333333334
13,a,0.221339,1.94961,0.221339,1.94961,3,6,0,1,0.2004,l,2016-12-06 00:00:00,0,0,1,0,-1.7282710000000001,28.416666666666668,11.272727272727273
14,h,2.16649,1.50059,1.40532,0.739423,7,4,3,3,1.8750000000000002,d,2016-12-10 19:00:00,0,1,0,1,0.6658969999999999,7.0,17.416666666666668
15,a,0.570636,2.83077,0.570636,2.83077,3,9,0,3,0.11809999999999998,l,2016-12-15 00:00:00,0,0,1,0,-2.260134,15.296296296296296,16.727272727272727
16,a,1.13479,1.92151,1.13479,1.16034,9,2,0,1,0.7638,l,2016-12-17 19:00:00,0,0,1,0,-0.02554999999999996,16.214285714285715,8.0
17,h,0.350069,2.22237,0.350069,1.4612,0,9,0,3,0.1577,l,2016-12-26 21:15:00,0,0,1,0,-1.111131,16.166666666666668,11.538461538461538
18,h,0.852585,1.27757,0.852585,1.27757,4,9,2,2,1.0067,d,2016-12-31 00:00:00,0,1,0,1,-0.42498500000000006,12.0,7.642857142857143
19,a,0.992341,0.883566,0.992341,0.883566,2,1,1,3,1.4347999999999999,l,2017-01-02 19:00:00,0,0,1,0,0.10877500000000007,11.8125,19.4
20,h,1.18904,1.43455,1.18904,0.673383,2,4,3,1,1.1092,w,2017-01-14 19:00:00,1,0,0,3,0.5156570000000001,12.958333333333334,12.466666666666667
21,a,0.314532,1.47165,0.314532,1.47165,6,9,0,2,0.3689,l,2017-01-22 19:30:00,0,0,1,0,-1.1571179999999999,9.607142857142858,15.238095238095237
22,a,0.395896,1.48151,0.395896,1.48151,4,13,0,0,0.47130000000000005,d,2017-02-01 23:00:00,0,1,0,1,-1.085614,19.58823529411765,5.709677419354839
23,h,1.88587,1.12538,1.88587,1.12538,3,16,2,0,2.0223,w,2017-02-04 15:00:00,1,0,0,3,0.7604899999999999,33.333333333333336,4.818181818181818
24,a,0.466403,3.1235,0.466403,2.36233,4,17,0,2,0.0541,l,2017-02-11 12:30:00,0,0,1,0,-1.895927,11.318181818181818,10.73913043478261
25,h,1.59037,0.473058,0.829204,0.473058,5,4,1,1,2.3578,d,2017-02-25 15:00:00,0,1,0,1,0.3561460000000001,14.428571428571429,15.3125
26,a,1.1216,1.81255,1.1216,1.81255,3,11,1,3,0.8452999999999999,l,2017-03-04 15:00:00,0,0,1,0,-0.6909500000000002,6.954545454545454,8.241379310344827
27,h,1.98818,1.44148,1.98818,1.44148,7,3,2,1,1.8066,w,2017-03-11 15:00:00,1,0,0,3,0.5467,10.578947368421053,13.1875
28,a,0.528692,2.63141,0.528692,2.63141,3,10,0,4,0.19169999999999998,l,2017-03-18 15:00:00,0,0,1,0,-2.102718,12.3,10.0
29,h,0.778704,1.24571,0.778704,1.24571,2,3,2,1,0.9539,w,2017-04-01 15:00:00,1,0,0,3,-0.46700600000000014,11.043478260869565,8.173913043478262
30,h,2.23261,1.30673,2.23261,1.30673,8,4,4,2,2.0194,w,2017-04-05 19:45:00,1,0,0,3,0.9258800000000003,10.91304347826087,8.153846153846153
31,a,0.358364,2.33731,0.358364,2.33731,6,11,1,3,0.1714,l,2017-04-08 15:00:00,0,0,1,0,-1.978946,21.736842105263158,7.625
32,a,1.17696,2.01829,1.17696,2.01829,5,9,1,3,0.7436,l,2017-04-15 15:00:00,0,0,1,0,-0.8413299999999999,8.2,8.923076923076923
33,h,1.42309,1.15869,1.42309,1.15869,0,4,2,0,1.5979,w,2017-04-22 15:00:00,1,0,0,3,0.26439999999999997,27.642857142857142,5.518518518518518
34,a,0.472435,1.24844,0.472435,0.487272,11,6,0,0,0.5485,d,2017-04-29 15:00:00,0,1,0,1,-0.014836999999999989,9.071428571428571,6.142857142857143
35,h,1.21734,1.95502,1.21734,1.95502,7,7,0,2,0.8206,l,2017-05-06 15:00:00,0,0,1,0,-0.7376799999999999,6.684210526315789,18.846153846153847
36,a,0.518148,2.73274,0.518148,1.97158,7,6,0,4,0.14500000000000002,l,2017-05-14 12:00:00,0,0,1,0,-1.453432,4.176470588235294,10.041666666666666
37,h,0.812723,3.89027,0.812723,3.89027,3,19,1,7,0.0769,l,2017-05-21 15:00:00,0,0,1,0,-3.077547,13.695652173913043,9.318181818181818
