,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.740018,2.45631,0.740018,1.69514,0,5,2,1,0.2861,1,0,0,3,-0.9551220000000001,17.866666666666667,11.28
1,2.926568,3.5976500000000002,2.926568,2.83648,5,16,4,1,2.4729,2,0,0,6,0.09008799999999983,21.558333333333334,10.756666666666666
2,3.195383,6.06973,3.195383,5.30856,7,31,4,2,2.5696000000000003,2,0,1,6,-2.1131770000000003,20.756837606837607,11.12111111111111
3,4.102499,6.522879,4.102499,5.761709,9,38,5,3,4.3519000000000005,2,1,1,7,-1.6592100000000003,18.76207264957265,11.823591954022987
4,5.072192,10.157409,4.311023,8.635069,14,52,6,7,4.4594000000000005,2,1,2,7,-4.324046,22.42965811965812,11.622509926854754
5,5.229741000000001,14.806539,4.468572,11.761868999999999,16,73,7,12,4.4634,2,1,3,7,-7.293297,23.108048433048435,10.657647161267851
6,5.502401000000001,16.798089,4.741232,13.753419,18,84,7,14,4.69,2,1,4,7,-9.012187,21.919680611785875,10.72016015183503
7,5.89099,19.723409,5.129821,15.917568999999999,19,95,8,20,4.7918,2,1,5,7,-10.787748,21.260602888253818,10.31416791063343
8,6.592596,20.766139,5.831427,16.960299,26,101,8,22,5.8385,2,1,6,7,-11.128872000000001,19.9098079313214,10.46612905187618
9,6.8439630000000005,21.916048999999997,6.082794,18.110208999999998,32,106,8,23,6.358,2,1,7,7,-12.027415000000001,19.852160471522595,10.24678887396129
10,7.405178,23.946509,6.644009,19.379499,35,119,10,24,6.7158,3,1,7,10,-12.735490000000002,20.8160136517974,9.930647228076698
11,8.655828,24.89802,7.894659,20.33101,44,127,10,27,8.3271,3,1,8,10,-12.436351000000002,19.97023473636984,10.436426625736972
12,9.080285,26.30015,8.319116,21.73314,46,130,11,28,8.8735,3,2,8,11,-13.414024000000001,19.21483206434139,11.090034834013617
13,9.301624,28.24976,8.540455,23.68275,49,136,11,29,9.0739,3,2,9,11,-15.142295,19.872105964507483,11.103084293921736
14,11.468114,29.750349999999997,9.945775,24.422172999999997,56,140,14,32,10.9489,3,3,9,12,-14.476398000000001,19.01396556687365,11.523989785438063
15,12.03875,32.58112,10.516411,27.252943,59,149,14,35,11.067,3,3,10,12,-16.736532,18.781611237462567,11.84919496930273
16,13.173540000000001,34.502629999999996,11.651201,28.413283,68,151,14,36,11.8308,3,3,11,12,-16.762082,18.630592089040398,11.622771735814334
17,13.523609,36.724999999999994,12.00127,29.874483,68,160,14,39,11.9885,3,3,12,12,-17.873213,18.49370734335297,11.6180878359614
18,14.376194,38.00256999999999,12.853855,31.152053000000002,72,169,16,41,12.9952,3,4,12,13,-18.298198,18.151933272650183,11.408865167903281
19,15.368535,38.88613599999999,13.846195999999999,32.035619000000004,74,170,17,44,14.43,3,4,13,13,-18.189422999999998,17.834961609017675,11.808421909508118
20,16.557575,40.320685999999995,15.035236,32.709002000000005,76,174,20,45,15.5392,4,4,13,16,-17.673765999999997,17.602741214937467,11.839766897944239
21,16.872107,41.79233599999999,15.349768,34.180652,82,183,20,47,15.9081,4,4,14,16,-18.830883999999998,17.2393049259468,11.994236367951101
22,17.268003,43.27384599999999,15.745664,35.662162,86,196,20,47,16.3794,4,5,14,17,-19.916497999999997,17.341432333258577,11.720994674533872
23,19.153873,44.39922599999999,17.631534,36.787542,89,212,22,47,18.4017,5,5,14,20,-19.156007999999996,18.007761541595023,11.43337747218587
24,19.620276,47.52272599999999,18.097936999999998,39.149872,93,229,22,49,18.4558,5,5,15,20,-21.051934999999997,17.740178352658496,11.40560759068974
25,21.210646,47.99578399999999,18.927141,39.622930000000004,98,233,23,50,20.8136,5,6,15,21,-20.695788999999998,17.612808855578223,11.555872683355519
26,22.332246,49.808333999999995,20.048741,41.435480000000005,101,244,24,53,21.658900000000003,5,6,16,21,-21.386739,17.218058359243678,11.433113669540308
27,24.320426,51.24981399999999,22.036921,42.876960000000004,108,247,26,54,23.465500000000002,6,6,16,24,-20.840038999999997,16.98094725242858,11.495770324199583
28,24.849118,53.881223999999996,22.565613,45.508370000000006,111,257,26,58,23.657200000000003,6,6,17,24,-22.942756999999997,16.819535278206907,11.444192037158219
29,25.627822000000002,55.126934,23.344317,46.75408000000001,113,260,28,59,24.611100000000004,7,6,17,27,-23.409762999999998,16.627000044295663,11.335182737368886
30,27.860432000000003,56.433664,25.576927,48.06081000000001,121,264,32,61,26.630500000000005,8,6,17,30,-22.483883,16.442678864746153,11.232558976610088
31,28.218796000000005,58.770974,25.935291000000003,50.39812000000001,127,275,33,64,26.801900000000003,8,6,18,30,-24.462829,16.60812146601231,11.119822758591022
32,29.395756000000006,60.789264,27.112251000000004,52.41641000000001,132,284,34,67,27.545500000000004,8,6,19,30,-25.304159,16.35332990643618,11.053254702969383
33,30.818846000000004,61.947954,28.535341000000003,53.57510000000001,132,288,36,67,29.143400000000003,9,6,19,33,-25.039759,16.685374825154444,10.89046834460318
34,31.291281000000005,63.196394000000005,29.007776000000003,54.06237200000001,143,294,36,67,29.691900000000004,9,7,19,34,-25.054596,16.467833503619417,10.75482231026758
35,32.508621000000005,65.151414,30.225116000000003,56.01739200000001,150,301,36,69,30.512500000000003,9,7,20,34,-25.792276,16.196066198694318,10.979581519597755
36,33.026769,67.88415400000001,30.743264000000003,57.98897200000001,157,307,36,73,30.657500000000002,9,7,21,34,-27.245708,15.871212263276506,10.954232469518537
37,33.839492,71.77442400000001,31.555987000000002,61.87924200000001,160,326,37,80,30.7344,9,7,22,34,-30.323255,15.813960681977466,10.911178505009676
