,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.45631,0.740018,1.69514,0.740018,5,0,1,2,2.5892,0,0,1,0,0.9551220000000001,11.28,17.866666666666667
1,3.010003,1.261527,2.2488330000000003,1.261527,13,12,1,2,3.9132,0,1,1,1,0.9873060000000001,9.362222222222222,12.259420289855072
2,5.489773,1.5897070000000002,3.8505730000000002,1.5897070000000002,16,16,3,3,6.723599999999999,1,1,1,4,2.260866,8.193862433862433,11.95072463768116
3,6.714853,4.358867,5.075653,4.358867,19,30,4,7,7.190899999999999,1,1,2,4,0.7167860000000001,9.838578643578643,12.788043478260871
4,8.699883,4.82339,7.060683,4.82339,25,31,7,7,9.758799999999999,2,1,2,7,2.237293,9.818231335915545,13.230434782608697
5,8.986849,7.27943,7.347649,7.27943,36,42,8,11,9.851999999999999,2,1,3,7,0.06821900000000047,11.424283689020532,12.18445322793149
6,9.433157999999999,8.200393,7.793958,8.200393,40,50,8,11,10.703699999999998,2,2,3,8,-0.4064349999999995,12.56367173344617,12.00844290285284
7,9.615706999999999,11.316123000000001,7.976507,11.316123000000001,43,62,8,14,10.742799999999997,2,2,4,8,-3.339616,12.593212766765399,11.909561453039714
8,11.319806999999999,12.972123000000002,9.680607,12.972123000000002,53,70,11,15,12.148499999999997,3,2,4,11,-3.2915159999999997,12.155772459347022,11.388209214296172
9,12.060794,14.670453000000002,10.421594,13.909285000000002,59,79,12,16,12.711299999999996,3,3,4,12,-3.487691,11.749286122503229,10.989388292866554
10,12.690472,15.452413000000002,11.051272,14.691245000000002,64,80,13,18,13.888099999999996,3,3,5,12,-3.639973,11.475427575481405,10.885975889137946
11,13.887332,16.172113000000003,11.486963000000001,15.410945000000002,70,85,14,20,15.725499999999997,3,3,6,12,-3.923982,10.944737182286525,10.73674773964629
12,15.935132000000001,16.597365000000003,12.012429000000001,15.836197000000002,77,91,16,22,18.400799999999997,3,4,6,13,-3.8237680000000003,11.011666230942549,10.428326584848323
13,17.073042,18.025565000000004,13.150339,17.264397000000002,80,100,17,24,19.552199999999996,3,4,7,13,-4.114058,10.717729480456503,10.499772645114259
14,19.678872000000002,18.995937000000005,15.756169,18.234769000000004,84,119,21,26,22.064899999999994,4,4,7,16,-2.4786,11.136547515092737,10.236151438470277
15,21.353972000000002,19.637117000000003,17.431269,18.875949000000002,94,123,21,27,24.307599999999994,4,4,8,16,-1.44468,11.118754036140182,10.061669751343663
16,22.609692000000003,22.155117000000004,18.686989,20.632779000000003,98,130,23,29,24.796699999999994,4,5,8,17,-1.94579,11.451637785648275,10.023440042787115
17,22.987156000000002,23.410237000000006,19.064453,21.887899000000004,104,134,23,31,25.332399999999993,4,5,9,17,-2.8234459999999997,11.41158953259944,10.009065922762993
18,24.095576,24.993567000000006,20.172873,23.471229000000005,111,140,24,31,26.350699999999993,5,5,9,20,-3.2983559999999996,11.586602825897529,9.978513580963437
19,24.572654,25.690675000000006,20.649950999999998,24.168337000000005,120,142,24,31,27.38339999999999,5,6,9,21,-3.5183859999999996,11.475606017935986,9.829587901915264
20,24.751798,26.429501000000005,20.829095,24.907163000000004,122,149,24,34,28.03719999999999,5,6,10,21,-4.078068,11.962762033888614,9.75436943039549
21,25.687664,28.928731000000006,21.764961,26.645223000000005,125,153,24,37,28.40359999999999,5,6,11,21,-4.880262,11.950100601726213,9.567187348848588
22,26.463309000000002,30.758681000000006,22.540606,28.475173000000005,129,166,24,38,29.00849999999999,5,6,12,21,-5.9345669999999995,12.242125213245364,9.425822223841442
23,26.955318000000002,32.74556100000001,23.032615,30.462053000000004,130,175,24,41,29.35579999999999,5,6,13,21,-7.429437999999999,12.558017054850337,9.291412964514715
24,27.628201,33.43893700000001,23.705498,31.155429000000005,136,177,24,43,30.63939999999999,5,6,14,21,-7.449930999999999,12.525261590047627,9.473440656460442
25,29.175521,34.22887600000001,25.252817999999998,31.945368000000006,139,194,27,44,32.61439999999999,6,6,14,24,-6.692549999999999,12.574989291129713,9.251934697146028
26,30.988071,35.35047600000001,27.065368,33.066968,150,197,30,45,34.51359999999999,7,6,14,27,-6.001599999999999,12.414485217767309,9.166846206679342
27,33.158111000000005,37.672216000000006,29.235408,35.388708,156,205,33,47,35.79959999999999,8,6,14,30,-6.153299999999999,12.52468217427562,9.112186114882352
28,35.13255100000001,39.038926000000004,31.209848,36.755418,160,211,35,47,37.61739999999999,9,6,14,33,-5.545569999999999,12.553242829523722,9.110041766093305
29,36.061685000000004,39.740126000000004,32.138982,37.456618,164,214,37,47,39.15269999999999,10,6,14,36,-5.3176359999999985,12.551468068539599,9.032564183414003
30,36.897780000000004,42.386096,32.975077,40.102588,165,221,39,51,39.43829999999999,10,6,15,36,-7.127510999999998,12.586974708684885,9.031513725884519
31,37.365505000000006,44.065036,33.442802,41.781527999999994,169,228,41,53,39.89559999999999,10,7,15,37,-8.338725999999998,12.396252716780419,8.90960500890715
32,37.96067800000001,44.475239,34.037975,42.191731,173,238,41,54,41.37059999999999,10,7,16,37,-8.153755999999998,12.740888415339521,8.93885940257663
33,38.53134200000001,45.28434,34.608639000000004,43.000831999999996,175,248,42,54,42.48189999999999,11,7,16,40,-8.392192999999997,12.602729293149228,8.883382113646357
34,39.53700200000001,45.796773,35.614299,43.513265,180,254,45,54,44.262399999999985,12,7,16,43,-7.898965999999997,12.520202333753128,8.86528548182789
35,41.16203200000001,47.784533,36.478159000000005,44.739895,183,267,46,56,45.362599999999986,12,7,17,43,-8.261735999999997,12.500410388584772,8.792940595255375
36,41.88775300000001,50.43365300000001,37.203880000000005,47.389015,185,276,47,62,45.59869999999999,12,7,18,43,-10.185134999999997,12.477566118995806,8.762500759347573
37,44.34083300000001,51.304373000000005,39.656960000000005,48.259735,196,279,48,63,48.11949999999999,12,8,18,44,-8.602774999999998,12.374472273759075,8.763966050369527
