,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.80523,0.485626,1.80523,0.485626,4,4,1,1,2.5279,d,2016-08-13 18:00:00,0,1,0,1,1.319604,7.3125,9.045454545454545
1,a,0.854908,1.4645,0.854908,1.4645,6,12,2,1,0.8507,w,2016-08-21 16:30:00,1,0,0,3,-0.6095919999999999,5.875,9.96551724137931
2,a,0.396816,0.696845,0.396816,0.696845,4,5,0,0,0.964,d,2016-08-28 16:30:00,0,1,0,1,-0.30002900000000005,6.730769230769231,17.88888888888889
3,h,0.611959,1.12437,0.611959,1.12437,2,4,1,2,0.8426,l,2016-09-10 18:00:00,0,0,1,0,-0.5124110000000001,9.304347826086957,16.842105263157894
4,a,0.178081,1.17467,0.178081,1.17467,1,8,1,3,0.37889999999999996,l,2016-09-17 20:30:00,0,0,1,0,-0.9965890000000002,9.472222222222221,24.23076923076923
5,h,0.361508,1.4158,0.361508,1.4158,0,12,1,2,0.4938,l,2016-09-24 18:00:00,0,0,1,0,-1.054292,6.9,10.0
6,a,0.852603,0.883385,0.852603,0.883385,2,3,1,1,1.3076,d,2016-10-01 18:00:00,0,1,0,1,-0.030781999999999976,7.458333333333333,11.538461538461538
7,h,0.528576,0.0893749,0.528576,0.0893749,3,2,0,1,1.7502,l,2016-10-16 16:30:00,0,0,1,0,0.43920110000000007,5.464285714285714,15.052631578947368
8,a,1.55581,0.711811,1.55581,0.711811,0,13,0,0,2.1083,d,2016-10-22 18:00:00,0,1,0,1,0.8439989999999999,20.5,4.578947368421052
9,h,1.44317,1.54599,1.44317,1.54599,6,14,2,0,1.2891000000000001,w,2016-10-29 18:00:00,1,0,0,3,-0.10281999999999991,9.791666666666666,9.904761904761905
10,a,0.208762,2.49606,0.208762,2.49606,1,15,1,1,0.1086,d,2016-11-05 19:00:00,0,1,0,1,-2.287298,11.666666666666666,5.28
11,h,0.55976,1.68738,0.55976,1.68738,2,20,0,1,0.5023,l,2016-11-20 20:00:00,0,0,1,0,-1.12762,12.416666666666666,10.310344827586206
12,a,0.425252,2.0478,0.425252,0.525466,6,7,2,2,0.2042,d,2016-11-26 19:00:00,0,1,0,1,-0.10021399999999997,6.7272727272727275,11.814814814814815
13,h,1.94961,0.221339,1.94961,0.221339,6,3,1,0,2.6685,w,2016-12-06 00:00:00,1,0,0,3,1.7282710000000001,11.272727272727273,28.416666666666668
14,a,0.493941,1.72919,0.493941,1.72919,1,6,0,1,0.3469,l,2016-12-11 18:15:00,0,0,1,0,-1.235249,9.96551724137931,9.125
15,h,0.161583,2.13526,0.161583,2.13526,2,10,0,3,0.1277,l,2016-12-14 23:45:00,0,0,1,0,-1.9736770000000001,18.0,7.0606060606060606
16,h,1.71549,0.602249,0.954322,0.602249,2,7,3,0,2.3325,w,2016-12-17 19:00:00,1,0,0,3,0.35207299999999997,17.6875,9.8
17,a,0.698814,0.275704,0.698814,0.275704,3,4,0,1,1.7597999999999998,l,2016-12-26 19:00:00,0,0,1,0,0.42311000000000004,5.583333333333333,9.363636363636363
18,a,0.64492,2.53996,0.64492,2.53996,4,18,1,2,0.30720000000000003,l,2016-12-31 15:00:00,0,0,1,0,-1.8950400000000003,15.11111111111111,8.565217391304348
19,h,0.697108,0.477078,0.697108,0.477078,2,9,0,0,1.5379,d,2017-01-02 16:30:00,0,1,0,1,0.22002999999999995,7.0,9.366666666666667
20,a,0.325347,0.835827,0.325347,0.835827,1,5,0,0,0.7764,d,2017-01-14 19:00:00,0,1,0,1,-0.51048,9.722222222222221,11.136363636363637
21,h,0.958825,2.6558,0.958825,2.6558,7,5,1,3,0.37170000000000003,l,2017-01-21 18:00:00,0,0,1,0,-1.6969750000000001,9.333333333333334,15.105263157894736
22,h,1.18135,1.25288,0.420177,1.25288,5,4,1,1,1.326,d,2017-01-31 22:45:00,0,1,0,1,-0.832703,6.176470588235294,11.818181818181818
23,a,0.50484,2.10053,0.50484,1.33936,6,14,0,1,0.2658,l,2017-02-04 17:30:00,0,0,1,0,-0.8345200000000002,18.5,7.142857142857143
24,h,0.651056,0.831644,0.651056,0.831644,5,8,0,0,1.1302,d,2017-02-11 15:00:00,0,1,0,1,-0.18058800000000008,13.851851851851851,7.243243243243243
25,a,0.82885,0.808522,0.82885,0.808522,7,9,0,1,1.3839,l,2017-02-25 15:00:00,0,0,1,0,0.020328000000000013,6.2272727272727275,8.419354838709678
26,a,0.274611,2.97584,0.274611,2.97584,5,6,0,2,0.0583,l,2017-03-04 15:00:00,0,0,1,0,-2.7012289999999997,5.8,6.724137931034483
27,h,1.09037,2.47484,1.09037,2.47484,7,5,1,3,0.4304,l,2017-03-19 12:00:00,0,0,1,0,-1.3844699999999999,6.909090909090909,14.772727272727273
28,a,0.748206,0.64382,0.748206,0.64382,5,5,0,0,1.4448,d,2017-04-02 13:30:00,0,1,0,1,0.10438600000000009,11.38888888888889,7.8
29,a,1.30673,2.23261,1.30673,2.23261,4,8,2,4,0.7480000000000001,l,2017-04-05 19:45:00,0,0,1,0,-0.9258800000000003,8.153846153846153,10.91304347826087
30,h,0.684683,0.809899,0.684683,0.809899,4,4,0,0,1.1976,d,2017-04-08 15:00:00,0,1,0,1,-0.125216,13.5,12.173913043478262
31,h,1.72075,1.0689,1.72075,1.0689,10,8,1,2,1.8826,l,2017-04-17 20:00:00,0,0,1,0,0.65185,14.0,4.194444444444445
32,a,0.2072,3.27712,0.2072,3.27712,2,12,0,4,0.0417,l,2017-04-22 15:00:00,0,0,1,0,-3.06992,20.071428571428573,7.12
33,h,0.825839,0.445766,0.825839,0.445766,2,7,1,0,1.7328000000000001,w,2017-04-26 19:45:00,1,0,0,3,0.380073,7.88,8.857142857142858
34,h,1.17715,3.10725,1.17715,2.34608,4,10,2,2,0.2424,d,2017-04-30 14:05:00,0,1,0,1,-1.1689300000000002,16.0,6.647058823529412
35,a,0.0718773,2.28046,0.0718773,2.28046,2,16,0,3,0.0853,l,2017-05-08 20:00:00,0,0,1,0,-2.2085827,10.424242424242424,22.46153846153846
36,h,1.32885,1.52569,1.32885,0.764523,8,4,1,2,1.1862,l,2017-05-13 15:00:00,0,0,1,0,0.5643270000000001,14.476190476190476,8.181818181818182
37,a,0.899691,2.16957,0.899691,2.16957,3,14,0,3,0.5406,l,2017-05-21 15:00:00,0,0,1,0,-1.2698790000000002,23.055555555555557,4.76
