,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.485626,1.80523,0.485626,1.80523,4,4,1,1,0.3097,d,2016-08-13 18:00:00,0,1,0,1,-1.319604,9.045454545454545,7.3125
1,h,1.31066,2.17198,0.549491,1.41081,3,9,1,4,0.6835,l,2016-08-20 15:30:00,0,0,1,0,-0.861319,13.31578947368421,4.7272727272727275
2,a,0.187415,2.31835,0.187415,1.55718,9,9,0,1,0.11019999999999999,l,2016-08-27 18:00:00,0,0,1,0,-1.3697650000000001,11.16,7.137931034482759
3,h,1.01771,2.77025,1.01771,2.77025,10,9,0,4,0.3444,l,2016-09-10 18:00:00,0,0,1,0,-1.75254,13.4,8.666666666666666
4,a,1.20308,1.31366,1.20308,1.31366,3,3,1,4,1.2599999999999998,l,2016-09-18 17:15:00,0,0,1,0,-0.11058000000000012,8.90625,6.0344827586206895
5,h,0.979673,0.270862,0.979673,0.270862,4,3,1,1,2.0007,d,2016-09-24 18:00:00,0,1,0,1,0.7088110000000001,7.285714285714286,7.8076923076923075
6,a,1.20043,2.80988,1.20043,2.80988,6,11,1,1,0.3766,d,2016-10-02 15:00:00,0,1,0,1,-1.60945,21.076923076923077,4.206896551724138
7,h,2.29543,0.587572,2.29543,0.587572,12,6,2,0,2.5776999999999997,w,2016-10-15 18:00:00,1,0,0,3,1.707858,11.375,14.263157894736842
8,a,1.04273,0.701606,1.04273,0.701606,6,7,2,0,1.6251,w,2016-10-22 18:00:00,1,0,0,3,0.341124,11.681818181818182,9.10344827586207
9,h,2.16407,1.10058,2.16407,1.10058,10,4,3,1,2.1675,w,2016-11-01 00:00:00,1,0,0,3,1.0634900000000003,17.933333333333334,7.875
10,a,0.81046,0.404528,0.81046,0.404528,5,2,1,1,1.6904000000000001,d,2016-11-05 19:00:00,0,1,0,1,0.40593199999999996,18.470588235294116,10.117647058823529
11,h,1.60429,1.24012,0.843118,1.24012,8,4,0,1,1.6605,l,2016-11-19 19:00:00,0,0,1,0,-0.39700199999999986,6.541666666666667,6.035714285714286
12,a,0.704736,0.541915,0.704736,0.541915,2,4,1,0,1.4641,w,2016-11-27 16:00:00,1,0,0,3,0.162821,7.681818181818182,5.026315789473684
13,h,1.12929,0.773995,1.12929,0.773995,5,9,2,0,1.6958,w,2016-12-03 19:00:00,1,0,0,3,0.3552949999999999,11.538461538461538,8.689655172413794
14,a,1.29401,1.58027,0.532843,1.58027,10,11,1,3,1.1731,l,2016-12-10 19:00:00,0,0,1,0,-1.047427,14.9375,5.44
15,h,0.333754,0.723114,0.333754,0.723114,1,15,0,0,0.8867,d,2016-12-15 00:00:00,0,1,0,1,-0.38936000000000004,56.75,3.1481481481481484
16,h,2.518,1.25572,1.75683,1.25572,7,4,2,2,2.3251,d,2016-12-17 19:00:00,0,1,0,1,0.5011099999999999,9.411764705882353,16.77777777777778
