,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.09877,1.95479,1.09877,1.19362,4,11,1,2,0.7048000000000001,l,2016-08-13 20:30:00,0,0,1,0,-0.09484999999999988,16.0,5.428571428571429
1,h,1.4645,0.854908,1.4645,0.854908,12,6,1,2,1.8536000000000001,l,2016-08-21 16:30:00,0,0,1,0,0.6095919999999999,9.96551724137931,5.875
2,a,1.39142,0.613743,0.630251,0.613743,7,4,1,1,2.1223,d,2016-08-27 18:00:00,0,1,0,1,0.016507999999999967,15.176470588235293,5.842105263157895
3,h,1.0404,2.84526,1.0404,2.84526,3,4,0,3,0.3669,l,2016-09-12 23:00:00,0,0,1,0,-1.8048600000000001,16.956521739130434,4.88
4,a,0.960821,2.52591,0.960821,2.52591,2,10,0,1,0.40549999999999997,l,2016-09-18 19:30:00,0,0,1,0,-1.565089,17.7,5.421052631578948
5,h,1.51457,1.7887,1.51457,1.7887,7,6,2,3,1.2116,l,2016-09-24 18:00:00,0,0,1,0,-0.27413,10.375,9.411764705882353
6,h,1.19268,0.88211,1.19268,0.88211,8,7,1,1,1.6782,d,2016-10-01 18:00:00,0,1,0,1,0.31057,7.545454545454546,20.0
7,a,0.587572,2.29543,0.587572,2.29543,6,12,0,2,0.28659999999999997,l,2016-10-15 18:00:00,0,0,1,0,-1.707858,14.263157894736842,11.375
8,a,0.808339,1.19585,0.808339,1.19585,3,8,0,1,1.0286,l,2016-10-22 18:00:00,0,0,1,0,-0.38751100000000005,12.571428571428571,5.64
9,h,0.853434,2.48348,0.0922651,2.48348,1,12,1,4,0.2735,l,2016-10-29 15:30:00,0,0,1,0,-2.3912149,13.956521739130435,6.333333333333333
10,a,1.13672,2.6457,0.375547,2.6457,6,24,2,1,0.4371,w,2016-11-05 19:00:00,1,0,0,3,-2.270153,10.208333333333334,4.3
11,h,0.951511,1.25065,0.951511,1.25065,8,9,3,0,1.0958999999999999,w,2016-11-19 19:00:00,1,0,0,3,-0.29913900000000004,16.0,10.666666666666666
12,a,0.291073,2.02461,0.291073,1.26344,3,17,0,2,0.1938,l,2016-11-26 19:00:00,0,0,1,0,-0.9723669999999999,25.923076923076923,4.352941176470588
13,h,1.4282,1.13791,1.4282,1.13791,9,3,2,1,1.5818999999999999,w,2016-12-03 15:00:00,1,0,0,3,0.29028999999999994,11.428571428571429,6.896551724137931
14,a,0.672058,2.18185,0.672058,1.42068,5,5,0,3,0.33930000000000005,l,2016-12-10 19:00:00,0,0,1,0,-0.7486219999999999,13.68421052631579,5.76
15,h,0.473979,1.22459,0.473979,1.22459,5,4,0,1,0.7037,l,2016-12-14 23:45:00,0,0,1,0,-0.7506110000000001,16.72222222222222,8.705882352941176
16,h,1.13526,1.07552,1.13526,1.07552,4,5,1,0,1.367,w,2016-12-17 19:00:00,1,0,0,3,0.059739999999999904,8.714285714285714,5.9
17,a,0.488541,2.32117,0.488541,2.32117,1,14,1,3,0.2905,l,2016-12-26 19:00:00,0,0,1,0,-1.8326289999999998,16.88888888888889,17.818181818181817
18,a,0.465701,2.72471,0.465701,1.96354,6,7,1,4,0.13190000000000002,l,2016-12-31 19:00:00,0,0,1,0,-1.4978390000000001,10.235294117647058,10.217391304347826
19,h,1.91057,2.332,0.388234,2.332,4,10,2,2,1.0406,d,2017-01-02 19:00:00,0,1,0,1,-1.9437659999999999,19.57894736842105,8.705882352941176
20,h,1.1365,1.22897,1.1365,1.22897,7,8,1,3,1.2951000000000001,l,2017-01-14 19:00:00,0,0,1,0,-0.09246999999999983,7.793103448275862,11.4
21,a,0.440887,1.3279,0.440887,1.3279,5,5,0,2,0.5681,l,2017-01-21 18:00:00,0,0,1,0,-0.887013,9.333333333333334,10.428571428571429
22,h,0.228009,0.682758,0.228009,0.682758,4,6,0,0,0.7807999999999999,d,2017-01-31 22:45:00,0,1,0,1,-0.45474899999999996,11.590909090909092,7.583333333333333
23,a,0.837361,2.45994,0.837361,2.45994,1,5,4,0,0.35940000000000005,w,2017-02-04 15:00:00,1,0,0,3,-1.622579,19.153846153846153,5.241379310344827
24,h,0.197925,1.72717,0.197925,1.72717,3,9,0,4,0.26180000000000003,l,2017-02-11 15:00:00,0,0,1,0,-1.5292450000000002,13.0,8.34375
