,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.09877,1.95479,1.09877,1.19362,4,11,1,2,0.7048000000000001,0,0,1,0,-0.09484999999999988,16.0,5.428571428571429
1,2.56327,2.809698,2.56327,2.048528,16,17,2,4,2.5584000000000002,0,0,2,0,0.514742,12.982758620689655,5.651785714285714
2,3.9546900000000003,3.423441,3.193521,2.662271,23,21,3,5,4.6807,0,1,2,1,0.53125,13.71399594320487,5.715225563909775
3,4.99509,6.268701,4.2339210000000005,5.507531,26,25,3,8,5.0476,0,1,3,1,-1.2736100000000001,14.524627392186261,5.506419172932331
4,5.955911,8.794611,5.194742000000001,8.033441,28,35,3,9,5.4531,0,1,4,1,-2.838699,15.159701913749009,5.489345864661654
5,7.470481,10.583311,6.709312000000001,9.822141,35,41,5,12,6.6647,0,1,5,1,-3.112829,14.362251594790841,6.143082338198437
6,8.663161,11.465421,7.901992000000001,10.704251,43,48,6,13,8.3429,0,2,5,2,-2.8022590000000003,13.388423444885657,8.122642004170089
7,9.250733,13.760850999999999,8.489564000000001,12.999680999999999,49,60,6,15,8.6295,0,2,6,2,-4.510117,13.497765251117055,8.529186753648828
8,10.059072,14.956700999999999,9.297903000000002,14.195530999999999,52,68,6,16,9.658100000000001,0,2,7,2,-4.897628,13.39483895337389,8.208166003243402
9,10.912506,17.440181,9.390168100000002,16.679011,53,80,7,20,9.931600000000001,0,2,8,2,-7.288842900000001,13.451007231949543,8.020682736252395
10,12.049226,20.085881,9.765715100000001,19.324711,59,104,9,21,10.3687,1,2,8,5,-9.558995900000001,13.156218695711708,7.682438851138541
11,13.000737,21.336531,10.717226100000001,20.575361,67,113,12,21,11.4646,2,2,8,8,-9.858134900000001,13.393200471069065,7.931124502432552
12,13.291810000000002,23.361141,11.008299100000002,21.838801,70,130,12,23,11.6584,2,2,9,8,-10.830501900000002,14.357037121223517,7.655879631204709
13,14.720010000000002,24.499051,12.436499100000002,22.976711,79,133,14,24,13.2403,3,2,9,11,-10.540211900000001,14.147861000319795,7.601641923557082
14,15.392068000000002,26.680901000000002,13.108557100000002,24.397391000000002,84,138,14,27,13.5796,3,2,10,11,-11.2888339,14.116950968719527,7.478865795319944
15,15.866047000000002,27.905491,13.582536100000002,25.621981,89,142,14,28,14.283299999999999,3,2,11,11,-12.0394449,14.279780422063446,7.555554330171271
16,17.001307,28.981011000000002,14.717796100000003,26.697501000000003,93,147,15,28,15.650299999999998,4,2,11,14,-11.9797049,13.952398380429463,7.458168781337667
17,17.489848000000002,31.302181,15.206337100000002,29.018671,94,161,16,31,15.940799999999998,4,2,12,14,-13.812333899999999,14.11553674201054,8.033725061162341
18,17.955549,34.026891,15.672038100000002,30.982211,100,168,17,35,16.072699999999998,4,2,13,14,-15.3101729,13.91131344599141,8.148654863435262
19,19.866119,36.358891,16.060272100000002,33.314211,104,178,19,37,17.1133,4,3,13,15,-17.253938899999998,14.194695142112892,8.176516237910558
20,21.002619000000003,37.587861,17.196772100000004,34.543181,111,186,20,40,18.4084,4,3,14,15,-17.346408899999997,13.889857442406367,8.330015464676721
21,21.443506000000003,38.915760999999996,17.637659100000004,35.871081,116,191,20,42,18.9765,4,3,15,15,-18.233421899999996,13.682742710175773,8.425404372126481
22,21.671515000000003,39.598518999999996,17.865668100000004,36.553838999999996,120,197,20,42,19.7573,4,4,15,16,-18.688170899999996,13.591793422381569,8.388792587831126
23,22.508876000000004,42.058459,18.703029100000006,39.013779,121,202,24,42,20.1167,5,4,15,19,-20.310749899999998,13.823545619525925,8.257650367935865
24,22.706801000000006,43.785629,18.900954100000007,40.740949,124,211,24,46,20.378500000000003,5,4,16,19,-21.839994899999997,13.79060379474489,8.26109435321843
25,23.212753000000006,45.489289,19.406906100000008,42.444609,126,214,24,48,20.885,5,4,17,19,-23.037702899999996,13.947978761915333,8.17229768395545
26,23.950511000000006,47.969509,20.144664100000007,44.924829,126,229,24,50,21.146600000000003,5,4,18,19,-24.780164899999995,13.94871073130676,8.115411237748345
27,24.983381000000005,49.156929000000005,21.177534100000006,46.112249000000006,130,236,24,50,22.337200000000003,5,5,18,20,-24.934714899999996,13.797181146365132,8.317638614177968
28,25.333080000000006,51.11520900000001,21.527233100000007,48.07052900000001,131,245,24,51,22.6274,5,5,19,20,-26.543295899999997,13.729124189999599,8.268573035830633
29,26.034280000000006,52.044343000000005,22.228433100000007,48.999663000000005,134,249,24,53,23.7448,5,5,20,20,-26.771229899999998,13.49767719319009,8.409620601302946
30,27.011596000000004,53.738643,23.205749100000006,50.693963000000004,139,258,24,56,24.529500000000002,5,5,21,20,-27.488213899999998,13.413384876784452,8.306964218269714
31,28.152806000000005,55.166793000000006,24.346959100000007,52.122113000000006,145,261,26,58,25.608300000000003,5,6,21,21,-27.7751539,13.276668522461861,8.449454919782118
32,28.598572000000004,55.99263200000001,24.792725100000006,52.94795200000001,152,263,26,59,26.493300000000005,5,6,22,21,-28.1552269,13.142743502300679,8.43219871009175
33,30.265272000000003,57.52357200000001,26.459425100000004,54.47889200000001,165,275,26,60,27.983100000000004,5,6,23,21,-28.019466899999998,12.980593094280941,8.376594826461602
34,32.220292,58.74091200000001,28.414445100000005,55.69623200000001,172,282,28,60,29.919400000000003,6,6,23,24,-27.281786899999997,13.148180544334453,8.328240989314578
35,33.257942,59.08500800000001,29.452095100000005,56.04032800000001,176,284,28,62,31.948200000000003,6,6,24,24,-26.588232899999998,13.046286640325164,8.577059691992348
36,33.529686,62.92405800000001,29.723839100000006,59.87937800000001,180,307,28,64,31.973800000000004,6,6,25,24,-30.155538899999996,13.292783397793853,8.561463484100663
37,34.22368,65.66352800000001,30.417833100000006,62.61884800000001,180,334,29,69,32.2426,6,6,26,24,-32.2010149,13.279815413641384,8.608607633899872
