,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.12348,0.790063,1.12348,0.790063,8,5,1,1,1.6417,d,2016-08-13 18:00:00,0,1,0,1,0.3334170000000001,5.411764705882353,7.419354838709677
1,h,2.25623,0.357943,2.25623,0.357943,2,6,1,0,2.7171000000000003,w,2016-08-20 18:00:00,1,0,0,3,1.8982869999999998,4.84375,8.35483870967742
2,h,0.590511,1.92569,0.590511,1.16452,3,11,1,1,0.372,d,2016-08-27 15:30:00,0,1,0,1,-0.574009,7.571428571428571,7.129032258064516
3,a,2.77025,1.01771,2.77025,1.01771,9,10,4,0,2.5244999999999997,w,2016-09-10 18:00:00,1,0,0,3,1.75254,8.666666666666666,13.4
4,h,2.52591,0.960821,2.52591,0.960821,10,2,1,0,2.4295999999999998,w,2016-09-18 19:30:00,1,0,0,3,1.565089,5.421052631578948,17.7
5,a,1.4158,0.361508,1.4158,0.361508,12,0,2,1,2.2536000000000005,w,2016-09-24 18:00:00,1,0,0,3,1.054292,10.0,6.9
6,h,1.69975,0.909513,0.938577,0.909513,2,13,2,0,2.0314,w,2016-10-02 17:15:00,1,0,0,3,0.02906399999999998,5.909090909090909,7.136363636363637
7,a,1.32318,1.30365,1.32318,1.30365,13,2,1,1,1.3067,d,2016-10-15 18:00:00,0,1,0,1,0.019530000000000047,4.2105263157894735,15.476190476190476
8,a,0.74529,0.523371,0.74529,0.523371,11,3,0,0,1.4978,d,2016-10-22 15:30:00,0,1,0,1,0.22191899999999998,5.464285714285714,11.24
9,h,1.69833,0.740987,0.937162,0.740987,9,6,1,1,2.1678,d,2016-10-29 18:00:00,0,1,0,1,0.1961750000000001,7.4,8.090909090909092
10,a,1.19585,0.675745,0.434685,0.675745,3,9,1,1,1.8889999999999998,d,2016-11-06 16:00:00,0,1,0,1,-0.24106000000000005,6.8,6.951219512195122
11,h,2.53396,1.76706,1.77279,1.0059,5,4,3,2,1.99,w,2016-11-19 21:30:00,1,0,0,3,0.7668900000000001,4.741935483870968,14.576923076923077
12,a,0.422568,1.24948,0.422568,1.24948,3,7,1,2,0.6015,l,2016-11-26 21:30:00,0,0,1,0,-0.8269119999999999,6.2727272727272725,9.153846153846153
13,h,3.9767,0.0342109,3.21553,0.0342109,14,0,5,0,2.9983999999999997,w,2016-12-03 19:00:00,1,0,0,3,3.1813191,8.444444444444445,12.555555555555555
14,a,0.720341,1.04894,0.720341,1.04894,1,11,0,1,1.0441,l,2016-12-11 18:15:00,0,0,1,0,-0.328599,4.166666666666667,6.1
15,h,2.83077,0.570636,2.83077,0.570636,9,3,3,0,2.8109,w,2016-12-15 00:00:00,1,0,0,3,2.260134,16.727272727272727,15.296296296296296
16,h,1.50755,1.17031,1.50755,1.17031,7,4,2,1,1.5601,w,2016-12-18 20:00:00,1,0,0,3,0.33724,8.9375,8.692307692307692
17,a,1.61035,0.403743,0.849177,0.403743,7,1,4,1,2.4221999999999997,w,2016-12-28 23:45:00,1,0,0,3,0.44543399999999994,6.0,15.285714285714286
